cell_id,Granatellus pelzelni,Granatellus pelzelni pelzelni,Granatellus pelzelni paraensis
845f03bffffffff,2.0,0.0,0.0
845f03dffffffff,10.0,0.0,0.0
845f1cbffffffff,12.0,0.0,0.0
845f295ffffffff,13.0,0.0,0.0
845f29dffffffff,1.0,0.0,0.0
845f2b1ffffffff,24.0,0.0,0.0
845f2b3ffffffff,11.0,0.0,0.0
845f2bbffffffff,69.0,0.0,0.0
845f2d7ffffffff,1.0,0.0,0.0
845f407ffffffff,3.0,0.0,0.0
845f42bffffffff,32.0,0.0,0.0
845f549ffffffff,1.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,2.0,0.0,0.0
845f689ffffffff,5.0,0.0,0.0
845f68bffffffff,5.0,0.0,0.0
845f703ffffffff,2.0,0.0,0.0
845f70bffffffff,1.0,0.0,0.0
845f711ffffffff,2.0,0.0,0.0
845f759ffffffff,2.0,0.0,0.0
8466415ffffffff,252.0,20.0,0.0
846641dffffffff,3.0,0.0,0.0
8466437ffffffff,2.0,0.0,0.0
8466e8dffffffff,1.0,0.0,0.0
8466ec1ffffffff,3.0,0.0,0.0
8466ec7ffffffff,1.0,0.0,0.0
8480291ffffffff,1.0,0.0,0.0
8480643ffffffff,3.0,0.0,0.0
848064bffffffff,4.0,0.0,0.0
8480655ffffffff,1.0,0.0,0.0
8480657ffffffff,2.0,0.0,0.0
84806b3ffffffff,1.0,0.0,0.0
84806b7ffffffff,3.0,0.0,0.0
8480713ffffffff,7.0,0.0,0.0
8480745ffffffff,2.0,0.0,0.0
8480747ffffffff,1.0,0.0,0.0
8480755ffffffff,1.0,0.0,0.0
8481401ffffffff,11.0,0.0,0.0
848145dffffffff,26.0,1.0,0.0
8481485ffffffff,1.0,0.0,0.0
84814a1ffffffff,3.0,0.0,0.0
84814a9ffffffff,20.0,0.0,0.0
84814adffffffff,40.0,0.0,0.0
84814d5ffffffff,34.0,0.0,0.0
84814d9ffffffff,10.0,0.0,0.0
84814dbffffffff,2.0,0.0,0.0
84814ddffffffff,1.0,0.0,0.0
84814e3ffffffff,10.0,0.0,0.0
84814e5ffffffff,2.0,0.0,0.0
84814e7ffffffff,17.0,0.0,0.0
84814ebffffffff,5.0,0.0,0.0
8481581ffffffff,1.0,0.0,0.0
84815a7ffffffff,1.0,0.0,0.0
84815abffffffff,4.0,0.0,0.0
84815c9ffffffff,3.0,0.0,0.0
84815d3ffffffff,3.0,0.0,0.0
84815d7ffffffff,2.0,0.0,0.0
84815dbffffffff,1.0,0.0,0.0
8481635ffffffff,66.0,1.0,2.0
8481637ffffffff,4.0,0.0,0.0
8481713ffffffff,4.0,0.0,0.0
848a05bffffffff,2.0,0.0,0.0
848a05dffffffff,2.0,0.0,0.0
848a069ffffffff,11.0,0.0,0.0
848a109ffffffff,2.0,0.0,0.0
848a155ffffffff,11.0,0.0,0.0
848a23bffffffff,2.0,0.0,0.0
848a249ffffffff,2.0,0.0,0.0
848a2cdffffffff,1.0,0.0,0.0
848a313ffffffff,2.0,0.0,0.0
848a317ffffffff,2.0,0.0,0.0
848a809ffffffff,13.0,0.0,0.0
848a91dffffffff,1.0,0.0,0.0
848a925ffffffff,1.0,0.0,0.0
848a929ffffffff,1.0,0.0,0.0
848a92dffffffff,1.0,0.0,0.0
848aa9dffffffff,1.0,0.0,0.0
848aac9ffffffff,1.0,0.0,0.0
848ab21ffffffff,2.0,0.0,0.0
848adc5ffffffff,5.0,0.0,0.0
848b11dffffffff,2.0,0.0,0.0
848b123ffffffff,2.0,0.0,0.0
848b529ffffffff,2.0,0.0,0.0
848b563ffffffff,2.0,0.0,0.0
848b567ffffffff,2.0,0.0,0.0
848b829ffffffff,1.0,0.0,0.0
848b839ffffffff,3.0,0.0,0.0
848b849ffffffff,16.0,0.0,0.0
848b88dffffffff,1.0,0.0,0.0
848b895ffffffff,1.0,0.0,0.0
848b8a1ffffffff,1.0,0.0,0.0
848b8e5ffffffff,1.0,0.0,0.0
848b98bffffffff,3.0,0.0,0.0
848b999ffffffff,18.0,0.0,0.0
848b99dffffffff,8.0,0.0,0.0
848b9d1ffffffff,7.0,0.0,0.0
848b9d5ffffffff,229.0,0.0,0.0
848b9d7ffffffff,6.0,0.0,0.0
848b9e1ffffffff,1.0,0.0,0.0
