cell_id,Asthenes wyatti,Asthenes wyatti [wyatti Group],Asthenes wyatti [sclateri Group]
83660bfffffffff,2.0,2.0,0.0
836623fffffffff,22.0,22.0,0.0
838e60fffffffff,1.0,1.0,0.0
838e66fffffffff,17.0,17.0,0.0
838e69fffffffff,4.0,4.0,0.0
838f59fffffffff,9.0,9.0,0.0
838f76fffffffff,3.0,3.0,0.0
83b209fffffffff,3.0,0.0,3.0
83b20dfffffffff,6.0,0.0,6.0
83b25cfffffffff,7.0,0.0,7.0
83b272fffffffff,2.0,0.0,2.0
83b2eefffffffff,2.0,0.0,2.0
83b32cfffffffff,1.0,0.0,1.0
83b335fffffffff,7.0,0.0,7.0
83b351fffffffff,5.0,0.0,5.0
83b354fffffffff,15.0,0.0,15.0
83b355fffffffff,2.0,0.0,2.0
83b35efffffffff,1.0,0.0,1.0
