cell_id,Cyanomitra oritis,Cyanomitra oritis bansoensis,Cyanomitra oritis poensis,Cyanomitra oritis oritis
8458c27ffffffff,2.0,0.0,0.0,0.0
8458d13ffffffff,5.0,0.0,0.0,0.0
8458d33ffffffff,34.0,30.0,0.0,2.0
8458d37ffffffff,13.0,12.0,0.0,0.0
8458dcdffffffff,4.0,0.0,0.0,0.0
8458de5ffffffff,4.0,3.0,0.0,0.0
8482d03ffffffff,9.0,0.0,8.0,0.0
8482d07ffffffff,7.0,0.0,0.0,0.0
8482d1dffffffff,22.0,0.0,14.0,0.0
8482d27ffffffff,16.0,7.0,0.0,1.0
8482d29ffffffff,1.0,0.0,0.0,0.0
8482d3dffffffff,61.0,0.0,0.0,23.0
8482d45ffffffff,1.0,0.0,0.0,0.0
