cell_id,Sporophila morelleti,Sporophila morelleti sharpei,Sporophila morelleti morelleti
8444249ffffffff,97.0,0.0,0.0
8445011ffffffff,29.0,0.0,0.0
8445013ffffffff,17.0,0.0,0.0
8445019ffffffff,155.0,0.0,0.0
844501bffffffff,52.0,0.0,0.0
8445053ffffffff,353.0,0.0,0.0
8445057ffffffff,104.0,0.0,0.0
8445059ffffffff,310.0,0.0,0.0
844505bffffffff,1604.0,0.0,0.0
8445083ffffffff,5.0,0.0,0.0
8445085ffffffff,219.0,0.0,0.0
8445087ffffffff,35.0,0.0,0.0
844508bffffffff,1.0,0.0,0.0
844508dffffffff,54.0,0.0,0.0
8445091ffffffff,6.0,0.0,0.0
8445093ffffffff,19.0,0.0,0.0
8445095ffffffff,3.0,0.0,0.0
8445097ffffffff,15.0,0.0,0.0
8445099ffffffff,2.0,0.0,0.0
844509bffffffff,270.0,0.0,0.0
84450a1ffffffff,68.0,0.0,0.0
84450a3ffffffff,143.0,0.0,0.0
84450a5ffffffff,60.0,0.0,0.0
84450a7ffffffff,133.0,0.0,0.0
84450a9ffffffff,18.0,0.0,0.0
84450abffffffff,69.0,0.0,0.0
84450adffffffff,303.0,0.0,0.0
84450b1ffffffff,427.0,0.0,0.0
84450b5ffffffff,309.0,0.0,0.0
84450b9ffffffff,39.0,0.0,0.0
84450bdffffffff,64.0,0.0,0.0
84450c1ffffffff,29.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0
84450c5ffffffff,99.0,0.0,0.0
84450c7ffffffff,3.0,0.0,0.0
84450c9ffffffff,6.0,0.0,0.0
84450cbffffffff,1.0,0.0,0.0
84450cdffffffff,84.0,0.0,0.0
84450d3ffffffff,12.0,0.0,0.0
84450d5ffffffff,126.0,0.0,0.0
84450d9ffffffff,8.0,0.0,0.0
84450dbffffffff,1.0,0.0,0.0
84450ddffffffff,12.0,0.0,0.0
84450e1ffffffff,87.0,0.0,0.0
84450e3ffffffff,251.0,0.0,0.0
84450e7ffffffff,7.0,0.0,0.0
84450ebffffffff,118.0,0.0,0.0
844519bffffffff,201.0,0.0,0.0
8445201ffffffff,15.0,0.0,0.0
8445203ffffffff,198.0,0.0,0.0
8445205ffffffff,871.0,0.0,0.0
8445207ffffffff,703.0,0.0,0.0
8445209ffffffff,20.0,0.0,0.0
844520bffffffff,35.0,0.0,0.0
844520dffffffff,376.0,0.0,0.0
8445211ffffffff,49.0,0.0,0.0
8445213ffffffff,416.0,0.0,0.0
8445215ffffffff,4898.0,0.0,0.0
8445217ffffffff,1193.0,0.0,0.0
8445219ffffffff,26.0,0.0,0.0
844521bffffffff,50.0,0.0,0.0
844521dffffffff,159.0,0.0,0.0
8445221ffffffff,496.0,0.0,0.0
8445225ffffffff,1465.0,0.0,0.0
8445229ffffffff,6.0,0.0,0.0
844522bffffffff,357.0,0.0,0.0
844522dffffffff,12.0,0.0,0.0
8445231ffffffff,106.0,0.0,0.0
8445233ffffffff,2497.0,0.0,0.0
844523bffffffff,534.0,0.0,0.0
8445241ffffffff,1.0,0.0,0.0
8445243ffffffff,200.0,0.0,0.0
8445245ffffffff,22.0,0.0,0.0
8445247ffffffff,250.0,0.0,0.0
8445249ffffffff,43.0,0.0,0.0
844524bffffffff,34.0,0.0,0.0
844524dffffffff,6.0,0.0,0.0
8445251ffffffff,78.0,0.0,0.0
8445253ffffffff,74.0,0.0,0.0
8445255ffffffff,205.0,0.0,0.0
8445257ffffffff,206.0,0.0,0.0
844525bffffffff,75.0,0.0,0.0
844525dffffffff,15.0,0.0,0.0
8445261ffffffff,28.0,0.0,0.0
8445263ffffffff,949.0,0.0,0.0
8445265ffffffff,2.0,0.0,0.0
8445267ffffffff,3.0,0.0,0.0
8445269ffffffff,52.0,0.0,0.0
844526bffffffff,1134.0,0.0,0.0
844526dffffffff,3.0,0.0,0.0
8445281ffffffff,2.0,0.0,0.0
8445285ffffffff,60.0,0.0,0.0
8445287ffffffff,4.0,0.0,0.0
8445289ffffffff,449.0,0.0,0.0
844528bffffffff,2.0,0.0,0.0
844528dffffffff,120.0,0.0,0.0
8445291ffffffff,13.0,0.0,0.0
8445293ffffffff,8.0,0.0,0.0
8445295ffffffff,28.0,0.0,0.0
8445297ffffffff,54.0,0.0,0.0
8445299ffffffff,1.0,0.0,0.0
844529bffffffff,16.0,0.0,0.0
84452a1ffffffff,124.0,0.0,0.0
84452a3ffffffff,134.0,0.0,0.0
84452a5ffffffff,1085.0,0.0,0.0
84452a7ffffffff,85.0,0.0,0.0
84452a9ffffffff,842.0,0.0,0.0
84452abffffffff,76.0,0.0,0.0
84452adffffffff,5850.0,0.0,0.0
84452b3ffffffff,7.0,0.0,0.0
84452b5ffffffff,30.0,0.0,0.0
84452b7ffffffff,2.0,0.0,0.0
84452b9ffffffff,18.0,0.0,0.0
84452bdffffffff,167.0,0.0,0.0
84452c1ffffffff,167.0,0.0,0.0
84452c3ffffffff,678.0,0.0,0.0
84452c5ffffffff,494.0,0.0,0.0
84452c7ffffffff,1526.0,0.0,0.0
84452c9ffffffff,126.0,0.0,0.0
84452cbffffffff,73.0,0.0,0.0
84452cdffffffff,18.0,0.0,0.0
84452d3ffffffff,5.0,0.0,0.0
84452d5ffffffff,18.0,0.0,0.0
84452d7ffffffff,7.0,0.0,0.0
84452d9ffffffff,63.0,0.0,0.0
84452dbffffffff,71.0,0.0,0.0
84452ddffffffff,16.0,0.0,0.0
84452e1ffffffff,9033.0,0.0,0.0
84452e3ffffffff,1393.0,0.0,0.0
84452e5ffffffff,3708.0,0.0,0.0
84452e7ffffffff,470.0,0.0,0.0
84452e9ffffffff,286.0,0.0,0.0
84452ebffffffff,1100.0,0.0,0.0
84452edffffffff,237.0,0.0,0.0
8445301ffffffff,1.0,0.0,0.0
8445303ffffffff,45.0,0.0,0.0
8445305ffffffff,4.0,0.0,0.0
8445307ffffffff,11.0,0.0,0.0
8445309ffffffff,5.0,0.0,0.0
844530dffffffff,5.0,0.0,0.0
8445315ffffffff,2.0,0.0,0.0
8445319ffffffff,180.0,0.0,0.0
844531dffffffff,7.0,0.0,0.0
8445321ffffffff,50.0,0.0,0.0
844532bffffffff,120.0,0.0,0.0
8445341ffffffff,2.0,0.0,0.0
8445343ffffffff,90.0,0.0,0.0
8445347ffffffff,6.0,0.0,0.0
8445349ffffffff,12.0,0.0,0.0
844534bffffffff,2.0,0.0,0.0
844534dffffffff,2.0,0.0,0.0
8445351ffffffff,11.0,0.0,0.0
8445353ffffffff,225.0,0.0,0.0
8445355ffffffff,2.0,0.0,0.0
8445357ffffffff,46.0,0.0,0.0
8445359ffffffff,6.0,0.0,0.0
844535dffffffff,17.0,0.0,0.0
8445363ffffffff,6.0,0.0,0.0
8445365ffffffff,45.0,0.0,0.0
8445367ffffffff,11.0,0.0,0.0
8445649ffffffff,32.0,0.0,0.0
84456d9ffffffff,4.0,0.0,0.0
84456dbffffffff,7.0,0.0,0.0
8445721ffffffff,67.0,0.0,0.0
8445723ffffffff,4.0,0.0,0.0
8445725ffffffff,5.0,0.0,0.0
8445727ffffffff,3.0,0.0,0.0
8445729ffffffff,2.0,0.0,0.0
844572dffffffff,2.0,0.0,0.0
8445745ffffffff,4.0,0.0,0.0
8445749ffffffff,337.0,0.0,0.0
844574dffffffff,45.0,0.0,0.0
8445761ffffffff,34.0,0.0,0.0
8445765ffffffff,15.0,0.0,0.0
8445767ffffffff,34.0,0.0,0.0
8445769ffffffff,13.0,0.0,0.0
844880dffffffff,974.0,0.0,0.0
8448815ffffffff,18.0,0.0,0.0
8448817ffffffff,4.0,0.0,0.0
8448849ffffffff,4.0,0.0,0.0
8448869ffffffff,212.0,0.0,0.0
844886bffffffff,396.0,0.0,0.0
8448a21ffffffff,138.0,0.0,0.0
8448a23ffffffff,2.0,0.0,0.0
8448a25ffffffff,4.0,0.0,0.0
8448a27ffffffff,70.0,0.0,0.0
8448a2dffffffff,2.0,0.0,0.0
8448b13ffffffff,19.0,0.0,0.0
8448b1bffffffff,1.0,0.0,0.0
8448b4dffffffff,2.0,0.0,0.0
8448b51ffffffff,2.0,0.0,0.0
8448b53ffffffff,2.0,0.0,0.0
8448b5bffffffff,35.0,0.0,0.0
8449901ffffffff,37.0,0.0,0.0
8449903ffffffff,24.0,0.0,0.0
8449905ffffffff,7.0,0.0,0.0
8449907ffffffff,17.0,0.0,0.0
844990bffffffff,2.0,0.0,0.0
8449911ffffffff,7.0,0.0,0.0
8449913ffffffff,4.0,0.0,0.0
8449917ffffffff,3.0,0.0,0.0
8449919ffffffff,3.0,0.0,0.0
844991dffffffff,34.0,0.0,0.0
8449929ffffffff,57.0,0.0,0.0
844992bffffffff,99.0,0.0,0.0
8449931ffffffff,6.0,0.0,0.0
8449933ffffffff,1.0,0.0,0.0
8449937ffffffff,6.0,0.0,0.0
844993bffffffff,2.0,0.0,0.0
844993dffffffff,38.0,0.0,0.0
8449945ffffffff,5.0,0.0,0.0
8449961ffffffff,467.0,0.0,0.0
8449963ffffffff,561.0,0.0,0.0
8449965ffffffff,1583.0,0.0,0.0
8449967ffffffff,164.0,0.0,0.0
8449969ffffffff,402.0,0.0,0.0
844996bffffffff,85.0,0.0,0.0
844996dffffffff,32.0,0.0,0.0
8449981ffffffff,28.0,0.0,0.0
8449985ffffffff,3.0,0.0,0.0
8449987ffffffff,180.0,0.0,0.0
84499abffffffff,43.0,0.0,0.0
84499b1ffffffff,21.0,0.0,0.0
84499b5ffffffff,3.0,0.0,0.0
84499b7ffffffff,2.0,0.0,0.0
84499c3ffffffff,1.0,0.0,0.0
84499c5ffffffff,37.0,0.0,0.0
84499c7ffffffff,3.0,0.0,0.0
84499cdffffffff,2.0,0.0,0.0
84499d1ffffffff,3.0,0.0,0.0
84499dbffffffff,2.0,0.0,0.0
84499e3ffffffff,8.0,0.0,0.0
84499e9ffffffff,3.0,0.0,0.0
84499ebffffffff,12.0,0.0,0.0
84499edffffffff,2.0,0.0,0.0
8466a21ffffffff,41.0,0.0,0.0
8466a25ffffffff,15.0,0.0,0.0
8466a65ffffffff,120.0,0.0,0.0
8466a67ffffffff,5.0,0.0,0.0
8466b01ffffffff,61.0,0.0,0.0
8466b09ffffffff,279.0,0.0,0.0
8466b0bffffffff,554.0,0.0,0.0
8466b19ffffffff,221.0,0.0,0.0
8466b1dffffffff,2.0,0.0,0.0
8466b41ffffffff,87.0,0.0,0.0
8466b43ffffffff,35.0,0.0,0.0
8466b45ffffffff,385.0,0.0,0.0
8466b47ffffffff,219.0,0.0,0.0
8466b49ffffffff,200.0,0.0,0.0
8466b4bffffffff,15.0,0.0,0.0
8466b4dffffffff,872.0,0.0,0.0
8466b51ffffffff,13.0,0.0,0.0
8466b53ffffffff,52.0,0.0,0.0
8466b55ffffffff,410.0,0.0,0.0
8466b57ffffffff,694.0,0.0,0.0
8466b59ffffffff,224.0,0.0,0.0
8466b5bffffffff,250.0,0.0,0.0
8466b5dffffffff,3.0,0.0,0.0
8466b69ffffffff,230.0,0.0,0.0
8467909ffffffff,3.0,0.0,0.0
846790bffffffff,10.0,0.0,0.0
846790dffffffff,55.0,0.0,0.0
8467921ffffffff,6.0,0.0,0.0
8467923ffffffff,5.0,0.0,0.0
8467925ffffffff,11.0,0.0,0.0
8467927ffffffff,5.0,0.0,0.0
8467929ffffffff,5.0,0.0,0.0
846792dffffffff,20.0,0.0,0.0
8467931ffffffff,1.0,0.0,0.0
8467933ffffffff,14.0,0.0,0.0
8467935ffffffff,2.0,0.0,0.0
8467937ffffffff,14.0,0.0,0.0
8467939ffffffff,1.0,0.0,0.0
846793bffffffff,23.0,0.0,0.0
8467941ffffffff,2.0,0.0,0.0
8467945ffffffff,25.0,0.0,0.0
8467947ffffffff,9.0,0.0,0.0
8467949ffffffff,2.0,0.0,0.0
846794bffffffff,2.0,0.0,0.0
8467961ffffffff,90.0,0.0,0.0
8467963ffffffff,28.0,0.0,0.0
8467965ffffffff,4.0,0.0,0.0
8467967ffffffff,3.0,0.0,0.0
8467969ffffffff,7.0,0.0,0.0
846796bffffffff,26.0,0.0,0.0
84679a1ffffffff,39.0,0.0,0.0
84679a3ffffffff,12.0,0.0,0.0
84679a5ffffffff,837.0,0.0,0.0
84679a7ffffffff,26.0,0.0,0.0
84679adffffffff,19.0,0.0,0.0
84679b3ffffffff,83.0,0.0,0.0
84679b5ffffffff,40.0,0.0,0.0
84679b7ffffffff,548.0,0.0,0.0
8467b21ffffffff,1.0,0.0,0.0
8467b27ffffffff,4.0,0.0,0.0
846d041ffffffff,2.0,0.0,0.0
846d043ffffffff,47.0,0.0,0.0
846d045ffffffff,3.0,0.0,0.0
846d049ffffffff,8.0,0.0,0.0
846d04bffffffff,44.0,0.0,0.0
846d051ffffffff,42.0,0.0,0.0
846d053ffffffff,137.0,0.0,0.0
846d059ffffffff,47.0,0.0,0.0
846d05bffffffff,140.0,0.0,0.0
846d05dffffffff,14.0,0.0,0.0
846d201ffffffff,9.0,0.0,0.0
846d203ffffffff,40.0,0.0,0.0
846d205ffffffff,2.0,0.0,0.0
846d207ffffffff,60.0,0.0,0.0
846d209ffffffff,22.0,0.0,0.0
846d20bffffffff,16.0,0.0,0.0
846d20dffffffff,74.0,0.0,0.0
846d211ffffffff,8.0,0.0,0.0
846d217ffffffff,7.0,0.0,0.0
846d219ffffffff,29.0,0.0,0.0
846d21bffffffff,178.0,0.0,0.0
846d21dffffffff,231.0,0.0,0.0
846d223ffffffff,36.0,0.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d22bffffffff,43.0,0.0,0.0
846d22dffffffff,2.0,0.0,0.0
846d231ffffffff,68.0,0.0,0.0
846d233ffffffff,21.0,0.0,0.0
846d235ffffffff,2.0,0.0,0.0
846d237ffffffff,2.0,0.0,0.0
846d239ffffffff,13.0,0.0,0.0
846d23bffffffff,54.0,0.0,0.0
846d23dffffffff,290.0,0.0,0.0
846d241ffffffff,14.0,0.0,0.0
846d243ffffffff,32.0,0.0,0.0
846d247ffffffff,24.0,0.0,0.0
846d24bffffffff,43.0,0.0,0.0
846d251ffffffff,253.0,0.0,0.0
846d253ffffffff,265.0,0.0,0.0
846d255ffffffff,70.0,0.0,0.0
846d257ffffffff,167.0,0.0,0.0
846d25bffffffff,5.0,0.0,0.0
846d25dffffffff,68.0,0.0,0.0
846d263ffffffff,2.0,0.0,0.0
846d265ffffffff,3.0,0.0,0.0
846d267ffffffff,5.0,0.0,0.0
846d26bffffffff,14.0,0.0,0.0
846d281ffffffff,15.0,0.0,0.0
846d283ffffffff,1079.0,0.0,0.0
846d285ffffffff,7.0,0.0,0.0
846d287ffffffff,50.0,0.0,0.0
846d289ffffffff,10.0,0.0,0.0
846d28bffffffff,6.0,0.0,0.0
846d291ffffffff,261.0,0.0,0.0
846d293ffffffff,14.0,0.0,0.0
846d295ffffffff,1340.0,0.0,0.0
846d297ffffffff,79.0,0.0,0.0
846d299ffffffff,32.0,0.0,0.0
846d29bffffffff,26.0,0.0,0.0
846d29dffffffff,2.0,0.0,0.0
846d2a1ffffffff,159.0,0.0,0.0
846d2a3ffffffff,134.0,0.0,0.0
846d2a9ffffffff,84.0,0.0,0.0
846d2abffffffff,35.0,0.0,0.0
846d2adffffffff,24.0,0.0,0.0
846d2b1ffffffff,26.0,0.0,0.0
846d2b3ffffffff,65.0,0.0,0.0
846d2b9ffffffff,1549.0,0.0,0.0
