cell_id,Chasiempis sandwichensis,Chasiempis sandwichensis sandwichensis,Chasiempis sandwichensis bryani,Chasiempis sandwichensis ridgwayi
845d101ffffffff,10.0,2.0,0.0,0.0
845d103ffffffff,4581.0,40.0,323.0,2778.0
845d107ffffffff,27.0,4.0,1.0,0.0
845d115ffffffff,3.0,0.0,0.0,0.0
845d139ffffffff,427.0,0.0,1.0,60.0
845d13dffffffff,40.0,14.0,0.0,0.0
