cell_id,Mirafra javanica,Mirafra javanica [cantillans Group],Mirafra javanica [javanica Group]
843cb65ffffffff,2.0,2.0,0.0
843d967ffffffff,8.0,8.0,0.0
843da13ffffffff,2.0,2.0,0.0
843da1dffffffff,28.0,28.0,0.0
843da25ffffffff,12.0,12.0,0.0
843da27ffffffff,1.0,1.0,0.0
843da63ffffffff,2.0,2.0,0.0
843da69ffffffff,17.0,17.0,0.0
843da9dffffffff,1.0,0.0,0.0
843db25ffffffff,3.0,3.0,0.0
843db2dffffffff,4.0,4.0,0.0
843db47ffffffff,2.0,2.0,0.0
843db51ffffffff,4.0,4.0,0.0
843db55ffffffff,56.0,56.0,0.0
843db57ffffffff,110.0,110.0,0.0
843db67ffffffff,11.0,11.0,0.0
8442493ffffffff,2.0,2.0,0.0
84425a7ffffffff,2.0,2.0,0.0
8442c07ffffffff,26.0,24.0,0.0
8442c39ffffffff,1.0,0.0,0.0
8442c3dffffffff,1.0,1.0,0.0
8442c4bffffffff,1.0,0.0,0.0
8442c95ffffffff,2.0,2.0,0.0
8442cb9ffffffff,4.0,4.0,0.0
8442cd3ffffffff,3.0,3.0,0.0
8442cdbffffffff,7.0,7.0,0.0
8442ce9ffffffff,5.0,5.0,0.0
8442dbdffffffff,3.0,3.0,0.0
845248bffffffff,2.0,2.0,0.0
84524d3ffffffff,3.0,3.0,0.0
8454103ffffffff,1.0,0.0,0.0
8454addffffffff,2.0,2.0,0.0
84599e5ffffffff,2.0,2.0,0.0
8460107ffffffff,2.0,2.0,0.0
846014bffffffff,2.0,2.0,0.0
846015dffffffff,25.0,17.0,0.0
8460161ffffffff,7.0,6.0,0.0
8460303ffffffff,2.0,2.0,0.0
8460321ffffffff,173.0,164.0,0.0
8460323ffffffff,10.0,10.0,0.0
8460339ffffffff,1.0,1.0,0.0
846033dffffffff,1.0,1.0,0.0
8460901ffffffff,17.0,17.0,0.0
8460905ffffffff,2.0,2.0,0.0
8460915ffffffff,12.0,12.0,0.0
846091dffffffff,3.0,3.0,0.0
8460983ffffffff,7.0,7.0,0.0
84609e1ffffffff,2.0,2.0,0.0
8460a59ffffffff,36.0,30.0,0.0
8460a5bffffffff,2.0,1.0,0.0
8463321ffffffff,23.0,23.0,0.0
8463325ffffffff,54.0,54.0,0.0
846332dffffffff,6.0,6.0,0.0
8464841ffffffff,2.0,0.0,2.0
8464b1bffffffff,6.0,0.0,6.0
8464b49ffffffff,2.0,0.0,2.0
8465821ffffffff,2.0,0.0,2.0
846583dffffffff,1.0,0.0,1.0
846599bffffffff,2.0,0.0,2.0
84694edffffffff,3.0,0.0,3.0
847a619ffffffff,2.0,2.0,0.0
847a647ffffffff,1.0,1.0,0.0
847a66bffffffff,2.0,2.0,0.0
847a6e1ffffffff,7.0,7.0,0.0
847a6ebffffffff,1.0,1.0,0.0
8494803ffffffff,1.0,0.0,1.0
849481dffffffff,2.0,0.0,2.0
8496925ffffffff,9.0,9.0,0.0
84b8809ffffffff,1.0,0.0,1.0
84b9a53ffffffff,2.0,0.0,2.0
84be085ffffffff,4.0,0.0,4.0
84be0a3ffffffff,1.0,0.0,1.0
84be0c3ffffffff,21.0,0.0,21.0
84be0d3ffffffff,7.0,0.0,7.0
84be185ffffffff,2.0,0.0,2.0
84be19dffffffff,3.0,0.0,3.0
84be1d3ffffffff,2.0,0.0,2.0
84be421ffffffff,4.0,0.0,4.0
84be451ffffffff,1.0,0.0,0.0
84be631ffffffff,11.0,0.0,11.0
84be635ffffffff,1.0,0.0,1.0
84be63bffffffff,2.0,0.0,2.0
84be63dffffffff,3.0,0.0,3.0
84be6edffffffff,5.0,0.0,5.0
84be725ffffffff,17.0,0.0,17.0
84be72dffffffff,21.0,0.0,21.0
84be88bffffffff,7.0,0.0,7.0
84be895ffffffff,1.0,0.0,1.0
84be8d1ffffffff,14.0,0.0,14.0
84be8dbffffffff,2.0,0.0,2.0
84bea97ffffffff,5.0,0.0,5.0
84beabbffffffff,1.0,0.0,1.0
84bef2dffffffff,2.0,0.0,2.0
