cell_id,Turdus plumbeus,Turdus plumbeus plumbeus,Turdus plumbeus [rubripes Group],Turdus plumbeus ardosiaceus/albiventris
824417fffffffff,181.0,0.0,85.0,0.0
824437fffffffff,16.0,0.0,11.0,0.0
824487fffffffff,132.0,27.0,0.0,0.0
8244a7fffffffff,36.0,4.0,0.0,0.0
8244affffffffff,12.0,2.0,0.0,0.0
824587fffffffff,4.0,0.0,0.0,0.0
82458ffffffffff,7.0,0.0,2.0,0.0
82459ffffffffff,4.0,0.0,2.0,0.0
824c9ffffffffff,1.0,0.0,0.0,0.0
824cc7fffffffff,7.0,0.0,0.0,2.0
824cd7fffffffff,11.0,0.0,0.0,0.0
824ceffffffffff,5.0,0.0,0.0,5.0
824cf7fffffffff,6.0,0.0,0.0,0.0
826727fffffffff,4.0,0.0,0.0,0.0
