cell_id,Asthenes dorbignyi,Asthenes dorbignyi huancavelicae,Asthenes dorbignyi arequipae,Asthenes dorbignyi usheri,Asthenes dorbignyi dorbignyi/consobrina
848b2c9ffffffff,1.0,0.0,1.0,0.0,0.0
848b2cdffffffff,2.0,0.0,0.0,0.0,0.0
848e683ffffffff,6.0,0.0,6.0,0.0,0.0
848e687ffffffff,2.0,0.0,2.0,0.0,0.0
848e68bffffffff,12.0,0.0,0.0,11.0,0.0
848e6abffffffff,2.0,0.0,2.0,0.0,0.0
848e6c1ffffffff,3.0,0.0,0.0,3.0,0.0
848e6d1ffffffff,3.0,0.0,0.0,2.0,0.0
848e6d3ffffffff,1.0,0.0,0.0,0.0,0.0
848e6d9ffffffff,12.0,0.0,0.0,12.0,0.0
848e6ddffffffff,3.0,0.0,0.0,3.0,0.0
848f58dffffffff,4.0,0.0,0.0,4.0,0.0
848f5e1ffffffff,2.0,0.0,0.0,0.0,0.0
848f5ebffffffff,2.0,2.0,0.0,0.0,0.0
84b20b7ffffffff,2.0,0.0,0.0,0.0,0.0
84b2e13ffffffff,1.0,0.0,0.0,0.0,0.0
84b2ee1ffffffff,5.0,0.0,0.0,0.0,0.0
84b305dffffffff,3.0,0.0,0.0,0.0,0.0
84b30cbffffffff,1.0,0.0,1.0,0.0,0.0
84b3219ffffffff,1.0,0.0,1.0,0.0,0.0
84b326dffffffff,3.0,0.0,3.0,0.0,0.0
84b3289ffffffff,1.0,0.0,1.0,0.0,0.0
84b3551ffffffff,10.0,0.0,0.0,0.0,10.0
84b35a9ffffffff,2.0,0.0,0.0,0.0,0.0
84b3717ffffffff,1.0,0.0,0.0,0.0,0.0
84b3731ffffffff,4.0,0.0,0.0,0.0,2.0
