cell_id,Thraupis palmarum,Thraupis palmarum [palmarum Group],Thraupis palmarum violilavata
835e64fffffffff,2.0,0.0,0.0
835f01fffffffff,1.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,151.0,0.0,0.0
835f06fffffffff,4.0,0.0,0.0
835f08fffffffff,146.0,0.0,0.0
835f09fffffffff,465.0,0.0,0.0
835f0bfffffffff,73.0,0.0,0.0
835f0dfffffffff,40.0,0.0,0.0
835f0efffffffff,1.0,0.0,0.0
835f10fffffffff,28.0,0.0,0.0
835f11fffffffff,7.0,0.0,0.0
835f12fffffffff,187.0,0.0,0.0
835f13fffffffff,86.0,0.0,0.0
835f14fffffffff,53.0,0.0,0.0
835f16fffffffff,20.0,0.0,0.0
835f1cfffffffff,289.0,0.0,0.0
835f1dfffffffff,18.0,0.0,0.0
835f1efffffffff,45.0,0.0,0.0
835f22fffffffff,17.0,0.0,0.0
835f23fffffffff,1.0,0.0,0.0
835f28fffffffff,2.0,0.0,0.0
835f29fffffffff,429.0,0.0,0.0
835f2bfffffffff,1257.0,0.0,0.0
835f2dfffffffff,167.0,0.0,0.0
835f40fffffffff,95.0,0.0,0.0
835f41fffffffff,33.0,0.0,0.0
835f42fffffffff,53.0,0.0,0.0
835f43fffffffff,5.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f45fffffffff,1.0,0.0,0.0
835f46fffffffff,15.0,0.0,0.0
835f48fffffffff,16.0,0.0,0.0
835f49fffffffff,15.0,0.0,0.0
835f4afffffffff,78.0,0.0,0.0
835f4bfffffffff,126.0,0.0,0.0
835f4cfffffffff,2.0,0.0,0.0
835f4efffffffff,13.0,0.0,0.0
835f50fffffffff,36.0,0.0,0.0
835f54fffffffff,10.0,0.0,0.0
835f56fffffffff,10.0,0.0,0.0
835f58fffffffff,3988.0,0.0,0.0
835f59fffffffff,169.0,0.0,0.0
835f5bfffffffff,1504.0,0.0,0.0
835f5dfffffffff,32.0,0.0,0.0
835f63fffffffff,2.0,0.0,0.0
835f66fffffffff,2.0,0.0,0.0
835f68fffffffff,75.0,0.0,0.0
835f70fffffffff,5.0,0.0,0.0
835f71fffffffff,113.0,0.0,0.0
835f75fffffffff,112.0,0.0,0.0
835f76fffffffff,28.0,0.0,0.0
836600fffffffff,12.0,0.0,0.0
836601fffffffff,33.0,0.0,0.0
836602fffffffff,371.0,0.0,0.0
836603fffffffff,23.0,0.0,0.0
836604fffffffff,42.0,0.0,0.0
836605fffffffff,5.0,0.0,0.0
836606fffffffff,154.0,0.0,0.0
836608fffffffff,3348.0,0.0,0.0
836609fffffffff,124.0,0.0,0.0
83660afffffffff,511.0,0.0,0.0
83660bfffffffff,412.0,0.0,0.0
83660cfffffffff,222.0,0.0,0.0
83660dfffffffff,176.0,0.0,0.0
83660efffffffff,294.0,0.0,0.0
836610fffffffff,2004.0,0.0,0.0
836611fffffffff,587.0,0.0,0.0
836612fffffffff,67.0,0.0,0.0
836613fffffffff,999.0,0.0,0.0
836615fffffffff,2.0,0.0,0.0
836616fffffffff,1251.0,0.0,0.0
836618fffffffff,2034.0,0.0,0.0
836619fffffffff,6099.0,0.0,0.0
83661afffffffff,468.0,0.0,0.0
83661bfffffffff,5944.0,0.0,0.0
83661cfffffffff,237.0,0.0,0.0
83661dfffffffff,869.0,0.0,0.0
83661efffffffff,198.0,0.0,0.0
836620fffffffff,1640.0,0.0,0.0
836621fffffffff,126.0,0.0,0.0
836622fffffffff,680.0,0.0,0.0
836623fffffffff,30.0,0.0,0.0
836625fffffffff,15.0,0.0,0.0
