cell_id,Strix huhula,Strix huhula [undescribed cloud-forest form]
825f07fffffffff,13.0,0.0
825f0ffffffffff,2.0,0.0
825f17fffffffff,3.0,0.0
825f1ffffffffff,9.0,0.0
825f2ffffffffff,135.0,0.0
825f47fffffffff,4.0,0.0
825f6ffffffffff,3.0,0.0
825f77fffffffff,1.0,0.0
82666ffffffffff,7.0,0.0
8266c7fffffffff,88.0,0.0
8266cffffffffff,2.0,0.0
8266dffffffffff,1152.0,841.0
8266effffffffff,6.0,0.0
828047fffffffff,2.0,0.0
828067fffffffff,7.0,0.0
82806ffffffffff,1.0,0.0
828077fffffffff,3.0,0.0
828127fffffffff,7.0,0.0
828137fffffffff,11.0,0.0
828147fffffffff,2.0,0.0
82814ffffffffff,21.0,0.0
82815ffffffffff,16.0,0.0
828167fffffffff,35.0,0.0
828177fffffffff,1.0,0.0
828a07fffffffff,11.0,0.0
828a27fffffffff,3.0,0.0
828a47fffffffff,13.0,0.0
828a6ffffffffff,88.0,0.0
828a97fffffffff,6.0,0.0
828a9ffffffffff,6.0,0.0
828aaffffffffff,6.0,0.0
828adffffffffff,1.0,0.0
828af7fffffffff,55.0,0.0
828b0ffffffffff,5.0,0.0
828b27fffffffff,2.0,0.0
828b2ffffffffff,3.0,0.0
828b47fffffffff,147.0,0.0
828b4ffffffffff,2.0,0.0
828b57fffffffff,8.0,0.0
828b5ffffffffff,1.0,0.0
828b67fffffffff,188.0,0.0
828b6ffffffffff,22.0,0.0
828b77fffffffff,12.0,0.0
828b87fffffffff,3.0,0.0
828b9ffffffffff,16.0,0.0
828ba7fffffffff,7.0,0.0
828bb7fffffffff,1.0,0.0
828f47fffffffff,96.0,0.0
828f4ffffffffff,4.0,0.0
828f5ffffffffff,1.0,0.0
828f67fffffffff,3.0,0.0
828f6ffffffffff,1.0,0.0
828f77fffffffff,12.0,0.0
82a807fffffffff,13.0,0.0
82a817fffffffff,46.0,0.0
82a81ffffffffff,36.0,0.0
82a837fffffffff,2.0,0.0
82a847fffffffff,30.0,0.0
82a857fffffffff,2.0,0.0
82a85ffffffffff,138.0,0.0
82a887fffffffff,7.0,0.0
82a88ffffffffff,12.0,0.0
82a897fffffffff,13.0,0.0
82a8a7fffffffff,52.0,0.0
82a8affffffffff,2.0,0.0
82a8c7fffffffff,4.0,0.0
82a8d7fffffffff,16.0,0.0
82a947fffffffff,12.0,0.0
82a957fffffffff,93.0,0.0
82b347fffffffff,50.0,0.0
82b357fffffffff,1.0,0.0
