cell_id,Sphecotheres vieilloti,Sphecotheres vieilloti [flaviventris Group],Sphecotheres vieilloti salvadorii,Sphecotheres vieilloti vieilloti
8472901ffffffff,5.0,0.0,0.0,0.0
8472905ffffffff,5.0,0.0,0.0,0.0
847290dffffffff,8.0,0.0,0.0,0.0
8494187ffffffff,4.0,0.0,0.0,0.0
84941bdffffffff,4.0,0.0,0.0,0.0
8494503ffffffff,27.0,0.0,0.0,0.0
8494507ffffffff,4.0,0.0,0.0,0.0
849450bffffffff,303.0,7.0,0.0,0.0
8494511ffffffff,225.0,7.0,0.0,0.0
8494513ffffffff,4.0,0.0,0.0,0.0
8494515ffffffff,45.0,2.0,0.0,0.0
8494517ffffffff,38.0,1.0,0.0,0.0
849451dffffffff,2486.0,151.0,0.0,0.0
8494531ffffffff,4.0,0.0,0.0,0.0
8494533ffffffff,4.0,0.0,0.0,0.0
8494535ffffffff,9.0,0.0,0.0,0.0
8494537ffffffff,7.0,0.0,0.0,0.0
8494539ffffffff,54.0,3.0,0.0,0.0
8494551ffffffff,3.0,0.0,0.0,0.0
8494559ffffffff,8.0,0.0,0.0,0.0
8494593ffffffff,5.0,0.0,0.0,0.0
84945a5ffffffff,2.0,0.0,0.0,0.0
84945adffffffff,11.0,0.0,0.0,0.0
84945c3ffffffff,49.0,0.0,0.0,0.0
84945c5ffffffff,16.0,0.0,0.0,0.0
84945c7ffffffff,29.0,0.0,0.0,0.0
84945cdffffffff,2.0,0.0,0.0,0.0
84945e1ffffffff,5.0,0.0,0.0,0.0
84945e3ffffffff,18.0,0.0,0.0,0.0
84945e5ffffffff,204.0,0.0,0.0,0.0
84945ebffffffff,21.0,0.0,0.0,0.0
84948d9ffffffff,7.0,0.0,0.0,0.0
8494a93ffffffff,2.0,0.0,0.0,0.0
8494e23ffffffff,1.0,0.0,0.0,0.0
8494e35ffffffff,7.0,0.0,0.0,0.0
8494e85ffffffff,4.0,0.0,0.0,0.0
8494e87ffffffff,1.0,0.0,0.0,0.0
8494ed1ffffffff,2.0,0.0,0.0,0.0
8494ed3ffffffff,156.0,0.0,0.0,0.0
8494ed7ffffffff,2.0,0.0,0.0,0.0
8494edbffffffff,6.0,0.0,0.0,0.0
8494eddffffffff,2.0,0.0,0.0,0.0
8494ee7ffffffff,16.0,0.0,0.0,0.0
8494f65ffffffff,1.0,0.0,0.0,0.0
8494f69ffffffff,3.0,0.0,0.0,0.0
8494f6bffffffff,2.0,0.0,0.0,0.0
8494f6dffffffff,1.0,0.0,0.0,0.0
849c003ffffffff,13.0,0.0,0.0,0.0
849c009ffffffff,103.0,0.0,0.0,0.0
849c00bffffffff,30.0,0.0,0.0,0.0
849c011ffffffff,2.0,0.0,0.0,0.0
849c017ffffffff,6.0,0.0,0.0,0.0
849c019ffffffff,11.0,0.0,0.0,0.0
849c01dffffffff,16.0,0.0,0.0,0.0
849c051ffffffff,2.0,0.0,0.0,0.0
849c055ffffffff,14.0,0.0,0.0,0.0
849c057ffffffff,3.0,0.0,0.0,0.0
849c059ffffffff,105.0,0.0,0.0,0.0
849c05dffffffff,799.0,0.0,0.0,0.0
849c0a5ffffffff,16.0,0.0,0.0,0.0
849c0a7ffffffff,4.0,0.0,0.0,0.0
