cell_id,Synallaxis unirufa,Synallaxis unirufa unirufa,Synallaxis unirufa munoztebari,Synallaxis unirufa meridana,Synallaxis unirufa ochrogaster
84660bdffffffff,10.0,4.0,0.0,0.0,0.0
84660c3ffffffff,2.0,0.0,0.0,2.0,0.0
84660ddffffffff,6.0,0.0,0.0,0.0,0.0
8466187ffffffff,2.0,0.0,0.0,0.0,0.0
84661b1ffffffff,3.0,0.0,0.0,0.0,0.0
84661bbffffffff,1.0,0.0,0.0,0.0,0.0
8466217ffffffff,15.0,0.0,15.0,0.0,0.0
8466de1ffffffff,4.0,4.0,0.0,0.0,0.0
84675a5ffffffff,1.0,0.0,0.0,0.0,0.0
848f4a5ffffffff,2.0,0.0,0.0,0.0,2.0
848f54dffffffff,3.0,0.0,0.0,0.0,0.0
848f721ffffffff,6.0,6.0,0.0,0.0,0.0
848f733ffffffff,1.0,0.0,0.0,0.0,1.0
