cell_id,Troglodytes pacificus,Troglodytes pacificus [alascensis Group],Troglodytes pacificus [pacificus Group]
840c415ffffffff,600.0,0.0,0.0
840c421ffffffff,10.0,0.0,0.0
840c425ffffffff,38.0,0.0,0.0
840c427ffffffff,58.0,0.0,0.0
840c42dffffffff,377.0,0.0,0.0
840c441ffffffff,7.0,0.0,0.0
840c451ffffffff,7.0,0.0,0.0
840c455ffffffff,57.0,0.0,0.0
840c461ffffffff,8.0,0.0,0.0
840c467ffffffff,7.0,0.0,0.0
840c46dffffffff,20.0,0.0,0.0
840c503ffffffff,5.0,0.0,0.0
840c511ffffffff,17.0,0.0,0.0
840c515ffffffff,25.0,0.0,0.0
840c51dffffffff,134.0,0.0,0.0
840c551ffffffff,4.0,0.0,0.0
840c55bffffffff,6.0,0.0,0.0
840c55dffffffff,2.0,0.0,0.0
840c5a1ffffffff,32.0,0.0,0.0
840c5a5ffffffff,322.0,0.0,0.0
840c5a7ffffffff,69.0,0.0,0.0
840c5adffffffff,447.0,0.0,0.0
840c6a5ffffffff,6.0,0.0,0.0
840c733ffffffff,35.0,0.0,0.0
840c73bffffffff,4.0,0.0,0.0
840ccc3ffffffff,4.0,0.0,0.0
840ccd1ffffffff,2.0,0.0,0.0
840cdd7ffffffff,2.0,0.0,0.0
840ce89ffffffff,2.0,0.0,0.0
840ce99ffffffff,2.0,0.0,0.0
840ce9dffffffff,9.0,0.0,0.0
840ced1ffffffff,3.0,0.0,0.0
840ced3ffffffff,5.0,0.0,0.0
840ced7ffffffff,2.0,0.0,0.0
840ced9ffffffff,2.0,0.0,0.0
840cedbffffffff,2.0,0.0,0.0
840cee5ffffffff,3.0,0.0,0.0
84121a3ffffffff,2.0,0.0,0.0
84121a7ffffffff,8.0,0.0,0.0
84121adffffffff,8.0,0.0,0.0
8412801ffffffff,4.0,0.0,0.0
8412805ffffffff,158.0,0.0,0.0
841280bffffffff,2.0,0.0,0.0
841280dffffffff,45.0,0.0,0.0
841281dffffffff,2.0,0.0,0.0
8412821ffffffff,10.0,0.0,0.0
8412825ffffffff,2.0,0.0,0.0
8412829ffffffff,2.0,0.0,0.0
841282dffffffff,4.0,0.0,0.0
8412835ffffffff,3.0,0.0,0.0
8412841ffffffff,2.0,0.0,0.0
8412843ffffffff,2.0,0.0,0.0
8412847ffffffff,97.0,0.0,0.0
841284dffffffff,4.0,0.0,0.0
8412851ffffffff,12.0,0.0,0.0
8412853ffffffff,2.0,0.0,0.0
8412855ffffffff,2.0,0.0,0.0
8412857ffffffff,12.0,0.0,0.0
8412859ffffffff,4.0,0.0,0.0
841285dffffffff,9.0,0.0,0.0
8412861ffffffff,10.0,0.0,0.0
8412865ffffffff,36.0,0.0,0.0
8412869ffffffff,2.0,0.0,0.0
841286bffffffff,25.0,0.0,0.0
841286dffffffff,65.0,0.0,0.0
841288dffffffff,2.0,0.0,0.0
8412891ffffffff,3.0,0.0,0.0
841289bffffffff,2.0,0.0,0.0
84128bdffffffff,143.0,0.0,0.0
84128c5ffffffff,2.0,0.0,0.0
84128cbffffffff,2.0,0.0,0.0
84128d3ffffffff,9.0,0.0,0.0
84128d9ffffffff,8.0,0.0,0.0
84128dbffffffff,27.0,0.0,0.0
84128e3ffffffff,2.0,0.0,0.0
84128e5ffffffff,2.0,0.0,0.0
84128e7ffffffff,2.0,0.0,0.0
8412901ffffffff,24.0,0.0,0.0
8412905ffffffff,4.0,0.0,0.0
8412907ffffffff,25.0,0.0,0.0
8412909ffffffff,105.0,0.0,0.0
8412913ffffffff,1.0,0.0,0.0
8412939ffffffff,6.0,0.0,0.0
841293dffffffff,22.0,0.0,0.0
8412941ffffffff,22.0,0.0,0.0
8412943ffffffff,29.0,0.0,0.0
8412945ffffffff,2.0,0.0,0.0
8412947ffffffff,102.0,0.0,0.0
8412949ffffffff,58.0,0.0,0.0
841294bffffffff,37.0,0.0,0.0
841294dffffffff,7.0,0.0,0.0
841295bffffffff,1.0,0.0,0.0
841296bffffffff,2.0,0.0,0.0
8412987ffffffff,8.0,0.0,0.0
8412989ffffffff,25.0,0.0,0.0
841298dffffffff,74.0,0.0,0.0
8412991ffffffff,8.0,0.0,0.0
8412993ffffffff,16.0,0.0,0.0
8412995ffffffff,3.0,0.0,0.0
8412997ffffffff,7.0,0.0,0.0
84129a1ffffffff,1.0,0.0,0.0
84129a3ffffffff,8.0,0.0,0.0
84129abffffffff,42.0,0.0,0.0
84129adffffffff,7.0,0.0,0.0
84129b1ffffffff,7.0,0.0,0.0
84129b3ffffffff,16.0,0.0,0.0
84129b5ffffffff,14.0,0.0,0.0
84129b7ffffffff,25.0,0.0,0.0
84129b9ffffffff,68.0,0.0,0.0
84129bbffffffff,130.0,0.0,0.0
84129bdffffffff,16.0,0.0,0.0
84129c1ffffffff,4.0,0.0,0.0
84129c3ffffffff,12.0,0.0,0.0
84129c7ffffffff,56.0,0.0,0.0
84129c9ffffffff,40.0,0.0,0.0
84129cbffffffff,2.0,0.0,0.0
84129cdffffffff,13.0,0.0,0.0
84129d9ffffffff,12.0,0.0,0.0
84129dbffffffff,1.0,0.0,0.0
8412a21ffffffff,12.0,0.0,0.0
8412a23ffffffff,1.0,0.0,0.0
8412a25ffffffff,55.0,0.0,0.0
8412a27ffffffff,1.0,0.0,0.0
8412a2dffffffff,5.0,0.0,0.0
8412a33ffffffff,7.0,0.0,0.0
8412a37ffffffff,7.0,0.0,0.0
8412a67ffffffff,4.0,0.0,0.0
8412a87ffffffff,8.0,0.0,0.0
8412a89ffffffff,5.0,0.0,0.0
8412a8bffffffff,2.0,0.0,0.0
8412a8dffffffff,2.0,0.0,0.0
8412a95ffffffff,2.0,0.0,0.0
8412a97ffffffff,42.0,0.0,0.0
8412a99ffffffff,2.0,0.0,0.0
8412a9bffffffff,2.0,0.0,0.0
8412a9dffffffff,4.0,0.0,0.0
8412aa5ffffffff,2.0,0.0,0.0
8412aa7ffffffff,2.0,0.0,0.0
8412aabffffffff,7.0,0.0,0.0
8412ab3ffffffff,41.0,0.0,0.0
8412ad1ffffffff,1.0,0.0,0.0
8412ad3ffffffff,1.0,0.0,0.0
8412ad5ffffffff,2.0,0.0,0.0
8412ad7ffffffff,39.0,0.0,0.0
8412addffffffff,2.0,0.0,0.0
8412b01ffffffff,476.0,0.0,0.0
8412b03ffffffff,795.0,0.0,0.0
8412b05ffffffff,5.0,0.0,0.0
8412b07ffffffff,2.0,0.0,0.0
8412b09ffffffff,2.0,0.0,0.0
8412b0bffffffff,26.0,0.0,0.0
8412b0dffffffff,10.0,0.0,0.0
8412b15ffffffff,2.0,0.0,0.0
8412b17ffffffff,7.0,0.0,0.0
8412b19ffffffff,4.0,0.0,0.0
8412b1dffffffff,2.0,0.0,0.0
8412b29ffffffff,5.0,0.0,0.0
8412b33ffffffff,6.0,0.0,0.0
8412b35ffffffff,2.0,0.0,0.0
8412b3bffffffff,4.0,0.0,0.0
8412b41ffffffff,9.0,0.0,0.0
8412b43ffffffff,79.0,0.0,0.0
8412b45ffffffff,2.0,0.0,0.0
8412b47ffffffff,5.0,0.0,0.0
8412b49ffffffff,35.0,0.0,0.0
8412b4bffffffff,108.0,0.0,0.0
8412b51ffffffff,25.0,0.0,0.0
8412b53ffffffff,39.0,0.0,0.0
8412b55ffffffff,30.0,0.0,0.0
8412b57ffffffff,36.0,0.0,0.0
8412b63ffffffff,58.0,0.0,0.0
8412b6bffffffff,4.0,0.0,0.0
8412c01ffffffff,59.0,0.0,0.0
8412c03ffffffff,122.0,0.0,0.0
8412c05ffffffff,39.0,0.0,0.0
8412c07ffffffff,13.0,0.0,0.0
8412c0bffffffff,9.0,0.0,0.0
8412c11ffffffff,50.0,0.0,0.0
8412c13ffffffff,25.0,0.0,0.0
8412c15ffffffff,16.0,0.0,0.0
8412c17ffffffff,19.0,0.0,0.0
8412c1bffffffff,15.0,0.0,0.0
8412c1dffffffff,98.0,0.0,0.0
8412c21ffffffff,102.0,0.0,0.0
8412c23ffffffff,10.0,0.0,0.0
8412c25ffffffff,39.0,0.0,0.0
8412c27ffffffff,7.0,0.0,0.0
8412c29ffffffff,15.0,0.0,0.0
8412c2dffffffff,5.0,0.0,0.0
8412c31ffffffff,5.0,0.0,0.0
8412c35ffffffff,19.0,0.0,0.0
8412c37ffffffff,8.0,0.0,0.0
8412c39ffffffff,2.0,0.0,0.0
8412c3bffffffff,15.0,0.0,0.0
8412c45ffffffff,1.0,0.0,0.0
8412c49ffffffff,4.0,0.0,0.0
8412c4dffffffff,4.0,0.0,0.0
8412c55ffffffff,2.0,0.0,0.0
8412c85ffffffff,29.0,0.0,0.0
8412c87ffffffff,10.0,0.0,0.0
8412ca1ffffffff,11.0,0.0,0.0
8412ca3ffffffff,91.0,0.0,0.0
8412ca5ffffffff,4.0,0.0,0.0
8412ca7ffffffff,9.0,0.0,0.0
8412ca9ffffffff,27.0,0.0,0.0
8412cabffffffff,167.0,0.0,0.0
8412cadffffffff,6.0,0.0,0.0
8412cb1ffffffff,60.0,0.0,0.0
8412cb5ffffffff,232.0,0.0,0.0
8412cb7ffffffff,14.0,0.0,0.0
8412cbdffffffff,604.0,0.0,0.0
8412cc7ffffffff,2.0,0.0,0.0
8412ccdffffffff,175.0,0.0,0.0
8412ce1ffffffff,5.0,0.0,0.0
8412ce3ffffffff,11.0,0.0,0.0
8412ce5ffffffff,12.0,0.0,0.0
8412ce7ffffffff,53.0,0.0,0.0
8412ce9ffffffff,11.0,0.0,0.0
8412cebffffffff,3.0,0.0,0.0
8412cedffffffff,2.0,0.0,0.0
8412d01ffffffff,4.0,0.0,0.0
8412d03ffffffff,10.0,0.0,0.0
8412d05ffffffff,2.0,0.0,0.0
8412d0bffffffff,8.0,0.0,0.0
8412d0dffffffff,2.0,0.0,0.0
8412d11ffffffff,57.0,0.0,0.0
8412d13ffffffff,2.0,0.0,0.0
8412d15ffffffff,2.0,0.0,0.0
8412d17ffffffff,263.0,0.0,0.0
8412d19ffffffff,90.0,0.0,0.0
8412d1bffffffff,6.0,0.0,0.0
8412d21ffffffff,4.0,0.0,0.0
8412d25ffffffff,20.0,0.0,0.0
8412d27ffffffff,103.0,0.0,0.0
8412d29ffffffff,13.0,0.0,0.0
8412d2dffffffff,25.0,0.0,0.0
8412d31ffffffff,5.0,0.0,0.0
8412d33ffffffff,39.0,0.0,0.0
8412d35ffffffff,38.0,0.0,0.0
8412d37ffffffff,2.0,0.0,0.0
8412d39ffffffff,4.0,0.0,0.0
8412d3bffffffff,99.0,0.0,0.0
8412d3dffffffff,7.0,0.0,0.0
8412d41ffffffff,7.0,0.0,0.0
8412d43ffffffff,2.0,0.0,0.0
8412d49ffffffff,1.0,0.0,0.0
8412d4bffffffff,4.0,0.0,0.0
8412d4dffffffff,2.0,0.0,0.0
8412d51ffffffff,5.0,0.0,0.0
8412d57ffffffff,12.0,0.0,0.0
8412d5bffffffff,9.0,0.0,0.0
