cell_id,Pharomachrus mocinno,Pharomachrus mocinno mocinno,Pharomachrus mocinno costaricensis
8445253ffffffff,1.0,1.0,0.0
8445255ffffffff,1.0,0.0,0.0
844525bffffffff,4.0,4.0,0.0
8466b41ffffffff,56.0,0.0,56.0
8466b45ffffffff,119.0,0.0,108.0
8466b4dffffffff,105.0,0.0,61.0
8466b51ffffffff,8.0,0.0,6.0
8466b53ffffffff,3.0,0.0,0.0
8466b5bffffffff,1.0,0.0,0.0
8467961ffffffff,7.0,0.0,0.0
846d05bffffffff,11.0,3.0,0.0
846d287ffffffff,2.0,0.0,0.0
846d295ffffffff,2.0,0.0,0.0
846d2abffffffff,8.0,3.0,0.0
846d2b9ffffffff,7.0,0.0,0.0
846d2d3ffffffff,4.0,0.0,0.0
846d65dffffffff,2.0,2.0,0.0
846d691ffffffff,3.0,0.0,0.0
846d69bffffffff,8.0,0.0,0.0
846d69dffffffff,20.0,0.0,20.0
