cell_id,Heliangelus viola,Heliangelus viola viola,Heliangelus viola splendidus/pyropus
848f0d3ffffffff,287.0,0.0,35.0
848f0dbffffffff,1.0,0.0,0.0
848f291ffffffff,21.0,0.0,0.0
848f293ffffffff,2.0,0.0,0.0
848f297ffffffff,34.0,0.0,0.0
848f29dffffffff,2.0,0.0,0.0
848f2bbffffffff,28.0,0.0,4.0
848f425ffffffff,1.0,0.0,0.0
848f42dffffffff,85.0,0.0,0.0
848f465ffffffff,6.0,0.0,0.0
848f509ffffffff,13.0,0.0,0.0
848f50bffffffff,4.0,0.0,0.0
848f511ffffffff,2.0,0.0,0.0
848f515ffffffff,2.0,0.0,0.0
848f519ffffffff,10.0,0.0,0.0
848f51dffffffff,10.0,0.0,0.0
848f541ffffffff,8.0,0.0,0.0
848f54dffffffff,28.0,0.0,0.0
848f551ffffffff,1.0,0.0,0.0
848f553ffffffff,137.0,0.0,0.0
848f555ffffffff,2.0,0.0,0.0
848f557ffffffff,3.0,0.0,0.0
848f559ffffffff,170.0,0.0,0.0
848f55bffffffff,119.0,0.0,0.0
848f55dffffffff,2.0,0.0,0.0
848f721ffffffff,13.0,0.0,1.0
848f725ffffffff,19.0,0.0,12.0
848f729ffffffff,1.0,0.0,0.0
848f72dffffffff,61.0,0.0,4.0
848f733ffffffff,5.0,0.0,0.0
848f761ffffffff,35.0,0.0,0.0
848f765ffffffff,21.0,0.0,0.0
848f767ffffffff,70.0,0.0,8.0
848f769ffffffff,56.0,0.0,4.0
848f76dffffffff,178.0,0.0,0.0
