cell_id,Ketupa zeylonensis,Ketupa zeylonensis semenowi,Ketupa zeylonensis [zeylonensis Group]
843c029ffffffff,3.0,0.0,0.0
843c02dffffffff,12.0,0.0,0.0
843c065ffffffff,4.0,0.0,0.0
843c159ffffffff,33.0,0.0,0.0
843c199ffffffff,11.0,0.0,0.0
843c19bffffffff,3.0,0.0,0.0
843c1c3ffffffff,24.0,0.0,0.0
843c329ffffffff,2.0,0.0,0.0
843c333ffffffff,2.0,0.0,0.0
843c33bffffffff,1.0,0.0,0.0
843c369ffffffff,5.0,0.0,0.0
843c36bffffffff,6.0,0.0,0.0
843c5a1ffffffff,1.0,0.0,0.0
843c5a9ffffffff,1.0,0.0,0.0
843c801ffffffff,1.0,0.0,0.0
843c80bffffffff,1.0,0.0,0.0
843c839ffffffff,3.0,0.0,0.0
843c83bffffffff,1.0,0.0,0.0
843c8c1ffffffff,7.0,0.0,0.0
843c8c7ffffffff,4.0,0.0,0.0
843c8c9ffffffff,4.0,0.0,0.0
843c8cbffffffff,3.0,0.0,0.0
843c8e5ffffffff,3.0,0.0,0.0
843c8edffffffff,15.0,0.0,0.0
843c909ffffffff,9.0,0.0,0.0
843c929ffffffff,6.0,0.0,0.0
843c92dffffffff,29.0,0.0,0.0
843c943ffffffff,9.0,0.0,0.0
843c947ffffffff,5.0,0.0,0.0
843c953ffffffff,1.0,0.0,0.0
843c967ffffffff,4.0,0.0,0.0
843ca03ffffffff,5.0,0.0,0.0
843ca3bffffffff,9.0,0.0,0.0
843ca41ffffffff,3.0,0.0,0.0
843ca45ffffffff,6.0,0.0,0.0
843ca47ffffffff,7.0,0.0,0.0
843ca5dffffffff,1.0,0.0,0.0
843cb09ffffffff,2.0,0.0,0.0
843cb13ffffffff,2.0,0.0,0.0
843cb2bffffffff,2.0,0.0,0.0
843cb47ffffffff,1.0,0.0,0.0
843cb4dffffffff,6.0,0.0,0.0
843cb59ffffffff,7.0,0.0,0.0
843cb5dffffffff,53.0,0.0,0.0
843cb65ffffffff,57.0,0.0,0.0
843cb6dffffffff,13.0,0.0,0.0
843cc41ffffffff,3.0,0.0,0.0
843cc43ffffffff,5.0,0.0,0.0
843cc55ffffffff,12.0,0.0,0.0
