cell_id,Terpsiphone mutata,Terpsiphone mutata [mutata Group],Terpsiphone mutata vulpina/voeltzkowiana,Terpsiphone mutata comorensis
83a204fffffffff,6.0,2.0,0.0,0.0
83a210fffffffff,1.0,0.0,0.0,0.0
83a213fffffffff,1.0,0.0,0.0,0.0
83a214fffffffff,393.0,185.0,0.0,0.0
83a215fffffffff,2.0,0.0,0.0,0.0
83a216fffffffff,4.0,0.0,0.0,0.0
83a222fffffffff,423.0,145.0,0.0,0.0
83a223fffffffff,1.0,0.0,0.0,0.0
83a230fffffffff,2.0,2.0,0.0,0.0
83a231fffffffff,539.0,225.0,0.0,0.0
83a235fffffffff,3.0,2.0,0.0,0.0
83a2a3fffffffff,166.0,78.0,0.0,0.0
83a2a4fffffffff,135.0,55.0,0.0,0.0
83a2a6fffffffff,7.0,3.0,0.0,0.0
83a2aefffffffff,28.0,10.0,0.0,0.0
83a304fffffffff,26.0,0.0,0.0,0.0
83a308fffffffff,41.0,7.0,0.0,0.0
83a309fffffffff,40.0,13.0,0.0,0.0
83a30cfffffffff,26.0,2.0,0.0,0.0
83a30dfffffffff,4.0,4.0,0.0,0.0
83a30efffffffff,6.0,0.0,0.0,0.0
83a318fffffffff,15.0,8.0,0.0,0.0
83a319fffffffff,395.0,183.0,0.0,0.0
83a31bfffffffff,5.0,5.0,0.0,0.0
83a31cfffffffff,4.0,0.0,0.0,0.0
83a31dfffffffff,3.0,0.0,0.0,0.0
83a331fffffffff,24.0,0.0,0.0,0.0
83a335fffffffff,23.0,0.0,0.0,0.0
83a356fffffffff,149.0,52.0,0.0,0.0
83a376fffffffff,35.0,13.0,0.0,0.0
83a388fffffffff,2.0,0.0,0.0,0.0
83a389fffffffff,1.0,0.0,0.0,0.0
83a38bfffffffff,68.0,27.0,0.0,0.0
83a38cfffffffff,2.0,0.0,0.0,0.0
83a38dfffffffff,37.0,16.0,0.0,0.0
83a399fffffffff,213.0,99.0,0.0,0.0
83a3a9fffffffff,6.0,4.0,0.0,0.0
83a3abfffffffff,16.0,10.0,0.0,0.0
83a3adfffffffff,5.0,0.0,0.0,0.0
