cell_id,Amazilia rutila,Amazilia rutila graysoni,Amazilia rutila [rutila Group]
8445201ffffffff,4.0,0.0,0.0
8445203ffffffff,8.0,0.0,0.0
8445209ffffffff,2.0,0.0,0.0
844520dffffffff,4.0,0.0,0.0
844521dffffffff,1.0,0.0,0.0
8445257ffffffff,2.0,0.0,0.0
844526bffffffff,3.0,0.0,0.0
84452e1ffffffff,2.0,0.0,0.0
84452e5ffffffff,2.0,0.0,0.0
8445727ffffffff,1.0,0.0,0.0
8448333ffffffff,2.0,0.0,2.0
8448337ffffffff,1.0,0.0,1.0
8448361ffffffff,6.0,0.0,1.0
8449a89ffffffff,1.0,0.0,1.0
8449b33ffffffff,2.0,0.0,0.0
8449b67ffffffff,2.0,0.0,0.0
846792dffffffff,2.0,0.0,0.0
84679a5ffffffff,2.0,0.0,0.0
846d043ffffffff,1.0,0.0,1.0
846d05bffffffff,1.0,0.0,1.0
846d159ffffffff,10.0,0.0,0.0
846d251ffffffff,3.0,0.0,0.0
846d255ffffffff,7.0,0.0,0.0
846d295ffffffff,4.0,0.0,4.0
846d299ffffffff,9.0,0.0,0.0
846d2b9ffffffff,8.0,0.0,5.0
846d2d7ffffffff,32.0,0.0,18.0
846d337ffffffff,6.0,0.0,0.0
846d653ffffffff,1.0,0.0,0.0
846d655ffffffff,4.0,0.0,0.0
846d657ffffffff,6.0,0.0,0.0
846d681ffffffff,4.0,0.0,0.0
846d683ffffffff,7.0,0.0,4.0
846d685ffffffff,1.0,0.0,0.0
846d687ffffffff,2.0,0.0,2.0
846d68bffffffff,24.0,0.0,0.0
846d693ffffffff,2.0,0.0,2.0
846d695ffffffff,27.0,0.0,27.0
846d697ffffffff,4.0,0.0,4.0
846d69dffffffff,3.0,0.0,0.0
846d6bbffffffff,2.0,0.0,0.0
846d6d5ffffffff,4.0,0.0,0.0
