cell_id,Sturnia malabarica,Sturnia malabarica malabarica,Sturnia malabarica nemoricola
833c02fffffffff,5.0,0.0,0.0
833c0afffffffff,4.0,0.0,0.0
833c11fffffffff,20.0,0.0,0.0
833c19fffffffff,22.0,0.0,0.0
833c1bfffffffff,10.0,0.0,0.0
833c1dfffffffff,7.0,0.0,0.0
833c52fffffffff,19.0,2.0,0.0
833c58fffffffff,2.0,0.0,0.0
833c5afffffffff,6.0,0.0,0.0
833c5cfffffffff,3.0,0.0,0.0
833c83fffffffff,2.0,0.0,0.0
833c88fffffffff,9.0,0.0,0.0
833c8cfffffffff,6.0,0.0,0.0
833c8dfffffffff,8.0,0.0,0.0
833c8efffffffff,18.0,0.0,0.0
833c90fffffffff,6.0,0.0,0.0
833c92fffffffff,127.0,0.0,0.0
833c93fffffffff,6.0,0.0,0.0
833c94fffffffff,5.0,0.0,0.0
833c96fffffffff,10.0,0.0,0.0
833ca8fffffffff,3.0,0.0,0.0
833ca9fffffffff,2.0,0.0,0.0
833cb1fffffffff,5.0,0.0,0.0
833cb5fffffffff,7.0,0.0,0.0
833cb6fffffffff,2.0,0.0,0.0
833cc4fffffffff,3.0,0.0,0.0
833ce4fffffffff,2.0,0.0,0.0
833cf0fffffffff,3.0,0.0,0.0
833cf1fffffffff,1.0,0.0,0.0
833cf2fffffffff,39.0,0.0,0.0
833cf4fffffffff,6.0,0.0,0.0
833cf6fffffffff,4.0,0.0,0.0
833d10fffffffff,8.0,0.0,0.0
833d13fffffffff,2.0,0.0,0.0
833d33fffffffff,4.0,0.0,0.0
833d84fffffffff,12.0,0.0,0.0
833d85fffffffff,2.0,0.0,0.0
833d8bfffffffff,12.0,0.0,0.0
833d8cfffffffff,3.0,0.0,0.0
833d8dfffffffff,15.0,0.0,0.0
833da1fffffffff,8.0,0.0,0.0
833da5fffffffff,4.0,0.0,0.0
833da8fffffffff,2.0,0.0,0.0
833da9fffffffff,4.0,0.0,0.0
833dacfffffffff,7.0,0.0,0.0
833dadfffffffff,3.0,0.0,0.0
833db1fffffffff,5.0,0.0,0.0
833db2fffffffff,5.0,0.0,0.0
833db6fffffffff,2.0,0.0,0.0
83404dfffffffff,2.0,0.0,0.0
83411cfffffffff,5.0,0.0,0.0
8341b4fffffffff,1.0,0.0,0.0
834206fffffffff,1.0,0.0,0.0
834259fffffffff,2.0,0.0,0.0
83425afffffffff,5.0,0.0,0.0
834269fffffffff,6.0,0.0,0.0
8342cafffffffff,5.0,0.0,0.0
8342cbfffffffff,1.0,0.0,0.0
8342cdfffffffff,9.0,0.0,0.0
8342dcfffffffff,7.0,0.0,0.0
8342ddfffffffff,3.0,0.0,0.0
834310fffffffff,2.0,0.0,0.0
834ba0fffffffff,2.0,0.0,0.0
834ba2fffffffff,5.0,0.0,0.0
834bb1fffffffff,19.0,0.0,0.0
834bb5fffffffff,4.0,0.0,0.0
836002fffffffff,47.0,0.0,0.0
836004fffffffff,3.0,0.0,0.0
836006fffffffff,27.0,0.0,0.0
836011fffffffff,19.0,0.0,0.0
836014fffffffff,31.0,0.0,0.0
836015fffffffff,29.0,0.0,0.0
836016fffffffff,8.0,0.0,0.0
83601efffffffff,27.0,0.0,0.0
836022fffffffff,16.0,0.0,0.0
836026fffffffff,13.0,0.0,0.0
836031fffffffff,99.0,0.0,0.0
836032fffffffff,1.0,0.0,0.0
836033fffffffff,15.0,0.0,0.0
836035fffffffff,1.0,0.0,0.0
836088fffffffff,35.0,0.0,0.0
83608efffffffff,3.0,0.0,0.0
836093fffffffff,3.0,0.0,0.0
836096fffffffff,14.0,0.0,0.0
83609bfffffffff,3.0,0.0,0.0
83609efffffffff,16.0,0.0,0.0
8360a2fffffffff,5.0,0.0,0.0
8360a6fffffffff,10.0,0.0,0.0
8360a8fffffffff,7.0,0.0,0.0
8360a9fffffffff,67.0,0.0,0.0
8360aafffffffff,4.0,0.0,0.0
8360abfffffffff,10.0,0.0,0.0
8360adfffffffff,3.0,0.0,0.0
8360b1fffffffff,4.0,0.0,0.0
8360b2fffffffff,3.0,0.0,0.0
836102fffffffff,8.0,0.0,0.0
836106fffffffff,4.0,0.0,0.0
836188fffffffff,3.0,0.0,0.0
836189fffffffff,9.0,0.0,0.0
83618bfffffffff,1.0,0.0,0.0
83618cfffffffff,7.0,0.0,0.0
83619afffffffff,29.0,0.0,0.0
83619bfffffffff,6.0,0.0,0.0
836416fffffffff,12.0,0.0,0.0
836482fffffffff,5.0,0.0,0.0
83648cfffffffff,3.0,0.0,0.0
836498fffffffff,2.0,0.0,0.0
8364b6fffffffff,14.0,0.0,0.0
836505fffffffff,2.0,0.0,0.0
83659cfffffffff,2.0,0.0,0.0
