cell_id,Psilopogon asiaticus,Psilopogon asiaticus asiaticus,Psilopogon asiaticus davisoni
82209ffffffffff,5.0,0.0,0.0
823c07fffffffff,1965.0,266.0,0.0
823c0ffffffffff,323.0,6.0,0.0
823c17fffffffff,46.0,0.0,0.0
823c1ffffffffff,1983.0,26.0,0.0
823c37fffffffff,199.0,0.0,0.0
823c57fffffffff,532.0,0.0,0.0
823c5ffffffffff,2683.0,0.0,0.0
823c8ffffffffff,218.0,2.0,0.0
823caffffffffff,83.0,0.0,0.0
823cc7fffffffff,1263.0,0.0,0.0
823ccffffffffff,70.0,0.0,0.0
823cd7fffffffff,11.0,0.0,0.0
823cdffffffffff,57.0,1.0,0.0
823ce7fffffffff,5396.0,105.0,0.0
823ceffffffffff,2399.0,0.0,0.0
823cf7fffffffff,3705.0,47.0,0.0
823d17fffffffff,1670.0,0.0,0.0
823d1ffffffffff,167.0,0.0,0.0
823d37fffffffff,299.0,0.0,0.0
823daffffffffff,2013.0,0.0,0.0
82402ffffffffff,53.0,0.0,0.0
824047fffffffff,3.0,0.0,0.0
82404ffffffffff,835.0,63.0,0.0
82405ffffffffff,6.0,0.0,0.0
824067fffffffff,224.0,3.0,3.0
82406ffffffffff,99.0,0.0,0.0
82411ffffffffff,1.0,0.0,0.0
824147fffffffff,1.0,0.0,0.0
82414ffffffffff,211.0,0.0,0.0
82415ffffffffff,36.0,0.0,7.0
82426ffffffffff,525.0,0.0,0.0
826417fffffffff,572.0,0.0,128.0
826487fffffffff,993.0,51.0,15.0
82648ffffffffff,18.0,0.0,0.0
826497fffffffff,1374.0,101.0,37.0
82649ffffffffff,89.0,1.0,0.0
8264a7fffffffff,132.0,0.0,11.0
8264b7fffffffff,212.0,0.0,63.0
82658ffffffffff,10.0,0.0,0.0
