cell_id,Alectoris graeca,Alectoris graeca [graeca Group],Alectoris graeca whitakeri
841e803ffffffff,1.0,0.0,0.0
841ea4bffffffff,2.0,0.0,0.0
841eaebffffffff,2.0,0.0,0.0
841ec41ffffffff,2.0,0.0,0.0
841ec43ffffffff,15.0,2.0,0.0
841ec4dffffffff,2.0,0.0,0.0
841ef01ffffffff,1.0,0.0,0.0
841ef1bffffffff,1.0,0.0,0.0
841ef6dffffffff,1.0,0.0,0.0
841f887ffffffff,1.0,0.0,0.0
841f8a9ffffffff,2.0,0.0,0.0
841f8bbffffffff,7.0,0.0,0.0
841f98dffffffff,1.0,1.0,0.0
841f999ffffffff,2.0,0.0,0.0
841f9a5ffffffff,1.0,0.0,0.0
841f9a7ffffffff,1.0,0.0,0.0
841f9e3ffffffff,2.0,0.0,0.0
84396d3ffffffff,1.0,0.0,0.0
