cell_id,Salpinctes obsoletus,Salpinctes obsoletus [obsoletus Group],Salpinctes obsoletus [guttatus Group]
830e80fffffffff,10.0,0.0,0.0
830edbfffffffff,1.0,0.0,0.0
831259fffffffff,2.0,0.0,0.0
831289fffffffff,3.0,0.0,0.0
8312c1fffffffff,4.0,0.0,0.0
8312c3fffffffff,1.0,0.0,0.0
8312c4fffffffff,1.0,0.0,0.0
8312c9fffffffff,3.0,0.0,0.0
8312cafffffffff,17.0,0.0,0.0
8312ccfffffffff,6.0,0.0,0.0
8312cefffffffff,2.0,0.0,0.0
8312d0fffffffff,2.0,0.0,0.0
8312d6fffffffff,8.0,0.0,0.0
8312d8fffffffff,7.0,0.0,0.0
8312d9fffffffff,2.0,0.0,0.0
8312ddfffffffff,9.0,0.0,0.0
8312defffffffff,2.0,2.0,0.0
8312e8fffffffff,10.0,0.0,0.0
8312eafffffffff,2.0,0.0,0.0
8312f6fffffffff,4.0,0.0,0.0
832605fffffffff,2.0,0.0,0.0
832608fffffffff,2.0,0.0,0.0
83260afffffffff,7.0,2.0,0.0
83260efffffffff,2.0,0.0,0.0
832610fffffffff,5.0,0.0,0.0
832616fffffffff,2.0,0.0,0.0
83262cfffffffff,1.0,0.0,0.0
832646fffffffff,11.0,0.0,0.0
832653fffffffff,43.0,0.0,0.0
83265afffffffff,26.0,0.0,0.0
832668fffffffff,2.0,0.0,0.0
83266afffffffff,22.0,0.0,0.0
832673fffffffff,4.0,0.0,0.0
832681fffffffff,28.0,0.0,0.0
832683fffffffff,4.0,0.0,0.0
832685fffffffff,2.0,0.0,0.0
832688fffffffff,19.0,0.0,0.0
832689fffffffff,46.0,0.0,0.0
83268afffffffff,2.0,0.0,0.0
83268bfffffffff,2.0,0.0,0.0
83268cfffffffff,76.0,0.0,0.0
83268dfffffffff,5.0,0.0,0.0
83268efffffffff,12.0,8.0,0.0
832690fffffffff,11.0,0.0,0.0
832691fffffffff,11.0,4.0,0.0
832692fffffffff,2.0,0.0,0.0
832694fffffffff,19.0,0.0,0.0
832695fffffffff,9.0,0.0,0.0
832696fffffffff,77.0,0.0,0.0
832698fffffffff,88.0,0.0,0.0
832699fffffffff,3.0,0.0,0.0
83269afffffffff,22.0,0.0,0.0
83269bfffffffff,8.0,0.0,0.0
83269cfffffffff,18.0,0.0,0.0
83269dfffffffff,18.0,0.0,0.0
83269efffffffff,1.0,0.0,0.0
8326a1fffffffff,8.0,0.0,0.0
8326a3fffffffff,3.0,0.0,0.0
8326a5fffffffff,1.0,0.0,0.0
8326a8fffffffff,15.0,0.0,0.0
8326a9fffffffff,5.0,0.0,0.0
8326aafffffffff,33.0,0.0,0.0
8326abfffffffff,17.0,0.0,0.0
8326acfffffffff,4.0,0.0,0.0
8326aefffffffff,5.0,0.0,0.0
8326b5fffffffff,2.0,0.0,0.0
8326c0fffffffff,2.0,2.0,0.0
8326c1fffffffff,2.0,0.0,0.0
8326c4fffffffff,11.0,0.0,0.0
8326c5fffffffff,1.0,0.0,0.0
8326c8fffffffff,26.0,0.0,0.0
8326cafffffffff,3.0,0.0,0.0
8326cbfffffffff,12.0,0.0,0.0
8326d1fffffffff,4.0,2.0,0.0
8326d2fffffffff,5.0,0.0,0.0
8326d3fffffffff,4.0,0.0,0.0
8326d4fffffffff,99.0,0.0,0.0
8326d9fffffffff,2.0,0.0,0.0
8326dbfffffffff,2.0,0.0,0.0
8326defffffffff,10.0,0.0,0.0
8326e2fffffffff,15.0,0.0,0.0
