cell_id,Milvus milvus,Milvus milvus milvus,Milvus milvus fasciicauda
820747fffffffff,2.0,2.0,0.0
82089ffffffffff,3.0,0.0,0.0
8208a7fffffffff,2.0,0.0,0.0
820987fffffffff,1.0,0.0,0.0
820997fffffffff,3.0,2.0,0.0
82182ffffffffff,8.0,0.0,0.0
821847fffffffff,1.0,0.0,0.0
82184ffffffffff,184.0,107.0,0.0
82185ffffffffff,7.0,0.0,0.0
82186ffffffffff,2.0,0.0,0.0
821877fffffffff,11.0,0.0,0.0
82190ffffffffff,29.0,5.0,0.0
821927fffffffff,1.0,0.0,0.0
82192ffffffffff,6.0,0.0,0.0
821947fffffffff,25.0,20.0,0.0
82194ffffffffff,17.0,9.0,0.0
821957fffffffff,14.0,5.0,0.0
82195ffffffffff,9.0,2.0,0.0
82196ffffffffff,22.0,0.0,0.0
821977fffffffff,6.0,0.0,0.0
821e07fffffffff,27.0,0.0,0.0
821e17fffffffff,14.0,0.0,0.0
821e1ffffffffff,8.0,0.0,0.0
821e27fffffffff,7.0,0.0,0.0
821e2ffffffffff,4.0,0.0,0.0
821e37fffffffff,32.0,0.0,0.0
821e77fffffffff,2.0,0.0,0.0
821eb7fffffffff,2.0,0.0,0.0
821ec7fffffffff,14.0,2.0,0.0
821ecffffffffff,49.0,1.0,0.0
821edffffffffff,12.0,0.0,0.0
821eeffffffffff,8.0,0.0,0.0
821f07fffffffff,31.0,2.0,0.0
821f0ffffffffff,7.0,0.0,0.0
821f17fffffffff,2.0,0.0,0.0
821f1ffffffffff,17.0,10.0,0.0
821f27fffffffff,1.0,0.0,0.0
821f2ffffffffff,3.0,0.0,0.0
821f47fffffffff,2.0,0.0,0.0
821f4ffffffffff,5.0,0.0,0.0
821f57fffffffff,5.0,0.0,0.0
821f5ffffffffff,1.0,0.0,0.0
821f67fffffffff,3.0,0.0,0.0
821f77fffffffff,7.0,0.0,0.0
821f87fffffffff,26.0,1.0,0.0
821f8ffffffffff,45.0,30.0,0.0
821f97fffffffff,8.0,0.0,0.0
821f9ffffffffff,28.0,0.0,0.0
821fa7fffffffff,13.0,0.0,0.0
821faffffffffff,58.0,56.0,0.0
821fb7fffffffff,4.0,0.0,0.0
822c07fffffffff,1.0,0.0,0.0
822da7fffffffff,3.0,0.0,0.0
822db7fffffffff,6.0,0.0,0.0
823427fffffffff,4.0,0.0,0.0
823827fffffffff,7.0,0.0,0.0
823907fffffffff,518.0,226.0,0.0
82390ffffffffff,63.0,22.0,0.0
823917fffffffff,65.0,0.0,0.0
82391ffffffffff,142.0,0.0,0.0
823927fffffffff,116.0,0.0,0.0
82392ffffffffff,154.0,28.0,0.0
823937fffffffff,19.0,0.0,0.0
823947fffffffff,40.0,15.0,0.0
823957fffffffff,16.0,0.0,0.0
82395ffffffffff,3.0,0.0,0.0
823967fffffffff,2.0,0.0,0.0
82396ffffffffff,4.0,0.0,0.0
823977fffffffff,312.0,211.0,0.0
823f2ffffffffff,20.0,0.0,0.0
823f77fffffffff,31.0,4.0,0.0
