cell_id,Leucocarbo atriceps,Leucocarbo atriceps (Blue-eyed),Leucocarbo atriceps (King)
82b2dffffffffff,30.0,0.0,0.0
82c207fffffffff,10.0,0.0,0.0
82c2f7fffffffff,32.0,0.0,0.0
82c30ffffffffff,3.0,0.0,0.0
82c327fffffffff,1.0,1.0,0.0
82c32ffffffffff,7.0,4.0,3.0
82ce17fffffffff,5.0,1.0,0.0
82ce87fffffffff,2.0,0.0,0.0
82ce8ffffffffff,48.0,0.0,0.0
82ceaffffffffff,93.0,49.0,0.0
82cf17fffffffff,13.0,0.0,0.0
82cf37fffffffff,3.0,0.0,0.0
82cf8ffffffffff,16.0,3.0,0.0
82cf97fffffffff,2.0,0.0,0.0
82cf9ffffffffff,1.0,0.0,0.0
82cfa7fffffffff,10.0,0.0,0.0
82de67fffffffff,8.0,0.0,8.0
82de77fffffffff,25.0,0.0,9.0
82df47fffffffff,63.0,3.0,0.0
82df6ffffffffff,67.0,0.0,5.0
