cell_id,Coturnicops noveboracensis,Coturnicops noveboracensis noveboracensis,Coturnicops noveboracensis goldmani
820e4ffffffffff,38.0,0.0,0.0
820e8ffffffffff,1.0,0.0,0.0
820ec7fffffffff,107.0,0.0,0.0
820ecffffffffff,35.0,0.0,0.0
820edffffffffff,2.0,0.0,0.0
820ee7fffffffff,1.0,1.0,0.0
820eeffffffffff,179.0,0.0,0.0
82121ffffffffff,6.0,0.0,0.0
82124ffffffffff,2.0,0.0,0.0
821257fffffffff,2.0,0.0,0.0
82125ffffffffff,9.0,0.0,0.0
82128ffffffffff,4.0,0.0,0.0
8212c7fffffffff,6.0,0.0,0.0
8212cffffffffff,1.0,0.0,0.0
8212effffffffff,13.0,0.0,0.0
82260ffffffffff,3.0,0.0,0.0
822617fffffffff,1.0,0.0,0.0
822627fffffffff,16.0,0.0,0.0
82262ffffffffff,7.0,0.0,0.0
822637fffffffff,4.0,0.0,0.0
822647fffffffff,10.0,0.0,0.0
82264ffffffffff,21.0,0.0,0.0
822657fffffffff,15.0,0.0,0.0
822667fffffffff,16.0,0.0,0.0
82266ffffffffff,33.0,0.0,0.0
822677fffffffff,7.0,0.0,0.0
82268ffffffffff,85.0,2.0,0.0
8226d7fffffffff,2.0,0.0,0.0
8226e7fffffffff,11.0,0.0,0.0
8226effffffffff,2.0,0.0,0.0
822707fffffffff,3.0,0.0,0.0
82270ffffffffff,7.0,0.0,0.0
822717fffffffff,2.0,0.0,0.0
82271ffffffffff,6.0,0.0,0.0
822747fffffffff,35.0,0.0,0.0
82274ffffffffff,104.0,0.0,0.0
822757fffffffff,78.0,0.0,0.0
82275ffffffffff,104.0,0.0,0.0
822767fffffffff,39.0,0.0,0.0
82276ffffffffff,11.0,0.0,0.0
822777fffffffff,3.0,0.0,0.0
822787fffffffff,5.0,0.0,0.0
8227a7fffffffff,2.0,0.0,0.0
8227affffffffff,5.0,0.0,0.0
822817fffffffff,96.0,3.0,0.0
82281ffffffffff,28.0,0.0,0.0
822837fffffffff,2.0,0.0,0.0
822897fffffffff,28.0,0.0,0.0
8228affffffffff,49.0,0.0,0.0
8228f7fffffffff,1.0,0.0,0.0
8229a7fffffffff,2.0,0.0,0.0
822a07fffffffff,8.0,0.0,0.0
822a17fffffffff,29.0,4.0,0.0
822a37fffffffff,17.0,5.0,0.0
822a8ffffffffff,2.0,0.0,0.0
822a97fffffffff,71.0,0.0,0.0
822aa7fffffffff,27.0,2.0,0.0
822aaffffffffff,108.0,2.0,0.0
822ab7fffffffff,5.0,0.0,0.0
822ad7fffffffff,13.0,0.0,0.0
822af7fffffffff,3.0,0.0,0.0
822b17fffffffff,237.0,0.0,0.0
822b1ffffffffff,4.0,0.0,0.0
822b27fffffffff,1.0,0.0,0.0
822b37fffffffff,2.0,0.0,0.0
822b87fffffffff,27.0,5.0,0.0
822b8ffffffffff,43.0,0.0,0.0
822b97fffffffff,30.0,0.0,0.0
822b9ffffffffff,118.0,2.0,0.0
822ba7fffffffff,55.0,0.0,0.0
822baffffffffff,85.0,0.0,0.0
824447fffffffff,61.0,0.0,0.0
82444ffffffffff,19.0,0.0,0.0
824457fffffffff,69.0,0.0,0.0
824467fffffffff,57.0,0.0,0.0
82446ffffffffff,77.0,0.0,0.0
8244affffffffff,2.0,0.0,0.0
8244d7fffffffff,5.0,0.0,0.0
8244dffffffffff,5.0,0.0,0.0
8244e7fffffffff,6.0,0.0,0.0
824897fffffffff,28.0,0.0,0.0
