cell_id,Cercomacroides tyrannina,Cercomacroides tyrannina tyrannina/crepera,Cercomacroides tyrannina saturatior/vicina
824527fffffffff,2749.0,13.0,0.0
82452ffffffffff,5024.0,96.0,0.0
824537fffffffff,501.0,0.0,0.0
825f07fffffffff,188.0,0.0,0.0
825f0ffffffffff,15.0,0.0,0.0
825f17fffffffff,30.0,0.0,0.0
825f1ffffffffff,14.0,0.0,0.0
825f2ffffffffff,532.0,0.0,0.0
825f47fffffffff,54.0,0.0,0.0
825f4ffffffffff,1.0,0.0,0.0
825f57fffffffff,29.0,0.0,0.0
825f6ffffffffff,46.0,0.0,0.0
825f77fffffffff,76.0,0.0,0.0
82660ffffffffff,163.0,0.0,0.0
826617fffffffff,825.0,0.0,0.0
82661ffffffffff,489.0,0.0,0.0
82662ffffffffff,23.0,0.0,0.0
826647fffffffff,184.0,0.0,0.0
82664ffffffffff,15.0,0.0,0.0
826657fffffffff,26.0,0.0,0.0
82665ffffffffff,386.0,0.0,0.0
826667fffffffff,20.0,0.0,0.0
82666ffffffffff,11.0,0.0,0.0
8266a7fffffffff,4853.0,0.0,0.0
8266b7fffffffff,2242.0,0.0,0.0
8266c7fffffffff,538.0,0.0,0.0
8266cffffffffff,28.0,0.0,0.0
8266d7fffffffff,516.0,0.0,0.0
8266e7fffffffff,2074.0,3.0,0.0
8266effffffffff,448.0,0.0,0.0
8266f7fffffffff,196.0,0.0,0.0
82675ffffffffff,1.0,0.0,0.0
826797fffffffff,187.0,0.0,0.0
82679ffffffffff,287.0,0.0,0.0
8267b7fffffffff,2.0,0.0,0.0
826d27fffffffff,142.0,12.0,0.0
826d2ffffffffff,573.0,136.0,0.0
826d37fffffffff,66.0,5.0,0.0
826d67fffffffff,1073.0,0.0,0.0
826d6ffffffffff,7855.0,0.0,0.0
82804ffffffffff,18.0,0.0,1.0
82806ffffffffff,15.0,0.0,0.0
828a4ffffffffff,7.0,0.0,0.0
828a5ffffffffff,3.0,0.0,0.0
828adffffffffff,51.0,0.0,0.0
828af7fffffffff,340.0,0.0,0.0
828f2ffffffffff,51.0,0.0,0.0
