cell_id,Dendrocolaptes picumnus,Dendrocolaptes picumnus [puncticollis Group],Dendrocolaptes picumnus [picumnus Group],Dendrocolaptes picumnus pallescens/casaresi
824527fffffffff,16.0,0.0,0.0,0.0
825f07fffffffff,1.0,0.0,1.0,0.0
82660ffffffffff,2.0,0.0,0.0,0.0
826627fffffffff,2.0,0.0,2.0,0.0
82665ffffffffff,11.0,0.0,0.0,0.0
8266b7fffffffff,9.0,0.0,0.0,0.0
826747fffffffff,5.0,2.0,0.0,0.0
82675ffffffffff,7.0,0.0,0.0,0.0
826d2ffffffffff,7.0,0.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0,0.0
826d6ffffffffff,27.0,0.0,0.0,0.0
828af7fffffffff,1.0,0.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0,0.0
82a947fffffffff,2.0,0.0,0.0,0.0
82a94ffffffffff,3.0,0.0,0.0,0.0
82b347fffffffff,8.0,0.0,0.0,0.0
82b35ffffffffff,4.0,0.0,0.0,0.0
