cell_id,Philemon buceroides,Philemon buceroides novaeguineae,Philemon buceroides yorki,Philemon buceroides gordoni/ammitophilus,Philemon buceroides buceroides/neglectus
8472d23ffffffff,2.0,2.0,0.0,0.0,0.0
8472da1ffffffff,1.0,1.0,0.0,0.0,0.0
849451dffffffff,1.0,0.0,0.0,0.0,0.0
84945e3ffffffff,1.0,0.0,0.0,0.0,0.0
84956d3ffffffff,3.0,0.0,0.0,0.0,0.0
849c85bffffffff,4.0,1.0,0.0,0.0,0.0
849c8b5ffffffff,6.0,0.0,0.0,0.0,0.0
849c8bdffffffff,2.0,0.0,0.0,0.0,0.0
849ca65ffffffff,5.0,0.0,0.0,0.0,0.0
849caa1ffffffff,2.0,2.0,0.0,0.0,0.0
849caadffffffff,2.0,0.0,0.0,0.0,0.0
849cd31ffffffff,11.0,9.0,0.0,0.0,0.0
849d9b3ffffffff,2.0,2.0,0.0,0.0,0.0
