cell_id,Acrochordopus zeledoni,Acrochordopus zeledoni zeledoni,Acrochordopus zeledoni [leucogonys Group]
82662ffffffffff,1.0,0.0,0.0
8266a7fffffffff,4.0,1.0,0.0
8266b7fffffffff,983.0,57.0,0.0
8266dffffffffff,92.0,0.0,45.0
8266e7fffffffff,1.0,0.0,0.0
826747fffffffff,28.0,0.0,1.0
82674ffffffffff,123.0,0.0,0.0
826757fffffffff,3.0,0.0,0.0
82679ffffffffff,2.0,0.0,0.0
826d6ffffffffff,159.0,5.0,0.0
828b6ffffffffff,3.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0
828f47fffffffff,19.0,0.0,12.0
828f4ffffffffff,4.0,0.0,0.0
828f77fffffffff,32.0,0.0,3.0
