cell_id,Mionectes oleagineus,Mionectes oleagineus assimilis,Mionectes oleagineus parcus,Mionectes oleagineus pacificus,Mionectes oleagineus [oleagineus Group]
834505fffffffff,53.0,0.0,0.0,0.0,0.0
834508fffffffff,6.0,0.0,0.0,0.0,0.0
83450afffffffff,2.0,0.0,0.0,0.0,0.0
83450cfffffffff,5.0,0.0,0.0,0.0,0.0
83450efffffffff,24.0,0.0,0.0,0.0,0.0
834520fffffffff,499.0,0.0,0.0,0.0,0.0
834521fffffffff,717.0,0.0,0.0,0.0,0.0
834522fffffffff,751.0,0.0,0.0,0.0,0.0
834523fffffffff,536.0,0.0,0.0,0.0,0.0
834524fffffffff,100.0,0.0,0.0,0.0,0.0
834525fffffffff,184.0,0.0,0.0,0.0,0.0
834526fffffffff,586.0,0.0,0.0,0.0,0.0
834528fffffffff,311.0,0.0,0.0,0.0,0.0
83452afffffffff,732.0,0.0,0.0,0.0,0.0
83452bfffffffff,28.0,0.0,0.0,0.0,0.0
83452cfffffffff,215.0,0.0,0.0,0.0,0.0
83452dfffffffff,127.0,0.0,0.0,0.0,0.0
83452efffffffff,4314.0,0.0,0.0,0.0,0.0
834530fffffffff,29.0,0.0,0.0,0.0,0.0
834531fffffffff,50.0,0.0,0.0,0.0,0.0
834532fffffffff,21.0,0.0,0.0,0.0,0.0
834534fffffffff,128.0,0.0,0.0,0.0,0.0
834535fffffffff,117.0,0.0,0.0,0.0,0.0
834536fffffffff,77.0,0.0,0.0,0.0,0.0
834564fffffffff,22.0,0.0,0.0,0.0,0.0
834990fffffffff,5.0,0.0,0.0,0.0,0.0
834991fffffffff,2.0,0.0,0.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0,0.0,0.0
834996fffffffff,201.0,0.0,0.0,0.0,0.0
835f00fffffffff,25.0,0.0,0.0,0.0,0.0
835f01fffffffff,2.0,0.0,0.0,0.0,0.0
835f03fffffffff,10.0,0.0,0.0,0.0,0.0
835f08fffffffff,2.0,0.0,0.0,0.0,0.0
835f09fffffffff,10.0,0.0,0.0,0.0,0.0
835f0dfffffffff,3.0,0.0,0.0,0.0,0.0
835f12fffffffff,5.0,0.0,0.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0,0.0,0.0
835f14fffffffff,13.0,0.0,0.0,0.0,0.0
835f1cfffffffff,2.0,0.0,0.0,0.0,0.0
835f29fffffffff,3.0,0.0,0.0,0.0,0.0
835f2bfffffffff,133.0,0.0,0.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0,0.0,0.0
835f40fffffffff,10.0,0.0,0.0,0.0,0.0
835f42fffffffff,11.0,0.0,0.0,0.0,0.0
835f48fffffffff,3.0,0.0,0.0,0.0,0.0
835f4afffffffff,17.0,0.0,0.0,0.0,0.0
835f50fffffffff,3.0,0.0,0.0,0.0,0.0
835f54fffffffff,6.0,0.0,0.0,0.0,0.0
835f58fffffffff,788.0,0.0,0.0,0.0,0.0
835f59fffffffff,3.0,0.0,0.0,0.0,0.0
835f5bfffffffff,281.0,0.0,0.0,0.0,0.0
835f68fffffffff,7.0,0.0,0.0,0.0,0.0
835f71fffffffff,7.0,0.0,0.0,0.0,0.0
835f75fffffffff,11.0,0.0,0.0,0.0,0.0
835f76fffffffff,6.0,0.0,0.0,0.0,0.0
836601fffffffff,18.0,0.0,0.0,0.0,0.0
836603fffffffff,2.0,0.0,0.0,0.0,0.0
836604fffffffff,23.0,0.0,0.0,0.0,0.0
836606fffffffff,19.0,0.0,0.0,0.0,0.0
836608fffffffff,473.0,0.0,0.0,0.0,0.0
836609fffffffff,6.0,0.0,0.0,0.0,0.0
83660afffffffff,304.0,0.0,0.0,0.0,0.0
83660bfffffffff,9.0,0.0,0.0,0.0,0.0
83660cfffffffff,30.0,0.0,0.0,0.0,0.0
83660dfffffffff,30.0,0.0,0.0,0.0,0.0
83660efffffffff,45.0,0.0,0.0,0.0,0.0
836610fffffffff,304.0,0.0,0.0,0.0,0.0
836611fffffffff,79.0,0.0,0.0,0.0,0.0
836612fffffffff,9.0,0.0,0.0,0.0,0.0
836613fffffffff,135.0,0.0,0.0,0.0,0.0
836616fffffffff,367.0,0.0,0.0,0.0,0.0
836618fffffffff,149.0,0.0,0.0,0.0,0.0
836619fffffffff,1467.0,0.0,0.0,0.0,0.0
83661afffffffff,36.0,0.0,0.0,0.0,0.0
83661bfffffffff,388.0,0.0,0.0,0.0,0.0
83661cfffffffff,159.0,0.0,0.0,0.0,0.0
83661dfffffffff,189.0,0.0,0.0,0.0,0.0
83661efffffffff,248.0,0.0,0.0,0.0,0.0
836620fffffffff,449.0,0.0,0.0,0.0,0.0
836621fffffffff,139.0,0.0,0.0,0.0,0.0
836622fffffffff,530.0,0.0,0.0,0.0,0.0
836623fffffffff,4.0,0.0,0.0,0.0,0.0
836625fffffffff,1.0,0.0,0.0,0.0,0.0
836629fffffffff,15.0,0.0,0.0,0.0,0.0
83662bfffffffff,6.0,0.0,0.0,0.0,0.0
83662dfffffffff,10.0,0.0,0.0,0.0,0.0
83662efffffffff,35.0,0.0,0.0,0.0,0.0
836631fffffffff,3.0,0.0,0.0,0.0,0.0
836641fffffffff,108.0,0.0,0.0,0.0,0.0
836643fffffffff,2.0,0.0,0.0,0.0,0.0
836644fffffffff,2.0,0.0,0.0,0.0,0.0
836648fffffffff,4.0,0.0,0.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0,0.0,0.0
836651fffffffff,1.0,0.0,0.0,0.0,0.0
836652fffffffff,38.0,0.0,0.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0,0.0,0.0
836654fffffffff,2.0,0.0,0.0,0.0,0.0
836656fffffffff,104.0,0.0,0.0,0.0,0.0
83665afffffffff,245.0,0.0,0.0,0.0,0.0
83665bfffffffff,109.0,0.0,0.0,0.0,0.0
83665efffffffff,7.0,0.0,0.0,0.0,0.0
83666afffffffff,2.0,0.0,0.0,0.0,0.0
83666cfffffffff,4.0,0.0,0.0,0.0,0.0
83666efffffffff,6.0,0.0,0.0,0.0,0.0
836676fffffffff,1.0,0.0,0.0,0.0,0.0
836684fffffffff,21.0,0.0,0.0,0.0,0.0
8366a0fffffffff,510.0,0.0,0.0,0.0,0.0
8366a1fffffffff,2.0,0.0,0.0,0.0,0.0
8366a2fffffffff,10.0,0.0,0.0,0.0,0.0
8366a3fffffffff,77.0,0.0,0.0,0.0,0.0
8366a5fffffffff,1814.0,0.0,0.0,0.0,0.0
8366a6fffffffff,302.0,0.0,0.0,0.0,0.0
8366b0fffffffff,942.0,0.0,0.0,0.0,0.0
8366b1fffffffff,22.0,0.0,0.0,0.0,0.0
8366b4fffffffff,2796.0,0.0,0.0,0.0,0.0
8366b5fffffffff,1776.0,0.0,0.0,0.0,0.0
8366b6fffffffff,87.0,0.0,0.0,0.0,0.0
8366c0fffffffff,109.0,0.0,0.0,0.0,0.0
8366c1fffffffff,4.0,0.0,0.0,0.0,0.0
8366c2fffffffff,269.0,0.0,0.0,0.0,0.0
8366c3fffffffff,8.0,0.0,0.0,0.0,0.0
8366c4fffffffff,138.0,0.0,0.0,0.0,0.0
8366c5fffffffff,34.0,0.0,0.0,0.0,0.0
8366c6fffffffff,95.0,0.0,0.0,0.0,0.0
8366cdfffffffff,4.0,0.0,0.0,0.0,0.0
8366cefffffffff,62.0,0.0,0.0,0.0,0.0
8366d0fffffffff,137.0,0.0,0.0,0.0,0.0
8366d1fffffffff,102.0,0.0,0.0,0.0,0.0
8366d2fffffffff,53.0,0.0,0.0,0.0,0.0
8366d3fffffffff,260.0,0.0,0.0,0.0,0.0
8366d8fffffffff,14.0,0.0,0.0,0.0,0.0
8366dafffffffff,25.0,0.0,0.0,0.0,0.0
8366dbfffffffff,5.0,0.0,0.0,0.0,0.0
8366dcfffffffff,178.0,0.0,0.0,0.0,0.0
8366ddfffffffff,30.0,0.0,0.0,0.0,0.0
8366defffffffff,134.0,0.0,0.0,0.0,0.0
8366e0fffffffff,287.0,0.0,0.0,0.0,0.0
8366e1fffffffff,148.0,0.0,0.0,0.0,0.0
8366e2fffffffff,75.0,0.0,0.0,0.0,0.0
8366e3fffffffff,84.0,0.0,0.0,0.0,0.0
8366e4fffffffff,358.0,0.0,0.0,0.0,0.0
8366e5fffffffff,1001.0,0.0,0.0,0.0,0.0
8366e6fffffffff,2064.0,0.0,0.0,0.0,0.0
8366e8fffffffff,4.0,0.0,0.0,0.0,0.0
8366e9fffffffff,2.0,0.0,0.0,0.0,0.0
8366eafffffffff,6.0,0.0,0.0,0.0,0.0
8366ecfffffffff,287.0,0.0,0.0,0.0,0.0
8366eefffffffff,174.0,0.0,0.0,0.0,0.0
8366f0fffffffff,27.0,0.0,0.0,0.0,0.0
8366f1fffffffff,378.0,0.0,0.0,0.0,0.0
