cell_id,Ptilocichla mindanensis,Ptilocichla mindanensis minuta/fortichi,Ptilocichla mindanensis mindanensis/basilanica
836841fffffffff,4.0,0.0,0.0
836843fffffffff,10.0,0.0,1.0
836844fffffffff,99.0,2.0,0.0
836845fffffffff,1.0,0.0,0.0
83684efffffffff,152.0,0.0,10.0
836856fffffffff,9.0,0.0,2.0
836858fffffffff,1.0,0.0,0.0
83685cfffffffff,23.0,0.0,5.0
83685dfffffffff,34.0,0.0,0.0
83685efffffffff,70.0,0.0,23.0
83686efffffffff,33.0,5.0,0.0
