cell_id,Icterus cucullatus,Icterus cucullatus cucullatus/sennetti,Icterus cucullatus [nelsoni Group],Icterus cucullatus igneus
822807fffffffff,117.0,0.0,7.0,0.0
822817fffffffff,211.0,0.0,0.0,0.0
822837fffffffff,11496.0,0.0,604.0,0.0
822917fffffffff,3722.0,0.0,0.0,0.0
82291ffffffffff,651.0,0.0,442.0,0.0
822987fffffffff,708.0,0.0,0.0,0.0
82298ffffffffff,28.0,0.0,0.0,0.0
822997fffffffff,362.0,0.0,7.0,0.0
8229a7fffffffff,40537.0,0.0,277.0,0.0
8229affffffffff,3232.0,0.0,41.0,0.0
8229b7fffffffff,1958.0,0.0,227.0,0.0
824427fffffffff,90.0,0.0,0.0,22.0
824507fffffffff,2778.0,0.0,0.0,120.0
82450ffffffffff,10866.0,0.0,0.0,1405.0
82451ffffffffff,404.0,0.0,0.0,48.0
824527fffffffff,238.0,0.0,0.0,7.0
82452ffffffffff,3268.0,0.0,0.0,251.0
82456ffffffffff,1.0,0.0,0.0,0.0
824577fffffffff,988.0,0.0,0.0,257.0
824807fffffffff,432.0,0.0,0.0,0.0
82480ffffffffff,1562.0,0.0,0.0,0.0
824817fffffffff,39.0,0.0,0.0,0.0
82481ffffffffff,30.0,0.0,0.0,0.0
824827fffffffff,1078.0,0.0,0.0,0.0
82482ffffffffff,2081.0,0.0,0.0,0.0
824837fffffffff,1974.0,0.0,0.0,0.0
824847fffffffff,141.0,0.0,0.0,0.0
82484ffffffffff,97.0,0.0,0.0,0.0
824857fffffffff,348.0,0.0,0.0,0.0
82485ffffffffff,926.0,0.0,9.0,0.0
824877fffffffff,535.0,0.0,0.0,0.0
824887fffffffff,2494.0,6.0,0.0,0.0
82488ffffffffff,996.0,0.0,0.0,0.0
824897fffffffff,1084.0,9.0,0.0,0.0
82489ffffffffff,109.0,0.0,0.0,0.0
8248a7fffffffff,469.0,0.0,0.0,0.0
8248affffffffff,154.0,0.0,0.0,0.0
8248b7fffffffff,9057.0,193.0,0.0,0.0
8248c7fffffffff,6677.0,0.0,1010.0,0.0
8248cffffffffff,414.0,0.0,33.0,0.0
8248d7fffffffff,67.0,0.0,4.0,0.0
8248e7fffffffff,501.0,0.0,34.0,0.0
8248effffffffff,20493.0,0.0,3086.0,0.0
8248f7fffffffff,22.0,0.0,0.0,0.0
824987fffffffff,922.0,1.0,0.0,0.0
82498ffffffffff,51.0,0.0,0.0,0.0
824997fffffffff,937.0,20.0,0.0,0.0
82499ffffffffff,341.0,1.0,0.0,0.0
8249a7fffffffff,26.0,0.0,0.0,0.0
8249affffffffff,1747.0,35.0,5.0,0.0
8249b7fffffffff,369.0,0.0,0.0,0.0
826d27fffffffff,742.0,0.0,0.0,5.0
826d37fffffffff,651.0,38.0,0.0,0.0
