cell_id,Colibri cyanotus,Colibri cyanotus cabanidis,Colibri cyanotus cyanotus/crissalis
835f48fffffffff,11.0,0.0,0.0
835f4afffffffff,2.0,0.0,0.0
835f4bfffffffff,49.0,0.0,0.0
836601fffffffff,23.0,0.0,0.0
836608fffffffff,483.0,0.0,17.0
836609fffffffff,10.0,0.0,0.0
83660afffffffff,27.0,0.0,0.0
83660bfffffffff,613.0,0.0,13.0
83660cfffffffff,144.0,0.0,5.0
83660dfffffffff,25.0,0.0,0.0
836618fffffffff,571.0,0.0,17.0
836619fffffffff,893.0,0.0,2.0
83661bfffffffff,1619.0,0.0,76.0
83661dfffffffff,57.0,0.0,6.0
836620fffffffff,4823.0,0.0,483.0
836621fffffffff,737.0,0.0,169.0
836622fffffffff,39.0,0.0,1.0
836623fffffffff,44.0,0.0,18.0
836629fffffffff,197.0,0.0,3.0
83662bfffffffff,12.0,0.0,1.0
83662dfffffffff,13.0,0.0,0.0
83662efffffffff,7.0,0.0,4.0
836656fffffffff,4.0,0.0,0.0
8366a2fffffffff,24.0,6.0,0.0
8366a3fffffffff,6.0,6.0,0.0
8366b4fffffffff,11816.0,0.0,0.0
8366b5fffffffff,2339.0,267.0,0.0
8366c0fffffffff,214.0,0.0,0.0
8366c2fffffffff,258.0,0.0,35.0
8366c4fffffffff,87.0,0.0,0.0
8366c6fffffffff,533.0,0.0,16.0
8366d0fffffffff,58.0,0.0,5.0
8366d1fffffffff,30.0,0.0,2.0
8366d3fffffffff,3317.0,0.0,716.0
8366d5fffffffff,65.0,0.0,0.0
8366dafffffffff,16.0,0.0,0.0
8366defffffffff,1210.0,0.0,289.0
8366e0fffffffff,2081.0,0.0,133.0
8366e2fffffffff,57.0,0.0,0.0
8366e3fffffffff,7.0,0.0,0.0
8366e4fffffffff,2233.0,0.0,109.0
8366e5fffffffff,467.0,0.0,30.0
8366e6fffffffff,5910.0,0.0,306.0
8366f1fffffffff,379.0,0.0,47.0
8366f3fffffffff,4.0,0.0,0.0
8366f5fffffffff,244.0,0.0,4.0
836741fffffffff,628.0,0.0,7.0
836743fffffffff,17.0,0.0,0.0
83674cfffffffff,89.0,0.0,4.0
83674efffffffff,304.0,0.0,10.0
83675afffffffff,124.0,0.0,7.0
83675cfffffffff,16.0,0.0,0.0
83675efffffffff,63.0,0.0,0.0
83679afffffffff,5.0,0.0,0.0
836d68fffffffff,8.0,0.0,0.0
836d69fffffffff,7748.0,0.0,0.0
838b20fffffffff,38.0,0.0,0.0
838b21fffffffff,10.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0
838b2cfffffffff,77.0,0.0,0.0
838b2dfffffffff,10.0,0.0,0.0
838b60fffffffff,2.0,0.0,0.0
838b61fffffffff,517.0,0.0,41.0
838b62fffffffff,2.0,0.0,0.0
838b6cfffffffff,368.0,0.0,22.0
838b75fffffffff,13.0,0.0,0.0
838e64fffffffff,145.0,0.0,0.0
838e65fffffffff,48.0,0.0,0.0
838e6cfffffffff,7.0,0.0,0.0
838e6dfffffffff,13.0,0.0,0.0
838f09fffffffff,1.0,0.0,0.0
838f0dfffffffff,11.0,0.0,7.0
838f2bfffffffff,10.0,0.0,0.0
838f2dfffffffff,54.0,0.0,4.0
838f40fffffffff,5.0,0.0,0.0
838f42fffffffff,54.0,0.0,7.0
838f43fffffffff,3.0,0.0,0.0
838f46fffffffff,136.0,0.0,17.0
838f48fffffffff,2.0,0.0,0.0
838f4afffffffff,31.0,0.0,0.0
838f50fffffffff,3.0,0.0,0.0
838f51fffffffff,5.0,0.0,0.0
838f54fffffffff,53.0,0.0,0.0
838f55fffffffff,619.0,0.0,132.0
838f59fffffffff,23.0,0.0,0.0
838f5cfffffffff,7.0,0.0,0.0
838f5dfffffffff,30.0,0.0,0.0
838f70fffffffff,34.0,0.0,3.0
838f72fffffffff,79.0,0.0,22.0
838f73fffffffff,382.0,0.0,66.0
838f74fffffffff,1.0,0.0,0.0
838f76fffffffff,65.0,0.0,4.0
83b320fffffffff,2.0,0.0,0.0
83b321fffffffff,4.0,0.0,0.0
83b324fffffffff,5.0,0.0,0.0
83b325fffffffff,55.0,0.0,0.0
