cell_id,Tyto sororcula,Tyto sororcula cayelii,Tyto sororcula sororcula
8494601ffffffff,27.0,0.0,19.0
849460bffffffff,2.0,0.0,2.0
8495441ffffffff,2.0,2.0,0.0
8495449ffffffff,7.0,4.0,0.0
849544bffffffff,30.0,19.0,0.0
