cell_id,Sturnia malabarica,Sturnia malabarica malabarica,Sturnia malabarica nemoricola
823c07fffffffff,671.0,0.0,0.0
823c0ffffffffff,50.0,0.0,0.0
823c17fffffffff,198.0,0.0,0.0
823c1ffffffffff,1091.0,0.0,0.0
823c37fffffffff,109.0,0.0,0.0
823c57fffffffff,140.0,0.0,0.0
823c5ffffffffff,925.0,0.0,0.0
823c87fffffffff,168.0,0.0,0.0
823c8ffffffffff,774.0,0.0,0.0
823c97fffffffff,274.0,0.0,0.0
823c9ffffffffff,27.0,0.0,0.0
823ca7fffffffff,43.0,0.0,0.0
823caffffffffff,313.0,0.0,0.0
823cb7fffffffff,794.0,0.0,0.0
823cc7fffffffff,1052.0,0.0,0.0
823cd7fffffffff,85.0,0.0,0.0
823cdffffffffff,23.0,0.0,0.0
823ce7fffffffff,2393.0,0.0,0.0
823ceffffffffff,1932.0,0.0,0.0
823cf7fffffffff,3643.0,0.0,0.0
823d17fffffffff,1361.0,0.0,0.0
823d1ffffffffff,4.0,0.0,0.0
823d87fffffffff,108.0,0.0,0.0
823d8ffffffffff,147.0,0.0,0.0
823d97fffffffff,81.0,0.0,0.0
823d9ffffffffff,533.0,0.0,0.0
823da7fffffffff,6.0,0.0,0.0
823daffffffffff,879.0,0.0,0.0
823db7fffffffff,27.0,0.0,0.0
824047fffffffff,9.0,0.0,1.0
82404ffffffffff,181.0,0.0,1.0
824067fffffffff,6.0,0.0,0.0
82406ffffffffff,11.0,0.0,0.0
824077fffffffff,4.0,0.0,0.0
824147fffffffff,3.0,0.0,0.0
82414ffffffffff,12.0,0.0,0.0
824167fffffffff,2.0,0.0,0.0
82416ffffffffff,12.0,0.0,0.0
8242c7fffffffff,29.0,0.0,0.0
8242cffffffffff,17.0,0.0,0.0
8242d7fffffffff,6.0,0.0,0.0
8242dffffffffff,127.0,0.0,0.0
824b87fffffffff,74.0,0.0,0.0
824ba7fffffffff,1076.0,0.0,0.0
824bb7fffffffff,3792.0,0.0,0.0
826007fffffffff,2896.0,0.0,0.0
826017fffffffff,6174.0,0.0,0.0
82601ffffffffff,2459.0,0.0,0.0
826027fffffffff,397.0,0.0,0.0
826037fffffffff,2828.0,0.0,0.0
826087fffffffff,6.0,0.0,0.0
82608ffffffffff,984.0,0.0,0.0
826097fffffffff,449.0,0.0,0.0
82609ffffffffff,215.0,0.0,0.0
8260a7fffffffff,94.0,0.0,0.0
8260affffffffff,1614.0,0.0,0.0
8260b7fffffffff,349.0,0.0,0.0
82611ffffffffff,14.0,0.0,0.0
82618ffffffffff,350.0,0.0,0.0
82619ffffffffff,43.0,0.0,0.0
8261affffffffff,37.0,0.0,0.0
826417fffffffff,66.0,0.0,0.0
826487fffffffff,542.0,0.0,50.0
82648ffffffffff,46.0,0.0,0.0
826497fffffffff,568.0,0.0,18.0
82649ffffffffff,57.0,0.0,0.0
8264a7fffffffff,411.0,0.0,7.0
8264affffffffff,4.0,0.0,0.0
8264b7fffffffff,203.0,0.0,0.0
826587fffffffff,336.0,0.0,0.0
82658ffffffffff,266.0,0.0,24.0
826597fffffffff,249.0,0.0,0.0
82659ffffffffff,154.0,0.0,4.0
8265a7fffffffff,7.0,0.0,0.0
8265b7fffffffff,78.0,0.0,0.0
826937fffffffff,14.0,0.0,0.0
