cell_id,Cyanocitta stelleri,Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri annectens,Cyanocitta stelleri [diademata Group],Cyanocitta stelleri [coronata Group]
820c47fffffffff,1446.0,219.0,0.0,0.0,0.0
820c57fffffffff,383.0,12.0,0.0,0.0,0.0
820c6ffffffffff,14.0,0.0,0.0,0.0,0.0
820c77fffffffff,1577.0,121.0,0.0,0.0,0.0
821217fffffffff,4.0,0.0,0.0,0.0,0.0
82121ffffffffff,4.0,0.0,0.0,0.0,0.0
821287fffffffff,630.0,15.0,0.0,0.0,0.0
82128ffffffffff,193.0,2.0,0.0,0.0,0.0
821297fffffffff,126.0,1.0,0.0,0.0,0.0
82129ffffffffff,495.0,97.0,0.0,0.0,0.0
8212a7fffffffff,27.0,0.0,0.0,0.0,0.0
8212affffffffff,279.0,0.0,17.0,0.0,0.0
8212b7fffffffff,1630.0,35.0,0.0,0.0,0.0
8212c7fffffffff,835.0,0.0,11.0,0.0,0.0
8212cffffffffff,1737.0,0.0,34.0,0.0,0.0
8212d7fffffffff,2472.0,0.0,0.0,0.0,0.0
8212dffffffffff,5156.0,0.0,12.0,0.0,0.0
8212e7fffffffff,8.0,0.0,0.0,0.0,0.0
8212f7fffffffff,657.0,0.0,18.0,0.0,0.0
821397fffffffff,584.0,0.0,0.0,0.0,0.0
82139ffffffffff,2139.0,4.0,0.0,0.0,0.0
821d27fffffffff,56.0,4.0,0.0,0.0,0.0
822687fffffffff,20563.0,0.0,0.0,4055.0,0.0
82268ffffffffff,15042.0,0.0,0.0,3047.0,0.0
822697fffffffff,4828.0,0.0,0.0,1785.0,0.0
82269ffffffffff,6245.0,0.0,0.0,1077.0,0.0
8226a7fffffffff,123.0,0.0,0.0,13.0,0.0
8226affffffffff,2.0,0.0,0.0,0.0,0.0
8226b7fffffffff,300.0,0.0,11.0,0.0,0.0
8226d7fffffffff,5.0,0.0,0.0,2.0,0.0
822797fffffffff,646.0,0.0,0.0,0.0,0.0
82279ffffffffff,46.0,0.0,1.0,0.0,0.0
822807fffffffff,11696.0,1678.0,0.0,0.0,0.0
822817fffffffff,17986.0,64.0,0.0,0.0,0.0
82281ffffffffff,21116.0,4165.0,0.0,0.0,0.0
822837fffffffff,73379.0,4591.0,0.0,0.0,0.0
822887fffffffff,3350.0,4.0,7.0,0.0,0.0
82288ffffffffff,3743.0,0.0,0.0,0.0,0.0
822897fffffffff,1231.0,0.0,26.0,0.0,0.0
82289ffffffffff,1577.0,0.0,7.0,0.0,0.0
8228a7fffffffff,14.0,0.0,0.0,0.0,0.0
8228affffffffff,7246.0,126.0,1.0,0.0,0.0
8228b7fffffffff,311.0,0.0,0.0,16.0,0.0
8228c7fffffffff,7672.0,510.0,0.0,0.0,0.0
8228cffffffffff,39.0,16.0,0.0,0.0,0.0
8228d7fffffffff,68858.0,3121.0,2.0,0.0,0.0
8228dffffffffff,17851.0,1151.0,6.0,0.0,0.0
8228f7fffffffff,65278.0,7719.0,0.0,0.0,0.0
822917fffffffff,370.0,0.0,0.0,0.0,0.0
82291ffffffffff,4872.0,2237.0,0.0,0.0,0.0
822987fffffffff,378.0,0.0,0.0,0.0,0.0
82298ffffffffff,21292.0,703.0,0.0,0.0,0.0
822997fffffffff,3260.0,0.0,0.0,288.0,0.0
82299ffffffffff,82.0,0.0,0.0,12.0,0.0
8229a7fffffffff,17461.0,443.0,0.0,0.0,0.0
8229affffffffff,15954.0,714.0,0.0,0.0,0.0
8229b7fffffffff,1560.0,0.0,0.0,144.0,0.0
824527fffffffff,524.0,0.0,0.0,0.0,81.0
824537fffffffff,64.0,0.0,0.0,0.0,29.0
824817fffffffff,421.0,0.0,0.0,0.0,0.0
82481ffffffffff,240.0,0.0,0.0,0.0,0.0
824837fffffffff,93.0,0.0,0.0,0.0,0.0
8248a7fffffffff,57.0,0.0,0.0,0.0,0.0
8248c7fffffffff,8256.0,0.0,0.0,1591.0,0.0
8248cffffffffff,11349.0,0.0,0.0,2961.0,0.0
8248d7fffffffff,1075.0,0.0,0.0,106.0,0.0
8248dffffffffff,11194.0,0.0,0.0,1892.0,0.0
8248e7fffffffff,382.0,0.0,0.0,0.0,0.0
8248effffffffff,11811.0,0.0,0.0,2271.0,0.0
8248f7fffffffff,180.0,0.0,0.0,18.0,0.0
824987fffffffff,430.0,0.0,0.0,0.0,22.0
82498ffffffffff,2.0,0.0,0.0,0.0,0.0
824997fffffffff,1649.0,0.0,0.0,0.0,165.0
82499ffffffffff,13.0,0.0,0.0,0.0,0.0
8249b7fffffffff,78.0,0.0,0.0,0.0,12.0
826d17fffffffff,19.0,0.0,0.0,0.0,7.0
826d27fffffffff,1228.0,0.0,0.0,0.0,485.0
826d2ffffffffff,4447.0,0.0,0.0,0.0,2205.0
826d37fffffffff,2762.0,0.0,0.0,0.0,732.0
826d67fffffffff,821.0,0.0,0.0,0.0,329.0
