cell_id,Pyriglena maura,Pyriglena maura pacifica,Pyriglena maura castanoptera,Pyriglena maura picea,Pyriglena maura [maura Group]
8366c0fffffffff,333.0,0.0,0.0,0.0,0.0
8366c2fffffffff,227.0,0.0,0.0,0.0,0.0
8366c4fffffffff,88.0,0.0,0.0,0.0,0.0
8366c6fffffffff,301.0,0.0,0.0,0.0,0.0
8366d0fffffffff,5.0,0.0,0.0,0.0,0.0
8366d1fffffffff,20.0,0.0,0.0,0.0,0.0
8366d2fffffffff,2.0,0.0,0.0,0.0,0.0
8366d3fffffffff,2.0,0.0,0.0,0.0,0.0
8366dafffffffff,24.0,0.0,0.0,0.0,0.0
8366defffffffff,1158.0,0.0,128.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0,0.0,0.0
8366e3fffffffff,5.0,0.0,0.0,0.0,0.0
838b00fffffffff,3.0,0.0,0.0,0.0,0.0
838b05fffffffff,8.0,0.0,0.0,0.0,0.0
838b06fffffffff,1.0,0.0,0.0,0.0,0.0
838b0cfffffffff,10.0,0.0,0.0,0.0,0.0
838b10fffffffff,2.0,0.0,0.0,0.0,0.0
838b11fffffffff,10.0,0.0,0.0,0.0,0.0
838b1cfffffffff,3.0,0.0,0.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0,0.0,0.0
838b20fffffffff,33.0,0.0,0.0,0.0,0.0
838b21fffffffff,3.0,0.0,0.0,0.0,0.0
838b22fffffffff,160.0,0.0,0.0,0.0,0.0
838b23fffffffff,1.0,0.0,0.0,0.0,0.0
838b26fffffffff,6.0,0.0,0.0,0.0,0.0
838b2afffffffff,4.0,0.0,0.0,0.0,0.0
838b2cfffffffff,26.0,0.0,0.0,0.0,0.0
838b2efffffffff,1.0,0.0,0.0,0.0,0.0
838b31fffffffff,40.0,0.0,0.0,0.0,0.0
838b35fffffffff,1.0,0.0,0.0,0.0,0.0
838b36fffffffff,6.0,0.0,0.0,0.0,0.0
838b61fffffffff,441.0,0.0,0.0,0.0,5.0
838b63fffffffff,8.0,0.0,0.0,0.0,0.0
838b6cfffffffff,8.0,0.0,0.0,0.0,0.0
838b74fffffffff,17.0,0.0,0.0,0.0,0.0
838b75fffffffff,64.0,0.0,0.0,0.0,0.0
838b84fffffffff,3.0,0.0,0.0,0.0,0.0
838b9dfffffffff,2.0,0.0,0.0,0.0,0.0
838ba0fffffffff,2.0,0.0,0.0,0.0,0.0
838ba4fffffffff,2.0,0.0,0.0,0.0,0.0
838ba6fffffffff,21.0,0.0,0.0,0.0,0.0
838bacfffffffff,1.0,0.0,0.0,0.0,0.0
838bb5fffffffff,166.0,0.0,0.0,0.0,0.0
838e64fffffffff,70.0,0.0,0.0,0.0,0.0
838e65fffffffff,10.0,0.0,0.0,0.0,0.0
838f0dfffffffff,87.0,0.0,0.0,0.0,0.0
838f28fffffffff,3.0,0.0,0.0,0.0,0.0
838f29fffffffff,13.0,0.0,0.0,0.0,0.0
838f2afffffffff,260.0,32.0,0.0,0.0,0.0
838f2bfffffffff,64.0,10.0,0.0,0.0,0.0
838f2cfffffffff,76.0,4.0,0.0,0.0,0.0
838f2efffffffff,5.0,0.0,0.0,0.0,0.0
838f42fffffffff,53.0,0.0,0.0,0.0,0.0
838f43fffffffff,1.0,0.0,0.0,0.0,0.0
838f46fffffffff,124.0,0.0,0.0,0.0,0.0
838f4afffffffff,12.0,0.0,0.0,0.0,0.0
838f54fffffffff,13.0,0.0,0.0,0.0,0.0
838f5cfffffffff,2.0,0.0,0.0,0.0,0.0
838f5dfffffffff,21.0,0.0,0.0,0.0,0.0
838f70fffffffff,27.0,0.0,0.0,0.0,0.0
838f72fffffffff,41.0,0.0,1.0,0.0,0.0
838f73fffffffff,40.0,0.0,0.0,0.0,0.0
838f74fffffffff,5.0,0.0,0.0,0.0,0.0
838f76fffffffff,25.0,0.0,0.0,0.0,0.0
83a841fffffffff,14.0,0.0,0.0,0.0,0.0
83a845fffffffff,4.0,0.0,0.0,0.0,0.0
83a849fffffffff,1.0,0.0,0.0,0.0,0.0
83a859fffffffff,3.0,0.0,0.0,0.0,0.0
83a86bfffffffff,3.0,0.0,0.0,0.0,0.0
83b324fffffffff,13.0,0.0,0.0,0.0,0.0
83b325fffffffff,9.0,0.0,0.0,0.0,0.0
83b366fffffffff,12.0,0.0,0.0,0.0,0.0
