cell_id,Tangara velia,Tangara velia [velia Group],Tangara velia cyanomelas
845f711ffffffff,2.0,0.0,0.0
8466415ffffffff,7.0,7.0,0.0
8466441ffffffff,2.0,0.0,0.0
84665abffffffff,1.0,1.0,0.0
8466c0dffffffff,2.0,0.0,0.0
8466c5dffffffff,42.0,0.0,0.0
8466dadffffffff,1.0,1.0,0.0
8466debffffffff,4.0,4.0,0.0
8466e39ffffffff,2.0,0.0,0.0
8466e8dffffffff,1.0,0.0,0.0
8466ec5ffffffff,4.0,0.0,0.0
8466ecbffffffff,3.0,0.0,0.0
8466ee5ffffffff,2.0,0.0,0.0
848180bffffffff,3.0,0.0,3.0
8481851ffffffff,4.0,0.0,4.0
848b567ffffffff,1.0,1.0,0.0
848b5cdffffffff,3.0,3.0,0.0
848b617ffffffff,1.0,0.0,0.0
848b63dffffffff,1.0,0.0,0.0
84a5969ffffffff,21.0,0.0,21.0
84a8917ffffffff,7.0,0.0,6.0
