cell_id,Pernis ptilorhynchus,Pernis ptilorhynchus orientalis,Pernis ptilorhynchus ruficollis/philippensis,Pernis ptilorhynchus [ptilorhynchus Group]
820a97fffffffff,2.0,2.0,0.0,0.0
82148ffffffffff,4.0,0.0,0.0,0.0
82149ffffffffff,2.0,0.0,0.0,0.0
8214affffffffff,18.0,0.0,0.0,0.0
82158ffffffffff,4.0,0.0,0.0,0.0
82159ffffffffff,5.0,0.0,0.0,0.0
82200ffffffffff,14.0,6.0,0.0,0.0
82201ffffffffff,6.0,0.0,0.0,0.0
822037fffffffff,1.0,1.0,0.0,0.0
82204ffffffffff,1.0,0.0,0.0,0.0
82205ffffffffff,2.0,0.0,0.0,0.0
82206ffffffffff,2.0,2.0,0.0,0.0
82209ffffffffff,3.0,0.0,0.0,0.0
8220e7fffffffff,12.0,2.0,0.0,0.0
8220f7fffffffff,2.0,0.0,0.0,0.0
822407fffffffff,4.0,0.0,0.0,0.0
822427fffffffff,1.0,0.0,0.0,0.0
82242ffffffffff,4.0,0.0,0.0,0.0
822437fffffffff,1.0,0.0,0.0,0.0
822457fffffffff,26.0,0.0,0.0,0.0
822467fffffffff,3.0,0.0,0.0,0.0
82246ffffffffff,1.0,0.0,0.0,0.0
82248ffffffffff,4.0,0.0,0.0,0.0
822517fffffffff,10.0,0.0,0.0,0.0
82251ffffffffff,2.0,0.0,0.0,0.0
822547fffffffff,23.0,1.0,0.0,0.0
82255ffffffffff,3.0,0.0,0.0,0.0
822577fffffffff,1.0,0.0,0.0,0.0
8225a7fffffffff,2.0,0.0,0.0,0.0
8225b7fffffffff,4.0,2.0,0.0,0.0
822c27fffffffff,1.0,0.0,0.0,0.0
822c97fffffffff,61.0,1.0,0.0,0.0
822c9ffffffffff,3.0,0.0,0.0,0.0
822e2ffffffffff,2.0,0.0,0.0,0.0
822e67fffffffff,3.0,0.0,0.0,0.0
822e6ffffffffff,16.0,0.0,0.0,0.0
822e77fffffffff,12.0,0.0,0.0,0.0
822ec7fffffffff,4.0,0.0,0.0,0.0
822ecffffffffff,7.0,0.0,0.0,0.0
822edffffffffff,2.0,0.0,0.0,0.0
822f5ffffffffff,2.0,0.0,0.0,0.0
823007fffffffff,34.0,2.0,0.0,0.0
82301ffffffffff,37.0,2.0,0.0,0.0
823037fffffffff,43.0,4.0,0.0,0.0
823087fffffffff,5.0,0.0,0.0,0.0
823097fffffffff,4.0,0.0,0.0,0.0
82309ffffffffff,38.0,0.0,0.0,0.0
8230a7fffffffff,2.0,0.0,0.0,0.0
8230affffffffff,2.0,0.0,0.0,0.0
8230c7fffffffff,7.0,0.0,0.0,0.0
8230d7fffffffff,2.0,0.0,0.0,0.0
8230dffffffffff,6.0,0.0,0.0,0.0
8230e7fffffffff,30.0,2.0,0.0,0.0
823147fffffffff,2.0,0.0,0.0,0.0
823167fffffffff,2.0,0.0,0.0,0.0
82316ffffffffff,65.0,5.0,0.0,0.0
823187fffffffff,77.0,3.0,0.0,0.0
82318ffffffffff,27.0,3.0,0.0,0.0
8231affffffffff,140.0,6.0,0.0,0.0
823c07fffffffff,126.0,0.0,5.0,0.0
823c0ffffffffff,129.0,7.0,0.0,0.0
823c17fffffffff,193.0,0.0,2.0,0.0
823c1ffffffffff,451.0,3.0,0.0,0.0
823c37fffffffff,126.0,0.0,0.0,0.0
823c47fffffffff,2.0,0.0,0.0,0.0
823c57fffffffff,111.0,0.0,0.0,0.0
823c5ffffffffff,626.0,0.0,0.0,0.0
823c6ffffffffff,4.0,0.0,0.0,0.0
823c87fffffffff,106.0,0.0,0.0,0.0
823c8ffffffffff,207.0,0.0,0.0,0.0
823c97fffffffff,401.0,0.0,0.0,0.0
823c9ffffffffff,13.0,0.0,0.0,0.0
823ca7fffffffff,115.0,0.0,0.0,0.0
823caffffffffff,195.0,0.0,0.0,0.0
823cb7fffffffff,1418.0,0.0,0.0,0.0
823cc7fffffffff,236.0,0.0,0.0,0.0
823ccffffffffff,41.0,0.0,0.0,0.0
823cd7fffffffff,3.0,0.0,0.0,0.0
823cdffffffffff,152.0,19.0,0.0,0.0
823ce7fffffffff,917.0,2.0,2.0,0.0
823ceffffffffff,729.0,0.0,9.0,0.0
823cf7fffffffff,800.0,0.0,9.0,0.0
823d07fffffffff,5.0,0.0,0.0,0.0
823d17fffffffff,1297.0,0.0,0.0,0.0
823d1ffffffffff,11.0,0.0,0.0,0.0
823d37fffffffff,121.0,0.0,0.0,0.0
823d87fffffffff,765.0,0.0,0.0,0.0
823d8ffffffffff,244.0,0.0,0.0,0.0
823d97fffffffff,254.0,0.0,0.0,0.0
823d9ffffffffff,1037.0,0.0,0.0,0.0
823da7fffffffff,1188.0,0.0,0.0,0.0
823daffffffffff,707.0,0.0,0.0,0.0
823db7fffffffff,253.0,0.0,0.0,0.0
823e47fffffffff,1.0,0.0,0.0,0.0
823e67fffffffff,2.0,0.0,0.0,0.0
823e6ffffffffff,903.0,35.0,0.0,0.0
824007fffffffff,4.0,2.0,0.0,0.0
82401ffffffffff,8.0,0.0,0.0,0.0
82402ffffffffff,10.0,0.0,0.0,0.0
824047fffffffff,18.0,4.0,0.0,0.0
82404ffffffffff,228.0,23.0,0.0,0.0
824057fffffffff,3.0,0.0,0.0,0.0
82405ffffffffff,7.0,0.0,0.0,0.0
824067fffffffff,40.0,3.0,0.0,0.0
82406ffffffffff,37.0,4.0,0.0,0.0
824077fffffffff,4.0,0.0,0.0,0.0
82408ffffffffff,4.0,0.0,0.0,0.0
8240affffffffff,5.0,0.0,0.0,0.0
8240c7fffffffff,24.0,2.0,0.0,0.0
8240dffffffffff,2.0,0.0,0.0,0.0
8240e7fffffffff,39.0,0.0,0.0,0.0
8240effffffffff,63.0,0.0,2.0,0.0
824107fffffffff,6.0,0.0,0.0,0.0
82411ffffffffff,52.0,0.0,0.0,0.0
824147fffffffff,7.0,4.0,0.0,0.0
82414ffffffffff,30.0,0.0,0.0,0.0
824157fffffffff,24.0,0.0,0.0,0.0
82415ffffffffff,18.0,1.0,1.0,0.0
824167fffffffff,28.0,0.0,4.0,0.0
82416ffffffffff,25.0,0.0,3.0,0.0
824177fffffffff,43.0,0.0,0.0,0.0
824187fffffffff,2.0,0.0,0.0,0.0
82418ffffffffff,3.0,0.0,0.0,0.0
824197fffffffff,6.0,0.0,0.0,0.0
82419ffffffffff,1.0,0.0,0.0,0.0
8241b7fffffffff,90.0,2.0,0.0,0.0
824227fffffffff,3.0,0.0,0.0,0.0
824237fffffffff,10.0,0.0,0.0,0.0
824247fffffffff,1.0,0.0,0.0,0.0
82424ffffffffff,41.0,0.0,0.0,0.0
824257fffffffff,13.0,0.0,0.0,0.0
82425ffffffffff,39.0,0.0,0.0,0.0
82426ffffffffff,74.0,0.0,0.0,0.0
8242c7fffffffff,1020.0,0.0,14.0,0.0
8242cffffffffff,1499.0,0.0,10.0,0.0
8242d7fffffffff,20.0,0.0,6.0,0.0
8242dffffffffff,984.0,0.0,4.0,0.0
8242e7fffffffff,22.0,0.0,0.0,0.0
8242effffffffff,111.0,0.0,2.0,0.0
824317fffffffff,73.0,0.0,0.0,0.0
82431ffffffffff,194.0,0.0,0.0,0.0
824337fffffffff,2.0,0.0,0.0,0.0
824387fffffffff,6.0,1.0,0.0,0.0
82438ffffffffff,12.0,0.0,0.0,0.0
82439ffffffffff,3.0,0.0,0.0,0.0
8243a7fffffffff,153.0,56.0,0.0,0.0
8243affffffffff,129.0,49.0,0.0,0.0
