cell_id,Muscicapa dauurica,Muscicapa dauurica dauurica,Muscicapa dauurica poonensis/siamensis
830a33fffffffff,1.0,0.0,0.0
83148cfffffffff,18.0,0.0,0.0
83149afffffffff,9.0,0.0,0.0
83149efffffffff,2.0,0.0,0.0
8314aefffffffff,26.0,0.0,0.0
8314d6fffffffff,2.0,0.0,0.0
831588fffffffff,6.0,0.0,0.0
831592fffffffff,6.0,0.0,0.0
831598fffffffff,1.0,0.0,0.0
83209afffffffff,10.0,0.0,0.0
832400fffffffff,1.0,0.0,0.0
832404fffffffff,4.0,0.0,0.0
83240afffffffff,8.0,0.0,0.0
83240efffffffff,1.0,0.0,0.0
83241dfffffffff,2.0,0.0,0.0
832426fffffffff,5.0,0.0,0.0
832428fffffffff,2.0,0.0,0.0
832429fffffffff,3.0,0.0,0.0
83242bfffffffff,2.0,0.0,0.0
83242cfffffffff,1.0,0.0,0.0
83242dfffffffff,6.0,0.0,0.0
83242efffffffff,2.0,0.0,0.0
832431fffffffff,3.0,0.0,0.0
832446fffffffff,3.0,0.0,0.0
83244bfffffffff,6.0,0.0,0.0
83244cfffffffff,5.0,0.0,0.0
832450fffffffff,23.0,0.0,0.0
832451fffffffff,18.0,0.0,0.0
832452fffffffff,11.0,0.0,0.0
832454fffffffff,2.0,0.0,0.0
832456fffffffff,19.0,0.0,0.0
83245afffffffff,2.0,0.0,0.0
832460fffffffff,52.0,0.0,0.0
832462fffffffff,1.0,0.0,0.0
832466fffffffff,1.0,0.0,0.0
83246cfffffffff,2.0,0.0,0.0
832475fffffffff,8.0,0.0,0.0
832476fffffffff,4.0,0.0,0.0
832509fffffffff,1.0,0.0,0.0
832512fffffffff,3.0,0.0,0.0
832513fffffffff,2.0,0.0,0.0
832540fffffffff,8.0,0.0,0.0
832546fffffffff,18.0,0.0,0.0
83255afffffffff,20.0,0.0,0.0
83255bfffffffff,14.0,0.0,0.0
8325aefffffffff,1.0,0.0,0.0
832e0dfffffffff,33.0,0.0,0.0
832e13fffffffff,6.0,0.0,0.0
832e1afffffffff,10.0,0.0,0.0
832e1bfffffffff,21.0,0.0,0.0
832e1efffffffff,1.0,0.0,0.0
832e44fffffffff,1.0,0.0,0.0
