cell_id,Vireo huttoni,Vireo huttoni [huttoni Group],Vireo huttoni [stephensi Group]
831299fffffffff,6.0,0.0,0.0
83129afffffffff,2.0,0.0,0.0
83129bfffffffff,43.0,0.0,0.0
832800fffffffff,133.0,0.0,0.0
832802fffffffff,1957.0,0.0,0.0
832803fffffffff,96.0,0.0,0.0
832806fffffffff,869.0,0.0,0.0
832810fffffffff,11.0,0.0,0.0
832811fffffffff,324.0,0.0,0.0
832814fffffffff,755.0,0.0,0.0
832815fffffffff,203.0,0.0,0.0
832818fffffffff,307.0,2.0,0.0
832819fffffffff,169.0,0.0,0.0
83281afffffffff,183.0,0.0,0.0
83281bfffffffff,753.0,0.0,0.0
83281cfffffffff,576.0,1.0,0.0
83281dfffffffff,87.0,0.0,0.0
83281efffffffff,380.0,26.0,0.0
832830fffffffff,19714.0,16.0,0.0
832831fffffffff,1858.0,0.0,0.0
832832fffffffff,5792.0,0.0,0.0
832833fffffffff,398.0,3.0,0.0
832834fffffffff,21412.0,3282.0,0.0
832835fffffffff,960.0,0.0,0.0
832836fffffffff,509.0,0.0,0.0
8328a9fffffffff,2.0,0.0,0.0
8328c2fffffffff,313.0,0.0,0.0
8328c6fffffffff,294.0,0.0,0.0
8328cafffffffff,1.0,0.0,0.0
8328d0fffffffff,145.0,0.0,0.0
8328d1fffffffff,4098.0,0.0,0.0
8328d3fffffffff,12.0,0.0,0.0
8328d4fffffffff,115.0,0.0,0.0
8328d5fffffffff,8233.0,0.0,0.0
8328d8fffffffff,445.0,0.0,0.0
8328d9fffffffff,51.0,0.0,0.0
8328dafffffffff,2.0,0.0,0.0
8328dcfffffffff,1646.0,0.0,0.0
8328ddfffffffff,249.0,0.0,0.0
8328defffffffff,1609.0,0.0,0.0
8328f0fffffffff,2381.0,0.0,0.0
8328f1fffffffff,379.0,0.0,0.0
8328f2fffffffff,27.0,0.0,0.0
8328f3fffffffff,441.0,0.0,0.0
8328f4fffffffff,1737.0,0.0,0.0
8328f5fffffffff,1345.0,0.0,0.0
8328f6fffffffff,13.0,0.0,0.0
832912fffffffff,2059.0,0.0,0.0
832913fffffffff,497.0,0.0,0.0
83291afffffffff,3558.0,1631.0,0.0
832989fffffffff,11.0,0.0,0.0
83298cfffffffff,6.0,0.0,0.0
83298dfffffffff,247.0,0.0,0.0
8329a0fffffffff,5345.0,0.0,0.0
8329a1fffffffff,4413.0,0.0,0.0
8329a4fffffffff,6352.0,0.0,0.0
8329a5fffffffff,5374.0,0.0,0.0
8329a6fffffffff,93.0,0.0,0.0
8329a9fffffffff,860.0,147.0,0.0
8329aafffffffff,109.0,0.0,0.0
8329abfffffffff,332.0,0.0,0.0
8329acfffffffff,1791.0,0.0,0.0
8329adfffffffff,3721.0,12.0,0.0
8329aefffffffff,41.0,0.0,0.0
8329b0fffffffff,15.0,0.0,0.0
8329b2fffffffff,344.0,0.0,0.0
8329b6fffffffff,263.0,0.0,0.0
834525fffffffff,81.0,0.0,0.0
834805fffffffff,34.0,0.0,0.0
83480afffffffff,25.0,0.0,0.0
83480efffffffff,2.0,0.0,0.0
834810fffffffff,3.0,0.0,0.0
834814fffffffff,74.0,0.0,0.0
834815fffffffff,2.0,0.0,0.0
834816fffffffff,5.0,0.0,0.0
834818fffffffff,4.0,0.0,0.0
834819fffffffff,39.0,0.0,0.0
83481afffffffff,1.0,0.0,0.0
83481bfffffffff,9.0,0.0,0.0
83481dfffffffff,30.0,0.0,0.0
83482efffffffff,95.0,0.0,0.0
834833fffffffff,580.0,0.0,4.0
834836fffffffff,523.0,0.0,5.0
83484afffffffff,111.0,0.0,0.0
834859fffffffff,99.0,0.0,0.0
83485dfffffffff,21.0,0.0,0.0
834883fffffffff,362.0,0.0,0.0
834884fffffffff,8.0,0.0,0.0
834888fffffffff,2.0,0.0,0.0
83488afffffffff,2.0,0.0,0.0
83488cfffffffff,4.0,0.0,0.0
83488dfffffffff,2.0,0.0,0.0
83488efffffffff,217.0,0.0,0.0
834898fffffffff,116.0,0.0,0.0
83489cfffffffff,1458.0,0.0,0.0
83489dfffffffff,966.0,0.0,0.0
83489efffffffff,20.0,0.0,0.0
8348a0fffffffff,85.0,0.0,0.0
8348a2fffffffff,831.0,0.0,0.0
8348a3fffffffff,4.0,0.0,0.0
8348a6fffffffff,46.0,0.0,0.0
8348abfffffffff,1231.0,0.0,0.0
8348b5fffffffff,5.0,0.0,0.0
8348c0fffffffff,177.0,0.0,0.0
8348c1fffffffff,104.0,0.0,14.0
8348c3fffffffff,2.0,0.0,0.0
8348c5fffffffff,6178.0,0.0,1282.0
8348c6fffffffff,50.0,0.0,0.0
8348c9fffffffff,3.0,0.0,1.0
8348ccfffffffff,26.0,0.0,4.0
8348cdfffffffff,242.0,0.0,27.0
8348e0fffffffff,16.0,0.0,0.0
8348e1fffffffff,73.0,0.0,0.0
8348e2fffffffff,24.0,0.0,0.0
8348e3fffffffff,398.0,0.0,17.0
8348e4fffffffff,159.0,0.0,0.0
8348e5fffffffff,5.0,0.0,0.0
8348e6fffffffff,80.0,0.0,0.0
8348e8fffffffff,9680.0,0.0,1397.0
8348eafffffffff,339.0,0.0,86.0
8348ebfffffffff,741.0,0.0,67.0
8348ecfffffffff,2815.0,0.0,221.0
8348eefffffffff,13222.0,0.0,2201.0
8348f2fffffffff,902.0,0.0,0.0
834980fffffffff,184.0,0.0,5.0
834981fffffffff,2.0,0.0,0.0
834982fffffffff,77.0,0.0,0.0
834983fffffffff,75.0,0.0,0.0
