cell_id,Psittacus erithacus,Psittacus erithacus erithacus,Psittacus erithacus princeps
8458d23ffffffff,8.0,0.0,0.0
8458d31ffffffff,1.0,0.0,0.0
8458d35ffffffff,3.0,2.0,0.0
8458db5ffffffff,2.0,0.0,0.0
8458dddffffffff,1.0,0.0,0.0
846a9e5ffffffff,24.0,0.0,0.0
846a9e7ffffffff,13.0,0.0,0.0
846a9edffffffff,8.0,0.0,0.0
846ac03ffffffff,14.0,0.0,0.0
846ac0bffffffff,9.0,1.0,0.0
846ac11ffffffff,1.0,0.0,0.0
846ac15ffffffff,327.0,47.0,0.0
846ac39ffffffff,2.0,0.0,0.0
846ac69ffffffff,2.0,0.0,0.0
846ac81ffffffff,3.0,0.0,0.0
846ac89ffffffff,639.0,62.0,0.0
846ac8dffffffff,2.0,2.0,0.0
846acadffffffff,1.0,0.0,0.0
846acc3ffffffff,6.0,2.0,0.0
846acc7ffffffff,25.0,2.0,0.0
846acd1ffffffff,19.0,2.0,0.0
846acd5ffffffff,112.0,15.0,0.0
846ace5ffffffff,5.0,0.0,0.0
846acebffffffff,1.0,0.0,0.0
846ad03ffffffff,1.0,0.0,0.0
846adc1ffffffff,22.0,3.0,0.0
846adc3ffffffff,5.0,0.0,0.0
846ae85ffffffff,2.0,2.0,0.0
846aea1ffffffff,134.0,12.0,0.0
846aea3ffffffff,2.0,0.0,0.0
846aea5ffffffff,1.0,0.0,0.0
8475085ffffffff,37.0,0.0,0.0
8475087ffffffff,16.0,4.0,0.0
84750d1ffffffff,65.0,9.0,0.0
84750d7ffffffff,3.0,0.0,0.0
84750dbffffffff,4.0,0.0,0.0
84750ddffffffff,1.0,0.0,0.0
8475191ffffffff,1.0,0.0,0.0
8475295ffffffff,2.0,0.0,0.0
84752abffffffff,86.0,8.0,0.0
84752adffffffff,1.0,0.0,0.0
84752b5ffffffff,6.0,0.0,0.0
84752e9ffffffff,1.0,0.0,0.0
8475761ffffffff,2.0,0.0,0.0
8475769ffffffff,15.0,0.0,0.0
847a4cbffffffff,19.0,0.0,0.0
847a4ddffffffff,20.0,0.0,0.0
8482181ffffffff,3.0,0.0,0.0
8482187ffffffff,11.0,0.0,0.0
84821b1ffffffff,5.0,0.0,0.0
84821b3ffffffff,5.0,0.0,0.0
84821c7ffffffff,1.0,0.0,0.0
8482819ffffffff,1.0,0.0,0.0
8482853ffffffff,5.0,2.0,0.0
848285bffffffff,2.0,0.0,0.0
848289bffffffff,1.0,1.0,0.0
84828a3ffffffff,2.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0
84828b5ffffffff,14.0,13.0,0.0
84828bdffffffff,4.0,0.0,0.0
84828d1ffffffff,225.0,98.0,0.0
848290bffffffff,3.0,0.0,0.0
848294bffffffff,1.0,0.0,0.0
8482951ffffffff,1.0,0.0,0.0
8482a37ffffffff,12.0,0.0,0.0
8482a3bffffffff,3.0,0.0,0.0
8482a81ffffffff,23.0,5.0,0.0
8482a83ffffffff,6.0,0.0,0.0
8482a91ffffffff,2.0,0.0,0.0
8482aadffffffff,18.0,4.0,0.0
8482ab3ffffffff,19.0,7.0,0.0
8482ab7ffffffff,24.0,4.0,0.0
8482ac5ffffffff,2.0,0.0,0.0
8482b05ffffffff,1.0,0.0,0.0
8482b21ffffffff,1.0,0.0,0.0
8482b37ffffffff,1.0,0.0,0.0
8482c0dffffffff,109.0,0.0,21.0
8482d03ffffffff,13.0,5.0,0.0
8482d07ffffffff,4.0,0.0,0.0
8482d1dffffffff,70.0,54.0,0.0
8482d23ffffffff,4.0,0.0,0.0
8482d29ffffffff,13.0,5.0,0.0
8482d2bffffffff,4.0,0.0,0.0
8482d37ffffffff,11.0,2.0,0.0
8482d4dffffffff,3.0,0.0,0.0
8482d57ffffffff,4.0,4.0,0.0
8482d61ffffffff,2.0,1.0,0.0
8482d67ffffffff,5.0,0.0,0.0
8482e33ffffffff,2.0,0.0,0.0
8482e37ffffffff,3.0,0.0,0.0
8482f07ffffffff,3.0,3.0,0.0
8482f09ffffffff,13.0,0.0,0.0
8482f2bffffffff,8.0,8.0,0.0
8482f41ffffffff,1.0,0.0,0.0
8482f43ffffffff,3.0,0.0,0.0
8482f59ffffffff,2.0,0.0,0.0
8482f69ffffffff,1.0,0.0,0.0
84831ebffffffff,1.0,0.0,0.0
84838a5ffffffff,3.0,0.0,0.0
84838adffffffff,2.0,0.0,0.0
84838e3ffffffff,9.0,0.0,0.0
84838ebffffffff,3.0,0.0,0.0
8483921ffffffff,1.0,0.0,0.0
8483981ffffffff,7.0,0.0,0.0
8483983ffffffff,14.0,0.0,0.0
848398bffffffff,10.0,0.0,0.0
8496d21ffffffff,1.0,0.0,0.0
8496d85ffffffff,1.0,0.0,0.0
