cell_id,Aphelocoma wollweberi,Aphelocoma wollweberi [wollweberi Group],Aphelocoma wollweberi couchii,Aphelocoma wollweberi potosina
84480adffffffff,31.0,0.0,0.0,0.0
8448101ffffffff,5.0,0.0,0.0,0.0
8448109ffffffff,3.0,0.0,0.0,0.0
844811bffffffff,2.0,0.0,0.0,0.0
8448133ffffffff,3.0,0.0,0.0,0.0
8448141ffffffff,14.0,0.0,0.0,0.0
8448143ffffffff,6.0,0.0,0.0,0.0
8448145ffffffff,3.0,0.0,0.0,0.0
8448147ffffffff,42.0,0.0,0.0,0.0
844814bffffffff,14.0,0.0,0.0,0.0
844818bffffffff,5.0,0.0,0.0,0.0
8448191ffffffff,1.0,0.0,0.0,0.0
8448193ffffffff,14.0,0.0,0.0,0.0
8448195ffffffff,8.0,0.0,0.0,0.0
8448197ffffffff,8.0,0.0,0.0,0.0
8448199ffffffff,6.0,0.0,0.0,0.0
844819bffffffff,1.0,0.0,0.0,0.0
844819dffffffff,27.0,0.0,0.0,0.0
84481b1ffffffff,1.0,0.0,0.0,0.0
84481b3ffffffff,5.0,0.0,0.0,0.0
84481b5ffffffff,4.0,0.0,0.0,0.0
84481b7ffffffff,9.0,0.0,0.0,0.0
84481c1ffffffff,5.0,0.0,0.0,0.0
84481c7ffffffff,1.0,0.0,0.0,0.0
84481d7ffffffff,40.0,0.0,0.0,0.0
84481e1ffffffff,1.0,0.0,0.0,0.0
84481ebffffffff,2.0,0.0,0.0,0.0
8448321ffffffff,5.0,0.0,0.0,0.0
8448325ffffffff,15.0,0.0,0.0,0.0
8448333ffffffff,1.0,0.0,0.0,0.0
8448337ffffffff,3.0,0.0,0.0,0.0
844884bffffffff,6.0,0.0,0.0,0.0
84488d9ffffffff,4.0,0.0,0.0,0.0
8448a01ffffffff,3.0,0.0,0.0,0.0
8448a05ffffffff,171.0,0.0,0.0,0.0
8448a21ffffffff,547.0,0.0,0.0,0.0
8448a23ffffffff,7.0,0.0,0.0,0.0
8448a27ffffffff,2.0,0.0,0.0,0.0
8448a29ffffffff,642.0,0.0,0.0,0.0
8448a2bffffffff,286.0,0.0,0.0,0.0
8448a2dffffffff,49.0,0.0,0.0,0.0
8448a39ffffffff,5.0,0.0,0.0,0.0
8448a65ffffffff,10.0,0.0,0.0,0.0
8448a67ffffffff,145.0,0.0,0.0,0.0
8448a6dffffffff,30.0,0.0,0.0,0.0
8448aa1ffffffff,4.0,0.0,0.0,0.0
8448ab1ffffffff,1.0,0.0,0.0,0.0
8448ab3ffffffff,77.0,0.0,0.0,0.0
8448ab5ffffffff,2.0,0.0,0.0,0.0
8448ab7ffffffff,3536.0,0.0,0.0,0.0
8448b5bffffffff,7.0,0.0,0.0,0.0
8448c03ffffffff,87.0,0.0,0.0,0.0
8448c0bffffffff,200.0,0.0,0.0,0.0
8448c11ffffffff,24.0,0.0,0.0,0.0
8448c13ffffffff,38.0,10.0,0.0,0.0
8448c15ffffffff,12.0,0.0,0.0,0.0
8448c19ffffffff,91.0,5.0,0.0,0.0
8448c1bffffffff,52.0,23.0,0.0,0.0
8448c1dffffffff,191.0,0.0,0.0,0.0
8448c51ffffffff,4.0,0.0,0.0,0.0
8448c57ffffffff,38.0,0.0,0.0,0.0
8448c59ffffffff,16622.0,4215.0,0.0,0.0
8448c5bffffffff,2150.0,526.0,0.0,0.0
8448c5dffffffff,3.0,0.0,0.0,0.0
8448cc1ffffffff,3.0,3.0,0.0,0.0
8448cc9ffffffff,1.0,0.0,0.0,0.0
8448ccbffffffff,53.0,15.0,0.0,0.0
8448ccdffffffff,2.0,0.0,0.0,0.0
8448cd1ffffffff,47.0,26.0,0.0,0.0
8448cd9ffffffff,74.0,44.0,0.0,0.0
8448cdbffffffff,19.0,11.0,0.0,0.0
8448cddffffffff,21.0,10.0,0.0,0.0
8448e01ffffffff,4.0,0.0,0.0,0.0
8448e07ffffffff,16.0,0.0,0.0,0.0
8448e0dffffffff,1.0,0.0,0.0,0.0
8448e11ffffffff,3.0,0.0,0.0,0.0
8448e13ffffffff,13.0,0.0,0.0,0.0
8448e15ffffffff,6.0,0.0,0.0,0.0
8448e17ffffffff,8.0,0.0,0.0,0.0
8448e19ffffffff,3.0,0.0,0.0,0.0
8448e23ffffffff,1.0,0.0,0.0,0.0
8448e29ffffffff,1.0,0.0,0.0,0.0
8448e2bffffffff,9.0,0.0,0.0,0.0
8448e31ffffffff,2.0,0.0,0.0,0.0
8448e33ffffffff,53.0,11.0,0.0,0.0
8448e35ffffffff,2.0,0.0,0.0,0.0
8448e37ffffffff,600.0,0.0,0.0,0.0
8448e3dffffffff,12.0,0.0,0.0,0.0
8448e43ffffffff,7.0,0.0,0.0,0.0
8448e45ffffffff,4.0,0.0,0.0,0.0
8448e49ffffffff,3.0,0.0,0.0,0.0
8448e4dffffffff,133.0,0.0,0.0,0.0
8448e57ffffffff,1.0,0.0,0.0,0.0
8448e61ffffffff,31.0,0.0,0.0,0.0
8448e63ffffffff,34.0,2.0,0.0,0.0
8448e67ffffffff,26.0,0.0,0.0,0.0
8448e6bffffffff,9.0,4.0,0.0,0.0
8448e6dffffffff,1.0,0.0,0.0,0.0
8448e85ffffffff,3458.0,910.0,0.0,0.0
8448e89ffffffff,74.0,23.0,0.0,0.0
8448e8dffffffff,26442.0,7092.0,0.0,0.0
8448ea1ffffffff,21.0,6.0,0.0,0.0
8448ea7ffffffff,19.0,10.0,0.0,0.0
8448ea9ffffffff,63.0,8.0,0.0,0.0
8448eabffffffff,102.0,24.0,0.0,0.0
8448eadffffffff,136.0,39.0,0.0,0.0
8448eb5ffffffff,4.0,0.0,0.0,0.0
8448eb7ffffffff,58.0,27.0,0.0,0.0
8448ebdffffffff,4.0,3.0,0.0,0.0
8448ec5ffffffff,10.0,0.0,0.0,0.0
8448ec7ffffffff,2723.0,1045.0,0.0,0.0
8448ee1ffffffff,1647.0,452.0,0.0,0.0
8448ee3ffffffff,523.0,138.0,0.0,0.0
8448ee5ffffffff,36.0,11.0,0.0,0.0
8448ee7ffffffff,232.0,37.0,0.0,0.0
8448ee9ffffffff,15273.0,3598.0,0.0,0.0
8448eebffffffff,4124.0,1243.0,0.0,0.0
8448eedffffffff,12.0,4.0,0.0,0.0
8448f2dffffffff,2.0,0.0,0.0,0.0
8448f51ffffffff,6.0,0.0,0.0,0.0
8448f59ffffffff,4.0,0.0,0.0,0.0
8448f5bffffffff,2.0,0.0,0.0,0.0
8448f6dffffffff,4.0,0.0,0.0,0.0
8449823ffffffff,3.0,0.0,0.0,0.0
8449825ffffffff,2.0,0.0,0.0,0.0
8449827ffffffff,14.0,0.0,0.0,0.0
844982bffffffff,5.0,0.0,0.0,0.0
8449831ffffffff,9.0,0.0,0.0,0.0
8449833ffffffff,16.0,0.0,0.0,0.0
8449835ffffffff,36.0,0.0,0.0,0.0
8449837ffffffff,4.0,0.0,0.0,0.0
844983bffffffff,63.0,0.0,0.0,0.0
844983dffffffff,39.0,0.0,0.0,0.0
8449881ffffffff,29.0,0.0,0.0,0.0
8449883ffffffff,2.0,0.0,0.0,0.0
8449885ffffffff,1.0,0.0,0.0,0.0
844988dffffffff,127.0,4.0,0.0,0.0
8449893ffffffff,24.0,0.0,0.0,0.0
84498c7ffffffff,29.0,0.0,0.0,0.0
84498d7ffffffff,2.0,0.0,0.0,0.0
84498dbffffffff,1.0,0.0,0.0,0.0
84498edffffffff,8.0,0.0,0.0,0.0
8449911ffffffff,3.0,0.0,0.0,0.0
8449919ffffffff,1.0,0.0,1.0,0.0
844991dffffffff,3.0,0.0,0.0,0.0
8449981ffffffff,5.0,0.0,0.0,2.0
8449987ffffffff,6.0,0.0,0.0,0.0
84499b1ffffffff,4.0,0.0,0.0,0.0
84499b3ffffffff,6.0,0.0,0.0,0.0
84499b9ffffffff,1.0,0.0,0.0,0.0
84499bbffffffff,24.0,0.0,0.0,0.0
84499c1ffffffff,19.0,0.0,0.0,0.0
84499c5ffffffff,15.0,0.0,0.0,2.0
84499c9ffffffff,40.0,0.0,0.0,0.0
84499cbffffffff,1.0,0.0,0.0,0.0
84499cdffffffff,30.0,0.0,0.0,0.0
84499d1ffffffff,51.0,0.0,0.0,2.0
84499d5ffffffff,6.0,0.0,0.0,0.0
84499d7ffffffff,2.0,0.0,0.0,0.0
84499d9ffffffff,4.0,0.0,0.0,0.0
84499dbffffffff,6.0,0.0,0.0,0.0
84499ddffffffff,10.0,0.0,0.0,1.0
