cell_id,Turdus plumbeus,Turdus plumbeus plumbeus,Turdus plumbeus [rubripes Group],Turdus plumbeus ardosiaceus/albiventris
824437fffffffff,3737.0,0.0,764.0,0.0
824487fffffffff,2150.0,1.0,0.0,0.0
8244a7fffffffff,71.0,0.0,0.0,0.0
8244b7fffffffff,1898.0,177.0,0.0,0.0
82451ffffffffff,18.0,0.0,0.0,0.0
824587fffffffff,262.0,0.0,29.0,0.0
82458ffffffffff,4384.0,0.0,779.0,0.0
824597fffffffff,283.0,0.0,47.0,0.0
82459ffffffffff,1597.0,0.0,247.0,0.0
824c8ffffffffff,93.0,0.0,0.0,4.0
824c97fffffffff,224.0,0.0,3.0,0.0
824c9ffffffffff,269.0,0.0,39.0,0.0
824cb7fffffffff,7.0,0.0,0.0,0.0
824cc7fffffffff,6913.0,0.0,0.0,494.0
824cd7fffffffff,1324.0,0.0,0.0,79.0
824ceffffffffff,7613.0,0.0,0.0,380.0
824cf7fffffffff,248.0,0.0,0.0,14.0
825e47fffffffff,77.0,0.0,0.0,0.0
826727fffffffff,423.0,0.0,0.0,26.0
