cell_id,Enicurus leschenaulti,Enicurus leschenaulti sinensis/indicus,Enicurus leschenaulti frontalis/chaseni,Enicurus leschenaulti leschenaulti
833190fffffffff,2.0,2.0,0.0,0.0
833192fffffffff,3.0,0.0,0.0,0.0
833196fffffffff,3.0,0.0,0.0,0.0
833c52fffffffff,3.0,0.0,0.0,0.0
833c58fffffffff,1.0,1.0,0.0,0.0
833cedfffffffff,3.0,2.0,0.0,0.0
83404dfffffffff,7.0,7.0,0.0,0.0
834089fffffffff,10.0,2.0,0.0,0.0
834171fffffffff,2.0,2.0,0.0,0.0
834185fffffffff,4.0,4.0,0.0,0.0
834192fffffffff,4.0,0.0,0.0,0.0
836500fffffffff,38.0,16.0,0.0,0.0
836502fffffffff,10.0,0.0,0.0,0.0
836526fffffffff,4.0,4.0,0.0,0.0
