cell_id,Acrocephalus scirpaceus,Acrocephalus scirpaceus scirpaceus,Acrocephalus scirpaceus fuscus,Acrocephalus scirpaceus avicenniae,Acrocephalus scirpaceus ammon,Acrocephalus scirpaceus [baeticatus Group]
820767fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,3.0,3.0,0.0,0.0,0.0,0.0
820997fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8209a7fffffffff,9.0,1.0,0.0,0.0,0.0,0.0
8211affffffffff,5.0,5.0,0.0,0.0,0.0,0.0
821807fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82182ffffffffff,5.0,1.0,0.0,0.0,0.0,0.0
82184ffffffffff,53.0,2.0,0.0,0.0,0.0,0.0
82185ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0
821867fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
82190ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821927fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,7.0,2.0,0.0,0.0,0.0,0.0
82194ffffffffff,21.0,7.0,0.0,0.0,0.0,0.0
821957fffffffff,7.0,4.0,0.0,0.0,0.0,0.0
82195ffffffffff,4.0,2.0,0.0,0.0,0.0,0.0
82196ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821977fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
821e07fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821e0ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821e17fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821e5ffffffffff,19.0,19.0,0.0,0.0,0.0,0.0
821ea7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
821ec7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
821ecffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821edffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
821eeffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821f07fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821f1ffffffffff,4.0,4.0,0.0,0.0,0.0,0.0
821f47fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821f5ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821f77fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
821f87fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
821f8ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
821f97fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821f9ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
821fa7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821faffffffffff,23.0,5.0,0.0,0.0,0.0,0.0
821fb7fffffffff,6.0,2.0,0.0,0.0,0.0,0.0
822c07fffffffff,33.0,0.0,4.0,0.0,0.0,0.0
822c0ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
822c27fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
822c2ffffffffff,3.0,0.0,1.0,0.0,0.0,0.0
822c4ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
822c5ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
822c87fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
822c97fffffffff,17.0,0.0,2.0,0.0,0.0,0.0
822cc7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
822ce7fffffffff,3.0,0.0,2.0,0.0,0.0,0.0
822cf7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
822d07fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
822d0ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0
822d17fffffffff,4.0,0.0,3.0,0.0,0.0,0.0
822d37fffffffff,5.0,2.0,2.0,0.0,0.0,0.0
822daffffffffff,9.0,0.0,4.0,0.0,0.0,0.0
822db7fffffffff,26.0,0.0,2.0,0.0,0.0,0.0
82346ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82351ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
823817fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
823847fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
823867fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
82386ffffffffff,5.0,1.0,0.0,0.0,0.0,0.0
823877fffffffff,10.0,0.0,0.0,0.0,0.0,9.0
823907fffffffff,154.0,44.0,0.0,0.0,0.0,7.0
82390ffffffffff,49.0,0.0,0.0,0.0,0.0,0.0
823917fffffffff,59.0,2.0,0.0,0.0,0.0,0.0
82391ffffffffff,251.0,1.0,0.0,0.0,0.0,0.0
823927fffffffff,103.0,7.0,0.0,0.0,0.0,0.0
82392ffffffffff,61.0,2.0,0.0,0.0,0.0,0.0
823937fffffffff,59.0,0.0,0.0,0.0,0.0,1.0
823947fffffffff,19.0,1.0,0.0,0.0,0.0,0.0
823957fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
82395ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
823977fffffffff,133.0,1.0,0.0,0.0,0.0,9.0
82398ffffffffff,4.0,0.0,0.0,0.0,0.0,4.0
82399ffffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8239affffffffff,9.0,0.0,0.0,0.0,0.0,6.0
823e47fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
823e6ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
823eeffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
823f2ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
823f37fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
823f4ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0
823f67fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
823f6ffffffffff,9.0,0.0,1.0,0.0,0.0,0.0
824367fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8252d7fffffffff,15.0,0.0,0.0,0.0,0.0,15.0
8253a7fffffffff,8.0,0.0,0.0,8.0,0.0,0.0
8253b7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
825417fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8254c7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8254effffffffff,2.0,0.0,0.0,0.0,0.0,0.0
825977fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
826337fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
827a47fffffffff,5.0,0.0,0.0,0.0,0.0,3.0
827a4ffffffffff,3.0,0.0,0.0,0.0,0.0,3.0
827a67fffffffff,18.0,0.0,0.0,0.0,0.0,1.0
827a6ffffffffff,19.0,0.0,0.0,0.0,0.0,2.0
827acffffffffff,5.0,0.0,0.0,0.0,0.0,5.0
827b4ffffffffff,25.0,0.0,0.0,0.0,0.0,17.0
827b5ffffffffff,3.0,0.0,0.0,0.0,0.0,2.0
829757fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
82975ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82aca7fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
82ad37fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
82bcc7fffffffff,32.0,0.0,0.0,0.0,0.0,18.0
82bcd7fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
82bcdffffffffff,4.0,0.0,0.0,0.0,0.0,2.0
