cell_id,Turdus rufopalliatus,Turdus rufopalliatus rufopalliatus,Turdus rufopalliatus graysoni
824807fffffffff,281.0,2.0,0.0
82480ffffffffff,791.0,4.0,0.0
824817fffffffff,23.0,0.0,0.0
82481ffffffffff,9.0,0.0,0.0
824837fffffffff,6524.0,447.0,221.0
824857fffffffff,3.0,0.0,0.0
8248e7fffffffff,60.0,0.0,0.0
8248effffffffff,3.0,0.0,0.0
824987fffffffff,1598.0,69.0,0.0
82498ffffffffff,111.0,0.0,0.0
824997fffffffff,5526.0,544.0,0.0
82499ffffffffff,1.0,0.0,0.0
8249a7fffffffff,155.0,11.0,0.0
8249affffffffff,5172.0,228.0,0.0
8249b7fffffffff,2327.0,59.0,0.0
826d07fffffffff,38.0,2.0,0.0
826d17fffffffff,1171.0,189.0,0.0
826d37fffffffff,1699.0,121.0,0.0
