cell_id,Turdus plumbeus,Turdus plumbeus plumbeus,Turdus plumbeus [rubripes Group],Turdus plumbeus ardosiaceus/albiventris
834430fffffffff,1496.0,0.0,392.0,0.0
834432fffffffff,2381.0,0.0,351.0,0.0
834434fffffffff,171.0,0.0,47.0,0.0
834436fffffffff,35.0,0.0,0.0,0.0
834480fffffffff,31.0,0.0,0.0,0.0
834484fffffffff,536.0,0.0,0.0,0.0
834485fffffffff,40.0,0.0,0.0,0.0
834486fffffffff,434.0,1.0,0.0,0.0
8344a2fffffffff,46.0,0.0,0.0,0.0
8344a3fffffffff,1109.0,0.0,0.0,0.0
8344b0fffffffff,37.0,0.0,0.0,0.0
8344b1fffffffff,45.0,1.0,0.0,0.0
8344b2fffffffff,6.0,0.0,0.0,0.0
8344b5fffffffff,1820.0,176.0,0.0,0.0
8344b6fffffffff,8.0,0.0,0.0,0.0
83451bfffffffff,33.0,0.0,3.0,0.0
834583fffffffff,112.0,0.0,23.0,0.0
834584fffffffff,142.0,0.0,0.0,0.0
834588fffffffff,1005.0,0.0,188.0,0.0
834589fffffffff,52.0,0.0,1.0,0.0
83458afffffffff,1.0,0.0,0.0,0.0
83458cfffffffff,1878.0,0.0,367.0,0.0
83458dfffffffff,241.0,0.0,50.0,0.0
83458efffffffff,859.0,0.0,150.0,0.0
834590fffffffff,31.0,0.0,4.0,0.0
834591fffffffff,202.0,0.0,40.0,0.0
834592fffffffff,30.0,0.0,4.0,0.0
834593fffffffff,2.0,0.0,0.0,0.0
834595fffffffff,3.0,0.0,0.0,0.0
834596fffffffff,7.0,0.0,0.0,0.0
834598fffffffff,1243.0,0.0,208.0,0.0
83459bfffffffff,5.0,0.0,0.0,0.0
83459cfffffffff,79.0,0.0,6.0,0.0
83459dfffffffff,198.0,0.0,21.0,0.0
83459efffffffff,63.0,0.0,9.0,0.0
834c88fffffffff,5.0,0.0,0.0,0.0
834c89fffffffff,70.0,0.0,0.0,4.0
834c8bfffffffff,12.0,0.0,0.0,0.0
834c93fffffffff,245.0,0.0,5.0,0.0
834c98fffffffff,149.0,0.0,36.0,0.0
834c9afffffffff,96.0,0.0,1.0,0.0
834c9efffffffff,20.0,0.0,2.0,0.0
834cb2fffffffff,9.0,0.0,0.0,0.0
834cc0fffffffff,173.0,0.0,0.0,4.0
834cc2fffffffff,5.0,0.0,0.0,0.0
834cc4fffffffff,119.0,0.0,0.0,0.0
834cc5fffffffff,7266.0,0.0,0.0,538.0
834cc6fffffffff,83.0,0.0,0.0,14.0
834cd0fffffffff,28.0,0.0,0.0,0.0
834cd2fffffffff,198.0,0.0,0.0,15.0
834cd4fffffffff,621.0,0.0,0.0,24.0
834cd5fffffffff,8.0,0.0,0.0,0.0
834cd6fffffffff,20.0,0.0,0.0,0.0
834ce8fffffffff,3.0,0.0,0.0,0.0
834ceafffffffff,565.0,0.0,0.0,52.0
834ceefffffffff,6308.0,0.0,0.0,266.0
834cf2fffffffff,195.0,0.0,0.0,4.0
834cf3fffffffff,69.0,0.0,0.0,10.0
835e42fffffffff,2.0,0.0,0.0,0.0
835e43fffffffff,75.0,0.0,0.0,0.0
836720fffffffff,12.0,0.0,0.0,0.0
836725fffffffff,815.0,0.0,0.0,66.0
836726fffffffff,39.0,0.0,0.0,0.0
