cell_id,Apus horus,Apus horus (White-rumped),Apus horus (Brown-rumped)
845402dffffffff,38.0,15.0,0.0
846ac35ffffffff,1.0,0.0,0.0
846ac93ffffffff,5.0,0.0,0.0
847a407ffffffff,1.0,0.0,0.0
847a481ffffffff,3.0,0.0,0.0
847a4c1ffffffff,5.0,0.0,0.0
847a6b3ffffffff,2.0,0.0,0.0
849728dffffffff,2.0,2.0,0.0
84972e3ffffffff,5.0,0.0,0.0
8497357ffffffff,1.0,1.0,0.0
84974b9ffffffff,3.0,0.0,0.0
84ada21ffffffff,2.0,0.0,0.0
84bc453ffffffff,2.0,0.0,0.0
84bc455ffffffff,1.0,0.0,0.0
84bc5c9ffffffff,2.0,0.0,0.0
84bc5cbffffffff,1.0,0.0,0.0
84bc5e5ffffffff,1.0,0.0,0.0
84bc687ffffffff,56.0,10.0,0.0
84bc695ffffffff,3.0,0.0,0.0
84bc697ffffffff,2.0,0.0,0.0
84bc6a3ffffffff,2.0,0.0,0.0
84bc6a7ffffffff,2.0,0.0,0.0
84bc6abffffffff,7.0,0.0,0.0
84bc6adffffffff,2.0,2.0,0.0
84bcc23ffffffff,6.0,0.0,0.0
84bcc27ffffffff,1.0,0.0,0.0
84bcc2bffffffff,3.0,0.0,0.0
84bcc35ffffffff,1.0,0.0,0.0
84bcc3dffffffff,2.0,0.0,0.0
84bcd67ffffffff,1.0,1.0,0.0
84bcdc9ffffffff,1.0,0.0,0.0
84bcdcdffffffff,3.0,0.0,0.0
