cell_id,Campylorhynchus zonatus,Campylorhynchus zonatus [zonatus Group],Campylorhynchus zonatus costaricensis/panamensis,Campylorhynchus zonatus brevirostris/curvirostris
84452e1ffffffff,18.0,0.0,0.0,0.0
84452e5ffffffff,2.0,0.0,0.0,0.0
8449903ffffffff,2.0,0.0,0.0,0.0
8449913ffffffff,4.0,0.0,0.0,0.0
8449961ffffffff,4.0,0.0,0.0,0.0
8449963ffffffff,15.0,0.0,0.0,0.0
8449965ffffffff,3.0,0.0,0.0,0.0
8449969ffffffff,4.0,0.0,0.0,0.0
844996bffffffff,2.0,0.0,0.0,0.0
8449987ffffffff,11.0,0.0,0.0,0.0
84499c5ffffffff,3.0,0.0,0.0,0.0
8466113ffffffff,2.0,0.0,0.0,0.0
84661c9ffffffff,2.0,0.0,0.0,0.0
84661cdffffffff,4.0,0.0,0.0,0.0
84661ebffffffff,2.0,0.0,0.0,0.0
8466b49ffffffff,2.0,0.0,0.0,0.0
8466b4dffffffff,2.0,0.0,0.0,0.0
8466b5bffffffff,5.0,0.0,0.0,0.0
84679a5ffffffff,7.0,0.0,0.0,0.0
846d20dffffffff,3.0,0.0,0.0,0.0
846d21dffffffff,3.0,0.0,0.0,0.0
846d23bffffffff,4.0,0.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0,0.0
846d283ffffffff,1.0,0.0,0.0,0.0
846d295ffffffff,4.0,0.0,0.0,0.0
846d2b9ffffffff,3.0,0.0,0.0,0.0
846d2ebffffffff,2.0,0.0,0.0,0.0
846d35dffffffff,2.0,0.0,0.0,0.0
846d689ffffffff,2.0,0.0,0.0,0.0
846d68bffffffff,1.0,0.0,0.0,0.0
846d69dffffffff,9.0,0.0,0.0,0.0
848f28dffffffff,4.0,0.0,0.0,0.0
848f2cdffffffff,1.0,0.0,0.0,0.0
