cell_id,Pterocles alchata,Pterocles alchata alchata,Pterocles alchata caudacutus
822037fffffffff,11.0,0.0,0.0
822c97fffffffff,26.0,0.0,0.0
822c9ffffffffff,1.0,0.0,0.0
822ca7fffffffff,1.0,0.0,0.0
822cc7fffffffff,2.0,0.0,0.0
822daffffffffff,21.0,0.0,0.0
822db7fffffffff,22.0,0.0,2.0
823877fffffffff,2.0,0.0,0.0
823907fffffffff,143.0,81.0,0.0
82390ffffffffff,67.0,9.0,0.0
82391ffffffffff,14.0,1.0,0.0
82392ffffffffff,46.0,1.0,0.0
823957fffffffff,74.0,4.0,0.0
82396ffffffffff,4.0,0.0,0.0
823977fffffffff,83.0,51.0,0.0
82398ffffffffff,12.0,0.0,1.0
823e6ffffffffff,33.0,0.0,0.0
8242effffffffff,1.0,0.0,0.0
8243a7fffffffff,5.0,0.0,0.0
