cell_id,Anser albifrons,Anser albifrons flavirostris,Anser albifrons albifrons,Anser albifrons gambelli/sponsa,Anser albifrons elgasi
820137fffffffff,5.0,0.0,5.0,0.0,0.0
8202cffffffffff,5.0,0.0,0.0,0.0,0.0
820747fffffffff,14.0,4.0,0.0,0.0,0.0
820757fffffffff,2.0,0.0,2.0,0.0,0.0
82075ffffffffff,4.0,2.0,0.0,0.0,0.0
820777fffffffff,6.0,0.0,6.0,0.0,0.0
82088ffffffffff,2.0,0.0,2.0,0.0,0.0
82089ffffffffff,22.0,0.0,4.0,0.0,0.0
820987fffffffff,2.0,0.0,0.0,0.0,0.0
820c07fffffffff,6.0,0.0,0.0,0.0,0.0
820c17fffffffff,10.0,0.0,0.0,2.0,0.0
820c47fffffffff,38.0,0.0,0.0,0.0,3.0
820c57fffffffff,72.0,0.0,0.0,2.0,4.0
820c5ffffffffff,52.0,0.0,0.0,0.0,0.0
820c77fffffffff,100.0,0.0,0.0,0.0,4.0
820ca7fffffffff,31.0,0.0,0.0,0.0,0.0
820caffffffffff,1.0,0.0,0.0,0.0,0.0
820cdffffffffff,4.0,0.0,0.0,0.0,0.0
820ce7fffffffff,3.0,0.0,0.0,0.0,0.0
820ceffffffffff,8.0,0.0,0.0,0.0,0.0
820cf7fffffffff,2.0,0.0,0.0,0.0,0.0
820d07fffffffff,16.0,0.0,0.0,0.0,0.0
820d0ffffffffff,12.0,0.0,0.0,7.0,0.0
820d47fffffffff,2.0,0.0,0.0,0.0,0.0
820d5ffffffffff,6.0,0.0,0.0,1.0,0.0
820d67fffffffff,10.0,0.0,0.0,0.0,0.0
820d77fffffffff,28.0,0.0,0.0,27.0,0.0
820e4ffffffffff,7.0,0.0,0.0,0.0,0.0
820e87fffffffff,13.0,0.0,0.0,0.0,0.0
820e97fffffffff,2.0,0.0,0.0,0.0,0.0
820ecffffffffff,4.0,0.0,0.0,0.0,0.0
820eeffffffffff,3.0,0.0,0.0,3.0,0.0
820fb7fffffffff,4.0,0.0,0.0,0.0,0.0
821107fffffffff,3.0,0.0,0.0,0.0,0.0
821137fffffffff,18.0,0.0,0.0,0.0,0.0
821187fffffffff,10.0,0.0,6.0,0.0,0.0
