cell_id,Hemixos cinereus,Hemixos cinereus cinereus,Hemixos cinereus connectens
8465005ffffffff,1.0,0.0,0.0
846500bffffffff,37.0,7.0,0.0
846502bffffffff,2.0,2.0,0.0
8465033ffffffff,11.0,0.0,0.0
8465037ffffffff,26.0,4.0,0.0
8465039ffffffff,2.0,0.0,0.0
8465055ffffffff,28.0,9.0,0.0
846505dffffffff,2.0,0.0,0.0
8465063ffffffff,1.0,0.0,0.0
8465069ffffffff,3.0,0.0,0.0
8465183ffffffff,1.0,0.0,0.0
846518bffffffff,3.0,0.0,0.0
84651b9ffffffff,1.0,0.0,0.0
84651c9ffffffff,6.0,0.0,0.0
84651cdffffffff,2.0,0.0,0.0
846520dffffffff,41.0,15.0,0.0
8465237ffffffff,1.0,0.0,0.0
8465263ffffffff,19.0,2.0,0.0
846526bffffffff,3.0,0.0,0.0
8468111ffffffff,2.0,0.0,2.0
8468123ffffffff,3.0,0.0,3.0
8468ac9ffffffff,3.0,0.0,3.0
848c961ffffffff,1.0,0.0,1.0
