cell_id,Actenoides monachus,Actenoides monachus monachus,Actenoides monachus capucinus
8268cffffffffff,390.0,91.0,0.0
8268d7fffffffff,1.0,0.0,0.0
829507fffffffff,44.0,0.0,39.0
82952ffffffffff,1.0,0.0,0.0
829577fffffffff,2.0,0.0,0.0
