cell_id,Sphyrapicus ruber,Sphyrapicus ruber ruber,Sphyrapicus ruber daggetti
830c41fffffffff,2.0,0.0,0.0
830c42fffffffff,18.0,0.0,0.0
830c45fffffffff,3.0,1.0,0.0
830c51fffffffff,2.0,0.0,0.0
830c5afffffffff,19.0,0.0,0.0
830c71fffffffff,2.0,0.0,0.0
830c74fffffffff,1.0,0.0,0.0
83128bfffffffff,17.0,0.0,0.0
83128dfffffffff,4.0,0.0,0.0
8312a2fffffffff,2.0,0.0,0.0
8312b0fffffffff,12.0,0.0,0.0
8312b5fffffffff,2.0,0.0,0.0
8312b6fffffffff,10.0,0.0,0.0
8312d1fffffffff,1.0,0.0,0.0
8312d2fffffffff,2.0,0.0,0.0
8312d3fffffffff,4.0,0.0,0.0
8312d4fffffffff,1.0,0.0,0.0
8312d6fffffffff,3.0,0.0,0.0
8312dbfffffffff,2.0,0.0,0.0
8312f2fffffffff,11.0,0.0,0.0
8312f6fffffffff,2.0,0.0,0.0
831386fffffffff,7.0,0.0,0.0
831388fffffffff,2.0,0.0,0.0
83138cfffffffff,2.0,0.0,0.0
831391fffffffff,3.0,0.0,0.0
831393fffffffff,3.0,0.0,0.0
83139efffffffff,8.0,0.0,0.0
8313b3fffffffff,6.0,0.0,0.0
831d24fffffffff,3.0,0.0,0.0
83268cfffffffff,120.0,38.0,0.0
832696fffffffff,8.0,0.0,0.0
83269efffffffff,6.0,0.0,0.0
832806fffffffff,12.0,0.0,0.0
832810fffffffff,17.0,0.0,3.0
832811fffffffff,5.0,1.0,1.0
832812fffffffff,8.0,0.0,6.0
832813fffffffff,8.0,0.0,0.0
832814fffffffff,10.0,0.0,1.0
832815fffffffff,2.0,0.0,0.0
832818fffffffff,3.0,1.0,0.0
83281afffffffff,2.0,0.0,2.0
83281cfffffffff,14.0,7.0,0.0
83281efffffffff,42.0,24.0,0.0
832830fffffffff,184.0,25.0,35.0
832831fffffffff,14.0,0.0,4.0
832832fffffffff,10.0,0.0,10.0
832833fffffffff,10.0,1.0,0.0
832834fffffffff,56.0,2.0,7.0
832835fffffffff,4.0,0.0,0.0
832836fffffffff,378.0,1.0,4.0
832881fffffffff,2.0,0.0,0.0
832884fffffffff,52.0,1.0,12.0
832888fffffffff,24.0,0.0,0.0
83288afffffffff,2.0,0.0,0.0
83288bfffffffff,2.0,0.0,0.0
83288cfffffffff,9.0,1.0,0.0
83288dfffffffff,6.0,0.0,0.0
83288efffffffff,2.0,0.0,0.0
83289dfffffffff,2.0,0.0,0.0
8328a9fffffffff,2.0,0.0,2.0
8328aafffffffff,2.0,0.0,0.0
8328abfffffffff,1.0,0.0,0.0
8328adfffffffff,2.0,0.0,2.0
8328aefffffffff,30.0,0.0,0.0
8328b1fffffffff,5.0,0.0,0.0
8328d0fffffffff,28.0,0.0,0.0
8328d1fffffffff,8.0,2.0,0.0
8328d2fffffffff,7.0,0.0,0.0
8328d3fffffffff,9.0,0.0,0.0
8328d5fffffffff,6.0,6.0,0.0
8328d6fffffffff,13.0,0.0,0.0
8328defffffffff,2.0,0.0,0.0
8328f0fffffffff,19.0,3.0,0.0
8328f2fffffffff,2.0,0.0,0.0
8328f3fffffffff,2.0,2.0,0.0
8328f4fffffffff,24.0,0.0,0.0
8328f5fffffffff,2.0,0.0,0.0
8328f6fffffffff,40.0,0.0,1.0
832912fffffffff,14.0,1.0,0.0
83291afffffffff,5.0,0.0,0.0
832980fffffffff,6.0,0.0,0.0
832984fffffffff,5.0,1.0,0.0
832985fffffffff,2.0,2.0,0.0
832986fffffffff,4.0,0.0,0.0
832989fffffffff,9.0,0.0,2.0
83298cfffffffff,10.0,0.0,1.0
83298dfffffffff,14.0,0.0,0.0
832990fffffffff,2.0,0.0,2.0
832993fffffffff,1.0,0.0,0.0
832994fffffffff,4.0,0.0,0.0
832995fffffffff,12.0,0.0,0.0
8329a0fffffffff,59.0,1.0,5.0
8329a1fffffffff,10.0,0.0,0.0
8329a2fffffffff,2.0,0.0,0.0
8329a4fffffffff,15.0,7.0,4.0
8329a5fffffffff,19.0,0.0,0.0
8329a6fffffffff,8.0,0.0,0.0
8329a8fffffffff,5.0,0.0,0.0
8329a9fffffffff,13.0,0.0,2.0
8329aafffffffff,6.0,0.0,0.0
8329abfffffffff,7.0,0.0,1.0
8329acfffffffff,49.0,2.0,0.0
8329adfffffffff,5.0,0.0,0.0
8329aefffffffff,1.0,0.0,0.0
8329b0fffffffff,7.0,0.0,0.0
8329b1fffffffff,2.0,0.0,0.0
8329b2fffffffff,44.0,0.0,7.0
8329b5fffffffff,12.0,0.0,0.0
8329b6fffffffff,5.0,0.0,0.0
83482efffffffff,1.0,0.0,0.0
834842fffffffff,9.0,0.0,0.0
834843fffffffff,5.0,0.0,0.0
83484afffffffff,15.0,0.0,0.0
834855fffffffff,3.0,0.0,0.0
834859fffffffff,11.0,0.0,0.0
83485afffffffff,6.0,0.0,0.0
83485bfffffffff,7.0,0.0,0.0
83485dfffffffff,18.0,0.0,0.0
8348c0fffffffff,4.0,0.0,2.0
8348c1fffffffff,4.0,0.0,0.0
8348c5fffffffff,5.0,0.0,0.0
8348cafffffffff,1.0,0.0,0.0
8348cdfffffffff,5.0,0.0,0.0
8348e5fffffffff,5.0,0.0,0.0
8348e8fffffffff,114.0,0.0,0.0
8348e9fffffffff,26.0,0.0,0.0
8348eafffffffff,1.0,0.0,0.0
8348ebfffffffff,37.0,0.0,2.0
8348ecfffffffff,4.0,0.0,0.0
8348eefffffffff,33.0,0.0,0.0
8348f2fffffffff,1.0,0.0,0.0
