cell_id,Chaetura cinereiventris,Chaetura cinereiventris phaeopygos,Chaetura cinereiventris occidentalis,Chaetura cinereiventris [sclateri Group],Chaetura cinereiventris cinereiventris
824537fffffffff,46.0,0.0,0.0,0.0,0.0
825e67fffffffff,145.0,0.0,0.0,0.0,0.0
825e77fffffffff,2.0,0.0,0.0,2.0,0.0
825f0ffffffffff,7.0,0.0,0.0,0.0,0.0
825f2ffffffffff,132.0,0.0,0.0,0.0,0.0
825f47fffffffff,19.0,0.0,0.0,0.0,0.0
825f4ffffffffff,39.0,0.0,0.0,0.0,0.0
825f5ffffffffff,1291.0,0.0,0.0,0.0,0.0
825f77fffffffff,35.0,0.0,0.0,0.0,0.0
826607fffffffff,29.0,0.0,0.0,0.0,0.0
82660ffffffffff,302.0,0.0,0.0,0.0,0.0
826617fffffffff,92.0,0.0,0.0,0.0,0.0
82661ffffffffff,677.0,0.0,0.0,0.0,0.0
826627fffffffff,236.0,0.0,0.0,0.0,0.0
82662ffffffffff,50.0,0.0,0.0,0.0,0.0
826647fffffffff,669.0,0.0,0.0,0.0,0.0
82664ffffffffff,17.0,0.0,0.0,0.0,0.0
826657fffffffff,131.0,0.0,0.0,0.0,0.0
82665ffffffffff,397.0,0.0,0.0,0.0,0.0
826667fffffffff,7.0,0.0,0.0,0.0,0.0
82666ffffffffff,2.0,0.0,0.0,0.0,0.0
826677fffffffff,26.0,0.0,0.0,0.0,0.0
8266a7fffffffff,255.0,19.0,0.0,0.0,0.0
8266b7fffffffff,164.0,2.0,0.0,0.0,0.0
8266c7fffffffff,748.0,0.0,0.0,0.0,0.0
8266cffffffffff,102.0,0.0,0.0,0.0,0.0
8266d7fffffffff,1784.0,0.0,161.0,0.0,0.0
8266dffffffffff,1856.0,0.0,0.0,257.0,0.0
8266e7fffffffff,1031.0,0.0,0.0,0.0,0.0
8266effffffffff,240.0,0.0,0.0,0.0,0.0
8266f7fffffffff,300.0,0.0,0.0,0.0,0.0
826747fffffffff,131.0,0.0,0.0,2.0,0.0
82674ffffffffff,72.0,0.0,0.0,0.0,0.0
826757fffffffff,6.0,0.0,0.0,0.0,0.0
82675ffffffffff,10.0,0.0,0.0,0.0,0.0
826797fffffffff,26.0,0.0,0.0,0.0,0.0
82679ffffffffff,1327.0,0.0,0.0,0.0,0.0
826d6ffffffffff,5296.0,0.0,0.0,0.0,0.0
828107fffffffff,1.0,0.0,0.0,0.0,1.0
828117fffffffff,3.0,0.0,0.0,0.0,0.0
828137fffffffff,236.0,0.0,0.0,0.0,8.0
82814ffffffffff,40.0,0.0,0.0,0.0,0.0
828a07fffffffff,30.0,0.0,0.0,0.0,0.0
828a17fffffffff,24.0,0.0,0.0,0.0,0.0
828a1ffffffffff,4.0,0.0,0.0,0.0,0.0
828a27fffffffff,3.0,0.0,0.0,0.0,0.0
828a37fffffffff,5.0,0.0,0.0,0.0,0.0
828a47fffffffff,90.0,0.0,0.0,0.0,0.0
828a57fffffffff,20.0,0.0,0.0,0.0,0.0
828a6ffffffffff,145.0,0.0,0.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0,0.0,0.0
828a87fffffffff,33.0,0.0,0.0,0.0,0.0
828a8ffffffffff,5.0,0.0,0.0,0.0,0.0
828a9ffffffffff,19.0,0.0,0.0,0.0,0.0
828aa7fffffffff,3.0,0.0,0.0,0.0,0.0
828aaffffffffff,23.0,0.0,0.0,0.0,0.0
828adffffffffff,10.0,0.0,0.0,0.0,0.0
828af7fffffffff,129.0,0.0,0.0,0.0,0.0
828b17fffffffff,1.0,0.0,0.0,0.0,0.0
828b1ffffffffff,4.0,0.0,0.0,0.0,0.0
828b27fffffffff,9.0,0.0,0.0,0.0,0.0
828b2ffffffffff,12.0,0.0,0.0,0.0,0.0
828b47fffffffff,229.0,0.0,0.0,0.0,0.0
828b57fffffffff,21.0,0.0,0.0,0.0,0.0
828b5ffffffffff,7.0,0.0,0.0,0.0,0.0
828b67fffffffff,247.0,0.0,0.0,0.0,0.0
828b6ffffffffff,38.0,0.0,0.0,0.0,0.0
828b77fffffffff,15.0,0.0,0.0,0.0,0.0
828b87fffffffff,24.0,0.0,0.0,0.0,0.0
828b8ffffffffff,11.0,0.0,0.0,0.0,0.0
828b9ffffffffff,626.0,0.0,0.0,0.0,0.0
828ba7fffffffff,11.0,0.0,0.0,0.0,0.0
828bb7fffffffff,12.0,0.0,0.0,0.0,0.0
828e67fffffffff,16.0,0.0,0.0,0.0,0.0
828f0ffffffffff,229.0,0.0,19.0,0.0,0.0
828f27fffffffff,1.0,0.0,0.0,0.0,0.0
828f2ffffffffff,237.0,0.0,7.0,0.0,0.0
828f47fffffffff,176.0,0.0,0.0,7.0,0.0
828f4ffffffffff,30.0,0.0,0.0,0.0,0.0
828f57fffffffff,14.0,0.0,0.0,0.0,0.0
828f5ffffffffff,3.0,0.0,0.0,0.0,0.0
828f67fffffffff,51.0,0.0,0.0,0.0,0.0
828f6ffffffffff,15.0,0.0,0.0,0.0,0.0
828f77fffffffff,392.0,0.0,3.0,51.0,0.0
82a597fffffffff,285.0,0.0,0.0,0.0,18.0
82a807fffffffff,237.0,0.0,0.0,0.0,25.0
82a817fffffffff,1307.0,0.0,0.0,0.0,47.0
82a827fffffffff,91.0,0.0,0.0,0.0,0.0
82a82ffffffffff,12.0,0.0,0.0,0.0,0.0
82a837fffffffff,415.0,0.0,0.0,0.0,18.0
82a85ffffffffff,6.0,0.0,0.0,0.0,0.0
82a867fffffffff,6.0,0.0,0.0,0.0,0.0
82a877fffffffff,3.0,0.0,0.0,0.0,0.0
82a887fffffffff,106.0,0.0,0.0,0.0,6.0
82a897fffffffff,366.0,0.0,0.0,0.0,36.0
82a8a7fffffffff,976.0,0.0,0.0,0.0,60.0
82a8affffffffff,1.0,0.0,0.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0,0.0,0.0
82a90ffffffffff,32.0,0.0,0.0,0.0,3.0
82a91ffffffffff,62.0,0.0,0.0,0.0,0.0
82a947fffffffff,151.0,0.0,0.0,0.0,0.0
82a957fffffffff,1085.0,0.0,0.0,0.0,2.0
82a95ffffffffff,62.0,0.0,0.0,0.0,0.0
82a977fffffffff,18.0,0.0,0.0,0.0,0.0
82b327fffffffff,3.0,0.0,0.0,0.0,0.0
