cell_id,Tangara gyrola,Tangara gyrola [albertinae Group],Tangara gyrola viridissima/toddi,Tangara gyrola gyrola
825f17fffffffff,2.0,0.0,0.0,0.0
825f47fffffffff,5.0,0.0,0.0,0.0
825f5ffffffffff,12.0,0.0,12.0,0.0
82660ffffffffff,4.0,0.0,3.0,0.0
826617fffffffff,17.0,0.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0
826627fffffffff,6.0,0.0,6.0,0.0
8266a7fffffffff,40.0,0.0,0.0,0.0
8266b7fffffffff,29.0,12.0,0.0,0.0
8266d7fffffffff,9.0,5.0,0.0,0.0
8266dffffffffff,7.0,0.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0
8266f7fffffffff,2.0,0.0,0.0,0.0
826747fffffffff,2.0,0.0,2.0,0.0
82674ffffffffff,16.0,0.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0,0.0
826d6ffffffffff,35.0,8.0,0.0,0.0
828a17fffffffff,12.0,0.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0,0.0
828a87fffffffff,10.0,0.0,0.0,0.0
828af7fffffffff,23.0,0.0,0.0,0.0
828b67fffffffff,3.0,3.0,0.0,0.0
828b6ffffffffff,8.0,0.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0,0.0
828f0ffffffffff,2.0,2.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0,0.0
828f5ffffffffff,1.0,0.0,0.0,0.0
828f77fffffffff,4.0,0.0,0.0,0.0
