cell_id,Sayornis nigricans,Sayornis nigricans [nigricans Group],Sayornis nigricans latirostris/angustirostris
820d5ffffffffff,2.0,0.0,0.0
8212d7fffffffff,2.0,0.0,0.0
8212dffffffffff,10.0,0.0,0.0
822687fffffffff,152.0,0.0,0.0
82268ffffffffff,191.0,0.0,0.0
822697fffffffff,168.0,12.0,0.0
82269ffffffffff,360.0,7.0,0.0
8226affffffffff,8.0,0.0,0.0
8226d7fffffffff,27.0,0.0,0.0
8226dffffffffff,31.0,0.0,0.0
8226f7fffffffff,2.0,0.0,0.0
822807fffffffff,17.0,1.0,0.0
822817fffffffff,141.0,0.0,0.0
82281ffffffffff,64.0,0.0,0.0
822837fffffffff,7283.0,28.0,0.0
82288ffffffffff,12.0,0.0,0.0
8228a7fffffffff,1.0,0.0,0.0
8228affffffffff,125.0,0.0,0.0
8228b7fffffffff,1.0,0.0,0.0
8228c7fffffffff,93.0,2.0,0.0
8228d7fffffffff,1476.0,24.0,0.0
8228dffffffffff,103.0,0.0,0.0
8228f7fffffffff,521.0,6.0,0.0
822917fffffffff,4.0,2.0,0.0
82291ffffffffff,4.0,0.0,0.0
82298ffffffffff,23.0,0.0,0.0
822997fffffffff,36.0,1.0,0.0
8229a7fffffffff,451.0,36.0,0.0
8229affffffffff,41.0,7.0,0.0
8229b7fffffffff,19.0,15.0,0.0
822a17fffffffff,36.0,4.0,0.0
82446ffffffffff,20.0,4.0,0.0
824527fffffffff,10.0,0.0,0.0
82452ffffffffff,38.0,3.0,0.0
82480ffffffffff,5.0,5.0,0.0
824847fffffffff,1.0,0.0,0.0
82484ffffffffff,4.0,0.0,0.0
82485ffffffffff,172.0,77.0,0.0
824887fffffffff,27.0,0.0,0.0
82488ffffffffff,16.0,0.0,0.0
824897fffffffff,67.0,0.0,0.0
82489ffffffffff,126.0,0.0,0.0
8248affffffffff,7.0,0.0,0.0
8248b7fffffffff,573.0,6.0,0.0
8248c7fffffffff,29.0,16.0,0.0
8248cffffffffff,22.0,11.0,0.0
8248d7fffffffff,27.0,0.0,0.0
8248dffffffffff,87.0,0.0,0.0
8248e7fffffffff,5.0,5.0,0.0
8248effffffffff,287.0,118.0,0.0
824987fffffffff,53.0,53.0,0.0
824997fffffffff,42.0,21.0,0.0
8249b7fffffffff,18.0,17.0,0.0
82660ffffffffff,4.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,5.0,0.0,5.0
826627fffffffff,3.0,0.0,0.0
8266a7fffffffff,55.0,0.0,0.0
8266b7fffffffff,86.0,9.0,0.0
8266e7fffffffff,3.0,0.0,3.0
8266f7fffffffff,2.0,0.0,0.0
826797fffffffff,1.0,0.0,0.0
826d2ffffffffff,34.0,0.0,0.0
826d37fffffffff,10.0,5.0,0.0
826d6ffffffffff,27.0,11.0,0.0
828b27fffffffff,4.0,0.0,4.0
828b67fffffffff,11.0,0.0,11.0
828b6ffffffffff,12.0,0.0,10.0
828e67fffffffff,7.0,0.0,0.0
828e6ffffffffff,3.0,0.0,3.0
828f0ffffffffff,5.0,0.0,0.0
828f2ffffffffff,2.0,0.0,2.0
828f4ffffffffff,9.0,0.0,0.0
828f57fffffffff,10.0,0.0,10.0
828f5ffffffffff,1.0,0.0,0.0
828f77fffffffff,8.0,0.0,8.0
82b277fffffffff,6.0,0.0,4.0
82b35ffffffffff,2.0,0.0,0.0
