cell_id,Vireo cassinii,Vireo cassinii cassinii,Vireo cassinii lucasanus
83128bfffffffff,2.0,0.0,0.0
8312a2fffffffff,9.0,0.0,0.0
8312adfffffffff,2.0,0.0,0.0
8312b5fffffffff,1.0,0.0,0.0
8312c0fffffffff,2.0,0.0,0.0
8312c1fffffffff,3.0,0.0,0.0
8312c3fffffffff,2.0,0.0,0.0
8312cafffffffff,6.0,0.0,0.0
8312cbfffffffff,4.0,0.0,0.0
8312ccfffffffff,2.0,0.0,0.0
8312d1fffffffff,14.0,0.0,0.0
8312d3fffffffff,2.0,0.0,0.0
8312d6fffffffff,3.0,0.0,0.0
8312d9fffffffff,2.0,0.0,0.0
8312ddfffffffff,7.0,0.0,0.0
8312defffffffff,2.0,0.0,0.0
8312eafffffffff,14.0,0.0,0.0
8312f1fffffffff,2.0,2.0,0.0
831391fffffffff,1.0,0.0,0.0
831394fffffffff,1.0,0.0,0.0
83139efffffffff,9.0,0.0,0.0
832612fffffffff,3.0,0.0,0.0
832680fffffffff,1.0,0.0,0.0
832681fffffffff,53.0,0.0,0.0
832683fffffffff,5.0,0.0,0.0
832685fffffffff,39.0,0.0,0.0
832688fffffffff,35.0,0.0,0.0
832689fffffffff,4.0,0.0,0.0
83268bfffffffff,2.0,0.0,0.0
83268cfffffffff,27.0,0.0,0.0
83268dfffffffff,41.0,0.0,0.0
832692fffffffff,2.0,0.0,0.0
832695fffffffff,2.0,0.0,0.0
832696fffffffff,52.0,1.0,0.0
832698fffffffff,27.0,0.0,0.0
832699fffffffff,13.0,0.0,0.0
83269afffffffff,3.0,0.0,0.0
83269cfffffffff,27.0,0.0,0.0
83269dfffffffff,12.0,0.0,0.0
83269efffffffff,10.0,0.0,0.0
8326a1fffffffff,3.0,0.0,0.0
8326a3fffffffff,2.0,0.0,0.0
8326a8fffffffff,10.0,0.0,0.0
8326a9fffffffff,13.0,0.0,0.0
8326aafffffffff,40.0,0.0,0.0
8326abfffffffff,24.0,0.0,0.0
8326acfffffffff,10.0,0.0,0.0
8326aefffffffff,9.0,0.0,0.0
8326b2fffffffff,2.0,0.0,0.0
8326b3fffffffff,2.0,0.0,0.0
8326b6fffffffff,17.0,0.0,0.0
8326d3fffffffff,2.0,0.0,0.0
8326d4fffffffff,42.0,0.0,0.0
8326d5fffffffff,6.0,0.0,0.0
8326d6fffffffff,1.0,0.0,0.0
8326d8fffffffff,2.0,0.0,0.0
8326defffffffff,5.0,0.0,0.0
8326f2fffffffff,51.0,0.0,0.0
832786fffffffff,2.0,0.0,0.0
832790fffffffff,15.0,0.0,0.0
832792fffffffff,21.0,0.0,0.0
832793fffffffff,2.0,0.0,0.0
832796fffffffff,2.0,0.0,0.0
832799fffffffff,3.0,0.0,0.0
832800fffffffff,2.0,0.0,0.0
832802fffffffff,40.0,0.0,0.0
832806fffffffff,13.0,0.0,0.0
832810fffffffff,2.0,0.0,0.0
832811fffffffff,8.0,5.0,0.0
832813fffffffff,2.0,0.0,0.0
832814fffffffff,9.0,2.0,0.0
832815fffffffff,38.0,0.0,0.0
832819fffffffff,1.0,0.0,0.0
83281afffffffff,2.0,0.0,0.0
83281bfffffffff,2.0,0.0,0.0
83281cfffffffff,5.0,0.0,0.0
83281efffffffff,53.0,0.0,0.0
832830fffffffff,194.0,2.0,0.0
832831fffffffff,6.0,0.0,0.0
832832fffffffff,29.0,2.0,0.0
832833fffffffff,5.0,0.0,0.0
832834fffffffff,134.0,2.0,0.0
832835fffffffff,2.0,0.0,0.0
832836fffffffff,86.0,0.0,0.0
832880fffffffff,10.0,0.0,0.0
832884fffffffff,184.0,0.0,0.0
832885fffffffff,1.0,0.0,0.0
832888fffffffff,5.0,0.0,0.0
832889fffffffff,3.0,0.0,0.0
83288cfffffffff,26.0,3.0,0.0
832892fffffffff,4.0,0.0,0.0
832896fffffffff,2.0,0.0,0.0
832898fffffffff,18.0,2.0,0.0
83289bfffffffff,6.0,0.0,0.0
83289cfffffffff,1.0,0.0,0.0
83289efffffffff,2.0,0.0,0.0
8328a1fffffffff,3.0,0.0,0.0
8328a2fffffffff,2.0,0.0,0.0
8328a3fffffffff,6.0,0.0,0.0
8328a9fffffffff,9.0,0.0,0.0
8328aafffffffff,7.0,0.0,0.0
8328abfffffffff,2.0,0.0,0.0
8328adfffffffff,10.0,0.0,0.0
8328aefffffffff,12.0,0.0,0.0
8328b0fffffffff,6.0,0.0,0.0
8328b1fffffffff,3.0,0.0,0.0
8328b6fffffffff,10.0,5.0,0.0
8328d1fffffffff,24.0,3.0,0.0
8328d2fffffffff,2.0,0.0,0.0
8328d3fffffffff,2.0,0.0,0.0
8328d4fffffffff,9.0,1.0,0.0
8328d5fffffffff,17.0,0.0,0.0
8328d6fffffffff,2.0,0.0,0.0
8328d8fffffffff,18.0,0.0,0.0
8328d9fffffffff,8.0,0.0,0.0
8328dcfffffffff,8.0,0.0,0.0
8328ddfffffffff,2.0,0.0,0.0
8328defffffffff,3.0,0.0,0.0
8328f0fffffffff,15.0,0.0,0.0
8328f1fffffffff,1.0,0.0,0.0
8328f2fffffffff,1.0,1.0,0.0
8328f3fffffffff,6.0,0.0,0.0
8328f4fffffffff,3.0,0.0,0.0
8328f5fffffffff,9.0,0.0,0.0
8328f6fffffffff,5.0,0.0,0.0
832912fffffffff,6.0,0.0,0.0
83291afffffffff,6.0,0.0,0.0
832981fffffffff,27.0,0.0,0.0
832984fffffffff,8.0,0.0,0.0
832985fffffffff,5.0,0.0,0.0
832986fffffffff,13.0,0.0,0.0
832989fffffffff,10.0,1.0,0.0
83298bfffffffff,4.0,0.0,0.0
83298cfffffffff,183.0,2.0,0.0
83298dfffffffff,16.0,0.0,0.0
832990fffffffff,4.0,0.0,0.0
832995fffffffff,6.0,0.0,0.0
832999fffffffff,3.0,0.0,0.0
83299bfffffffff,10.0,0.0,0.0
