cell_id,Passerella iliaca,Passerella iliaca [unalaschcensis Group],Passerella iliaca [megarhyncha Group],Passerella iliaca [schistacea Group],Passerella iliaca iliaca/zaboria,Passerella iliaca [unalaschcensis Group] x zaboria
820c17fffffffff,14.0,0.0,0.0,0.0,8.0,0.0
820c1ffffffffff,1.0,0.0,0.0,0.0,1.0,0.0
820c27fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,100.0,39.0,0.0,0.0,9.0,0.0
820c57fffffffff,39.0,25.0,0.0,0.0,2.0,0.0
820c5ffffffffff,33.0,19.0,0.0,0.0,11.0,0.0
820c67fffffffff,5.0,0.0,0.0,0.0,5.0,0.0
820c6ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0
820c77fffffffff,28.0,7.0,0.0,0.0,11.0,0.0
820ca7fffffffff,36.0,22.0,0.0,0.0,10.0,0.0
820cdffffffffff,3.0,3.0,0.0,0.0,0.0,0.0
820ceffffffffff,13.0,13.0,0.0,0.0,0.0,0.0
820d07fffffffff,18.0,0.0,0.0,0.0,13.0,0.0
820d4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820d57fffffffff,8.0,0.0,0.0,0.0,4.0,0.0
820d5ffffffffff,2.0,0.0,0.0,0.0,1.0,0.0
820d67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,22.0,0.0,0.0,0.0,22.0,0.0
820e37fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
820e57fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,38.0,0.0,0.0,0.0,37.0,0.0
820e97fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
820e9ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
820ec7fffffffff,42.0,0.0,0.0,0.0,2.0,0.0
820ecffffffffff,27.0,0.0,0.0,0.0,2.0,0.0
820ed7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,24.0,0.0,0.0,0.0,0.0,0.0
820ef7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82122ffffffffff,2.0,0.0,0.0,0.0,2.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,7.0,0.0,0.0,0.0,3.0,0.0
82125ffffffffff,2.0,0.0,0.0,0.0,1.0,0.0
821277fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,86.0,49.0,0.0,0.0,4.0,0.0
82129ffffffffff,4.0,4.0,0.0,0.0,0.0,0.0
8212b7fffffffff,39.0,13.0,0.0,0.0,11.0,0.0
8212c7fffffffff,14.0,0.0,0.0,4.0,8.0,0.0
8212cffffffffff,45.0,0.0,0.0,10.0,5.0,0.0
8212d7fffffffff,21.0,0.0,0.0,15.0,0.0,0.0
8212dffffffffff,16.0,2.0,0.0,4.0,0.0,0.0
8212effffffffff,48.0,0.0,0.0,0.0,5.0,0.0
8212f7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82134ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,28.0,1.0,0.0,0.0,16.0,0.0
82138ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,36.0,28.0,0.0,0.0,0.0,0.0
82139ffffffffff,15.0,0.0,0.0,0.0,15.0,0.0
8213a7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
821aa7fffffffff,85.0,5.0,0.0,0.0,23.0,0.0
821b87fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
821bb7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
821d27fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8222d7fffffffff,11.0,8.0,0.0,0.0,0.0,0.0
8222dffffffffff,16.0,5.0,0.0,0.0,3.0,0.0
822607fffffffff,35.0,0.0,0.0,0.0,18.0,0.0
82260ffffffffff,41.0,0.0,0.0,0.0,20.0,0.0
82261ffffffffff,9.0,0.0,0.0,0.0,7.0,0.0
822627fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,74.0,0.0,0.0,0.0,4.0,0.0
822637fffffffff,7.0,2.0,0.0,0.0,4.0,0.0
822647fffffffff,44.0,0.0,0.0,0.0,7.0,0.0
82264ffffffffff,154.0,0.0,0.0,0.0,21.0,0.0
822657fffffffff,41.0,0.0,0.0,0.0,4.0,0.0
82265ffffffffff,63.0,0.0,0.0,0.0,30.0,0.0
822667fffffffff,88.0,0.0,0.0,0.0,31.0,0.0
82266ffffffffff,37.0,0.0,0.0,0.0,9.0,0.0
822677fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,231.0,43.0,0.0,27.0,43.0,0.0
82268ffffffffff,220.0,0.0,0.0,28.0,96.0,0.0
822697fffffffff,218.0,0.0,0.0,161.0,1.0,0.0
82269ffffffffff,165.0,0.0,0.0,100.0,4.0,0.0
8226affffffffff,52.0,0.0,0.0,5.0,37.0,0.0
8226b7fffffffff,18.0,0.0,0.0,9.0,0.0,0.0
8226c7fffffffff,22.0,0.0,0.0,0.0,2.0,0.0
8226cffffffffff,24.0,0.0,0.0,0.0,10.0,0.0
8226d7fffffffff,47.0,0.0,0.0,3.0,25.0,0.0
8226dffffffffff,28.0,0.0,0.0,2.0,7.0,0.0
8226e7fffffffff,30.0,0.0,0.0,0.0,6.0,0.0
8226effffffffff,16.0,0.0,0.0,0.0,6.0,0.0
8226f7fffffffff,14.0,0.0,0.0,0.0,8.0,0.0
822707fffffffff,63.0,0.0,0.0,0.0,19.0,0.0
82270ffffffffff,97.0,0.0,0.0,0.0,24.0,0.0
822717fffffffff,14.0,0.0,0.0,0.0,5.0,0.0
82271ffffffffff,7.0,0.0,0.0,0.0,3.0,0.0
822747fffffffff,69.0,0.0,0.0,0.0,16.0,0.0
82274ffffffffff,299.0,0.0,0.0,0.0,18.0,0.0
822757fffffffff,63.0,0.0,0.0,0.0,13.0,0.0
82275ffffffffff,123.0,0.0,0.0,0.0,26.0,0.0
822767fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
82276ffffffffff,19.0,0.0,0.0,0.0,3.0,0.0
822777fffffffff,15.0,0.0,0.0,0.0,2.0,0.0
822787fffffffff,3.0,0.0,0.0,0.0,3.0,0.0
82278ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822797fffffffff,23.0,0.0,0.0,3.0,8.0,0.0
8227a7fffffffff,14.0,0.0,0.0,0.0,2.0,0.0
8227affffffffff,3.0,0.0,0.0,0.0,3.0,0.0
8227b7fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
822807fffffffff,37.0,2.0,5.0,2.0,18.0,0.0
822817fffffffff,250.0,36.0,10.0,17.0,16.0,0.0
82281ffffffffff,320.0,135.0,34.0,6.0,15.0,0.0
822837fffffffff,2127.0,522.0,101.0,274.0,101.0,0.0
822887fffffffff,142.0,0.0,0.0,46.0,0.0,0.0
82288ffffffffff,145.0,26.0,0.0,67.0,14.0,0.0
822897fffffffff,45.0,0.0,0.0,13.0,7.0,0.0
82289ffffffffff,6.0,0.0,0.0,0.0,2.0,0.0
8228a7fffffffff,36.0,4.0,1.0,27.0,0.0,0.0
8228affffffffff,241.0,94.0,49.0,37.0,8.0,0.0
8228b7fffffffff,23.0,0.0,0.0,5.0,3.0,0.0
8228c7fffffffff,76.0,54.0,0.0,0.0,2.0,0.0
8228d7fffffffff,347.0,54.0,0.0,155.0,26.0,0.0
8228dffffffffff,113.0,65.0,0.0,16.0,3.0,0.0
8228f7fffffffff,272.0,82.0,53.0,24.0,21.0,0.0
822917fffffffff,27.0,1.0,3.0,2.0,8.0,0.0
82291ffffffffff,33.0,12.0,5.0,10.0,4.0,0.0
822987fffffffff,91.0,29.0,1.0,20.0,35.0,0.0
82298ffffffffff,163.0,32.0,58.0,30.0,2.0,0.0
822997fffffffff,34.0,0.0,0.0,14.0,1.0,0.0
8229a7fffffffff,647.0,168.0,110.0,106.0,42.0,0.0
8229affffffffff,241.0,26.0,104.0,60.0,16.0,0.0
8229b7fffffffff,140.0,6.0,0.0,42.0,7.0,0.0
822a07fffffffff,11.0,0.0,0.0,0.0,3.0,0.0
822a17fffffffff,1143.0,7.0,0.0,0.0,262.0,0.0
822a37fffffffff,704.0,6.0,0.0,0.0,292.0,0.0
822a87fffffffff,117.0,0.0,0.0,0.0,34.0,0.0
822a8ffffffffff,88.0,0.0,0.0,0.0,33.0,0.0
822a97fffffffff,186.0,0.0,0.0,0.0,21.0,0.0
822a9ffffffffff,18.0,0.0,0.0,0.0,11.0,0.0
822aa7fffffffff,261.0,0.0,0.0,0.0,141.0,0.0
822aaffffffffff,742.0,0.0,0.0,0.0,216.0,0.0
822ab7fffffffff,880.0,0.0,0.0,0.0,221.0,0.0
822ad7fffffffff,23.0,0.0,0.0,0.0,8.0,0.0
822af7fffffffff,44.0,0.0,0.0,0.0,24.0,0.0
822b07fffffffff,25.0,0.0,0.0,0.0,15.0,0.0
822b0ffffffffff,161.0,0.0,0.0,0.0,121.0,0.0
822b17fffffffff,131.0,0.0,0.0,0.0,37.0,0.0
822b1ffffffffff,70.0,0.0,0.0,0.0,25.0,0.0
822b27fffffffff,26.0,0.0,0.0,0.0,4.0,0.0
822b2ffffffffff,7.0,0.0,0.0,0.0,2.0,0.0
822b37fffffffff,24.0,0.0,0.0,0.0,2.0,0.0
822b87fffffffff,169.0,0.0,0.0,0.0,10.0,0.0
822b8ffffffffff,198.0,0.0,0.0,0.0,31.0,0.0
822b97fffffffff,16.0,0.0,0.0,0.0,5.0,0.0
822b9ffffffffff,756.0,0.0,0.0,0.0,140.0,0.0
822ba7fffffffff,42.0,0.0,0.0,0.0,0.0,0.0
822baffffffffff,499.0,0.0,0.0,0.0,75.0,0.0
822bb7fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
824447fffffffff,20.0,0.0,0.0,0.0,2.0,0.0
82444ffffffffff,21.0,0.0,0.0,0.0,5.0,0.0
824457fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
82445ffffffffff,8.0,0.0,0.0,0.0,3.0,0.0
824467fffffffff,10.0,0.0,0.0,0.0,1.0,0.0
82446ffffffffff,57.0,0.0,0.0,0.0,19.0,0.0
824477fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8244affffffffff,2.0,0.0,0.0,0.0,2.0,0.0
8244c7fffffffff,56.0,0.0,0.0,0.0,17.0,0.0
8244cffffffffff,47.0,0.0,0.0,0.0,13.0,0.0
8244d7fffffffff,127.0,0.0,0.0,0.0,35.0,0.0
8244dffffffffff,51.0,0.0,0.0,0.0,5.0,0.0
8244e7fffffffff,12.0,0.0,0.0,0.0,2.0,0.0
8244effffffffff,10.0,0.0,0.0,0.0,5.0,0.0
8244f7fffffffff,72.0,0.0,0.0,0.0,22.0,0.0
824847fffffffff,19.0,2.0,0.0,8.0,0.0,0.0
82484ffffffffff,1.0,0.0,0.0,1.0,0.0,0.0
824857fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
82485ffffffffff,86.0,11.0,1.0,33.0,1.0,0.0
82486ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824887fffffffff,18.0,0.0,0.0,0.0,4.0,0.0
82488ffffffffff,10.0,0.0,0.0,0.0,3.0,0.0
824897fffffffff,29.0,0.0,0.0,0.0,2.0,0.0
82489ffffffffff,21.0,0.0,0.0,0.0,2.0,0.0
8248affffffffff,1.0,0.0,0.0,0.0,1.0,0.0
8248b7fffffffff,13.0,0.0,0.0,0.0,7.0,0.0
8248c7fffffffff,98.0,0.0,0.0,21.0,32.0,0.0
8248cffffffffff,145.0,0.0,2.0,65.0,8.0,0.0
8248d7fffffffff,6.0,0.0,0.0,4.0,2.0,0.0
8248dffffffffff,40.0,0.0,0.0,7.0,9.0,0.0
8248effffffffff,581.0,18.0,0.0,148.0,100.0,0.0
