cell_id,Ardea purpurea,Ardea purpurea bournei,Ardea purpurea [purpurea Group]
8414995ffffffff,2.0,0.0,0.0
8414ae5ffffffff,29.0,0.0,0.0
8414b27ffffffff,4.0,0.0,0.0
8414b29ffffffff,3.0,0.0,0.0
8415901ffffffff,5.0,0.0,0.0
8415915ffffffff,2.0,0.0,0.0
8415917ffffffff,2.0,0.0,0.0
8418451ffffffff,1.0,0.0,0.0
8418459ffffffff,2.0,0.0,0.0
841845bffffffff,10.0,0.0,0.0
841845dffffffff,10.0,0.0,0.0
8418461ffffffff,6.0,0.0,2.0
8418491ffffffff,4.0,0.0,0.0
8418495ffffffff,301.0,0.0,0.0
841849dffffffff,10.0,0.0,0.0
84184b1ffffffff,42.0,0.0,0.0
84184b3ffffffff,18.0,0.0,0.0
84184b5ffffffff,2.0,0.0,0.0
84184b7ffffffff,27.0,0.0,0.0
84184b9ffffffff,13.0,0.0,0.0
84184bbffffffff,9.0,0.0,0.0
84184bdffffffff,3.0,0.0,0.0
84184cbffffffff,2.0,0.0,0.0
84186a1ffffffff,12.0,0.0,0.0
84186a3ffffffff,8.0,0.0,2.0
84186a5ffffffff,1.0,0.0,0.0
84186a9ffffffff,1.0,0.0,0.0
84186adffffffff,2.0,0.0,0.0
84186b7ffffffff,2.0,0.0,0.0
84186c1ffffffff,2.0,0.0,0.0
84186c3ffffffff,99.0,0.0,0.0
84186c5ffffffff,7.0,0.0,0.0
84186c9ffffffff,4.0,0.0,0.0
84186cbffffffff,36.0,0.0,0.0
84186cdffffffff,2.0,0.0,0.0
84186d5ffffffff,4.0,0.0,0.0
84186dbffffffff,1.0,0.0,0.0
84186ddffffffff,2.0,0.0,0.0
841873bffffffff,1.0,0.0,0.0
8419495ffffffff,2.0,0.0,0.0
84194bbffffffff,7.0,0.0,0.0
84194d7ffffffff,6.0,0.0,0.0
84194ddffffffff,1.0,0.0,0.0
8419683ffffffff,1.0,0.0,0.0
841968bffffffff,2.0,0.0,0.0
8419691ffffffff,5.0,0.0,0.0
8419693ffffffff,2.0,0.0,0.0
8419695ffffffff,21.0,0.0,0.0
8419697ffffffff,84.0,0.0,0.0
8419699ffffffff,2.0,0.0,0.0
841969dffffffff,16.0,0.0,0.0
84196b9ffffffff,2.0,0.0,0.0
84196bbffffffff,11.0,0.0,0.0
84196d3ffffffff,77.0,0.0,0.0
841e023ffffffff,65.0,0.0,0.0
841e025ffffffff,53.0,0.0,3.0
841e02dffffffff,84.0,0.0,9.0
841e035ffffffff,5.0,0.0,0.0
841e037ffffffff,8.0,0.0,0.0
841e061ffffffff,12.0,0.0,0.0
841e067ffffffff,4.0,0.0,0.0
841e085ffffffff,104.0,0.0,0.0
841e08bffffffff,6.0,0.0,0.0
841e08dffffffff,27.0,0.0,0.0
841e0a1ffffffff,9.0,0.0,0.0
841e0a5ffffffff,1.0,0.0,0.0
841e0a7ffffffff,2.0,0.0,0.0
841e0a9ffffffff,325.0,0.0,0.0
841e0adffffffff,11.0,0.0,0.0
841e0c5ffffffff,2.0,0.0,0.0
841e0e1ffffffff,6.0,0.0,0.0
841e0e3ffffffff,36.0,0.0,0.0
841e0e5ffffffff,3.0,0.0,0.0
841e0e7ffffffff,235.0,0.0,0.0
841e0e9ffffffff,3.0,0.0,0.0
841e0ebffffffff,28.0,0.0,0.0
841e121ffffffff,31.0,0.0,0.0
841e123ffffffff,6.0,0.0,0.0
841e125ffffffff,54.0,0.0,0.0
841e12bffffffff,2.0,0.0,0.0
841e131ffffffff,8.0,0.0,0.0
841e133ffffffff,3.0,0.0,0.0
841e135ffffffff,21.0,0.0,0.0
841e137ffffffff,24.0,0.0,0.0
841e139ffffffff,20.0,0.0,0.0
841e13bffffffff,45.0,0.0,0.0
841e13dffffffff,9.0,0.0,0.0
841e141ffffffff,2.0,0.0,0.0
841e153ffffffff,25.0,0.0,1.0
841e163ffffffff,3.0,0.0,0.0
841e181ffffffff,1.0,0.0,0.0
841e183ffffffff,1.0,0.0,0.0
841e185ffffffff,14.0,0.0,0.0
841e187ffffffff,2.0,0.0,0.0
841e19dffffffff,46.0,0.0,0.0
841e1a9ffffffff,2.0,0.0,0.0
841e1adffffffff,2.0,0.0,0.0
841e1b1ffffffff,10.0,0.0,0.0
841e1b3ffffffff,216.0,0.0,0.0
841e1b5ffffffff,8.0,0.0,0.0
841e1b7ffffffff,9.0,0.0,0.0
841e1b9ffffffff,16.0,0.0,0.0
841e1bbffffffff,44.0,0.0,0.0
841e1c1ffffffff,2.0,0.0,0.0
841e1c3ffffffff,13.0,0.0,0.0
841e1c7ffffffff,2.0,0.0,0.0
841e1c9ffffffff,3.0,0.0,0.0
841e1cbffffffff,27.0,0.0,0.0
841e1d1ffffffff,16.0,0.0,0.0
841e1d5ffffffff,8.0,0.0,0.0
841e1d7ffffffff,35.0,0.0,0.0
841e1d9ffffffff,4.0,0.0,0.0
841e1ddffffffff,169.0,0.0,0.0
841e1e5ffffffff,7.0,0.0,0.0
841e365ffffffff,2.0,0.0,0.0
841e367ffffffff,20.0,0.0,0.0
841e421ffffffff,3.0,0.0,0.0
841e425ffffffff,6.0,0.0,0.0
841e427ffffffff,2.0,0.0,0.0
841e429ffffffff,2.0,0.0,0.0
841e42dffffffff,2.0,0.0,0.0
841e4a3ffffffff,6.0,0.0,0.0
841e4adffffffff,5.0,0.0,0.0
841e4b1ffffffff,10.0,0.0,0.0
841e4bbffffffff,2.0,0.0,0.0
841e4d9ffffffff,1.0,0.0,0.0
841e513ffffffff,50.0,0.0,0.0
841e519ffffffff,2.0,0.0,0.0
841e51bffffffff,5.0,0.0,0.0
841e529ffffffff,5.0,0.0,0.0
841e553ffffffff,6.0,0.0,0.0
841e585ffffffff,2.0,0.0,0.0
841e58dffffffff,6.0,0.0,0.0
841e5a1ffffffff,2.0,0.0,0.0
841e5a5ffffffff,46.0,0.0,0.0
841e5a9ffffffff,107.0,0.0,0.0
841e5abffffffff,1.0,0.0,0.0
841e5adffffffff,28.0,0.0,0.0
841e5c1ffffffff,6.0,0.0,0.0
841e5c3ffffffff,4.0,0.0,0.0
841e5c9ffffffff,12.0,0.0,0.0
841e5cdffffffff,29.0,0.0,0.0
841e5d3ffffffff,6.0,0.0,0.0
841e5d5ffffffff,2.0,0.0,0.0
841e5d9ffffffff,6.0,0.0,0.0
841e5dbffffffff,2.0,0.0,0.0
841e5ddffffffff,2.0,0.0,0.0
841e5e1ffffffff,1.0,0.0,0.0
841e5e3ffffffff,36.0,0.0,0.0
841e5e5ffffffff,17.0,0.0,0.0
841e5e7ffffffff,34.0,0.0,0.0
841e5e9ffffffff,91.0,0.0,0.0
841e5edffffffff,30.0,0.0,0.0
841e639ffffffff,3.0,0.0,0.0
841e697ffffffff,25.0,0.0,0.0
841e6b3ffffffff,5.0,0.0,0.0
841e6bbffffffff,21.0,0.0,0.0
841e6d9ffffffff,3.0,0.0,0.0
841e6e7ffffffff,1.0,0.0,0.0
841e721ffffffff,2.0,0.0,0.0
841e813ffffffff,2.0,0.0,0.0
841e82bffffffff,5.0,0.0,0.0
841e831ffffffff,4.0,0.0,0.0
841e833ffffffff,2.0,0.0,0.0
841e835ffffffff,6.0,0.0,0.0
841e83dffffffff,2.0,0.0,0.0
841e841ffffffff,8.0,0.0,0.0
841e847ffffffff,2.0,0.0,0.0
841e849ffffffff,2.0,0.0,0.0
841e859ffffffff,2.0,0.0,0.0
841e863ffffffff,15.0,0.0,0.0
841e869ffffffff,4.0,0.0,0.0
841e8bbffffffff,1.0,0.0,0.0
841e929ffffffff,10.0,0.0,0.0
841e961ffffffff,2.0,0.0,0.0
841ea01ffffffff,21.0,0.0,0.0
841ea03ffffffff,13.0,0.0,0.0
841ea05ffffffff,3.0,0.0,0.0
841ea07ffffffff,11.0,0.0,0.0
841ea0bffffffff,24.0,0.0,0.0
841ea11ffffffff,5.0,0.0,0.0
841ea19ffffffff,18.0,0.0,0.0
841ea2dffffffff,4.0,0.0,0.0
841ea53ffffffff,18.0,0.0,0.0
841ea55ffffffff,13.0,0.0,0.0
841ea57ffffffff,4.0,0.0,0.0
841ea63ffffffff,3.0,0.0,0.0
841ea81ffffffff,2.0,0.0,0.0
841ea83ffffffff,2.0,0.0,0.0
841ea85ffffffff,47.0,0.0,0.0
841ea87ffffffff,5.0,0.0,0.0
841ea8dffffffff,35.0,0.0,0.0
841ea93ffffffff,2.0,0.0,0.0
841ea95ffffffff,2.0,0.0,0.0
841eab3ffffffff,1.0,0.0,0.0
841eac3ffffffff,2.0,0.0,0.0
841eac5ffffffff,2.0,0.0,0.0
841eacdffffffff,2.0,0.0,0.0
841ead1ffffffff,9.0,0.0,0.0
841ead9ffffffff,22.0,0.0,0.0
841eaebffffffff,6.0,0.0,0.0
841eb03ffffffff,11.0,0.0,0.0
841eb07ffffffff,7.0,0.0,0.0
841eb0bffffffff,6.0,0.0,0.0
841eb2bffffffff,1.0,0.0,0.0
841eb3dffffffff,10.0,0.0,0.0
841eb49ffffffff,2.0,0.0,0.0
841eb4dffffffff,62.0,0.0,0.0
841eb53ffffffff,5.0,0.0,0.0
841eb5bffffffff,9.0,0.0,0.0
841ec03ffffffff,8.0,0.0,0.0
841ec09ffffffff,7.0,0.0,0.0
841ec11ffffffff,3.0,0.0,0.0
841ec13ffffffff,2.0,0.0,0.0
841ec1dffffffff,40.0,0.0,0.0
841ec21ffffffff,103.0,0.0,0.0
841ec23ffffffff,9.0,0.0,0.0
841ec27ffffffff,43.0,0.0,0.0
841ec33ffffffff,25.0,0.0,0.0
841ec35ffffffff,3.0,0.0,0.0
841ec37ffffffff,10.0,0.0,0.0
841ec47ffffffff,94.0,0.0,10.0
841ec4bffffffff,2.0,0.0,0.0
841ec57ffffffff,2.0,0.0,0.0
841ec59ffffffff,2.0,0.0,0.0
841ec5bffffffff,3.0,0.0,0.0
841ec5dffffffff,2.0,0.0,0.0
841ec63ffffffff,1.0,0.0,1.0
841ec6bffffffff,2.0,0.0,0.0
841ec85ffffffff,2.0,0.0,0.0
841ec8bffffffff,3.0,0.0,0.0
841ec91ffffffff,2.0,0.0,0.0
841ec93ffffffff,3.0,0.0,0.0
841ec99ffffffff,25.0,0.0,0.0
841ec9bffffffff,40.0,0.0,0.0
841ec9dffffffff,47.0,0.0,0.0
841eca1ffffffff,11.0,0.0,0.0
841eca5ffffffff,26.0,0.0,0.0
841eca9ffffffff,67.0,0.0,0.0
841ecadffffffff,4.0,0.0,0.0
841ecb1ffffffff,8.0,0.0,0.0
841ecb9ffffffff,3.0,0.0,0.0
841ecbbffffffff,29.0,0.0,0.0
841ecbdffffffff,1.0,0.0,0.0
841ecc9ffffffff,1.0,0.0,0.0
841eccbffffffff,75.0,0.0,16.0
841ecd5ffffffff,14.0,0.0,0.0
841ecd7ffffffff,31.0,0.0,0.0
841ecddffffffff,2.0,0.0,0.0
841ece3ffffffff,1.0,0.0,0.0
841ece5ffffffff,14.0,0.0,0.0
841ece7ffffffff,69.0,0.0,0.0
841ed0bffffffff,13.0,0.0,0.0
841ed0dffffffff,1.0,0.0,0.0
841ed13ffffffff,7.0,0.0,0.0
841ed19ffffffff,2.0,0.0,0.0
841ed1bffffffff,54.0,0.0,0.0
841ed1dffffffff,1.0,0.0,0.0
841ed35ffffffff,4.0,0.0,0.0
841ed51ffffffff,3.0,0.0,0.0
841ed63ffffffff,5.0,0.0,0.0
841ed6bffffffff,1.0,0.0,0.0
841ed91ffffffff,21.0,0.0,0.0
841ed93ffffffff,69.0,0.0,0.0
841ed9bffffffff,26.0,0.0,0.0
841eda1ffffffff,8.0,0.0,0.0
841eda3ffffffff,51.0,0.0,0.0
841eda7ffffffff,11.0,0.0,0.0
841edabffffffff,1.0,0.0,0.0
841edadffffffff,1.0,0.0,0.0
841edc5ffffffff,3.0,0.0,0.0
841edc9ffffffff,16.0,0.0,0.0
841edcdffffffff,2.0,0.0,0.0
841ede1ffffffff,64.0,0.0,0.0
841ede5ffffffff,3.0,0.0,0.0
841ede7ffffffff,3.0,0.0,0.0
841ee35ffffffff,2.0,0.0,0.0
841ee37ffffffff,6.0,0.0,0.0
841ee65ffffffff,84.0,0.0,0.0
841ee67ffffffff,3.0,0.0,0.0
841ee6dffffffff,1.0,0.0,0.0
841ee81ffffffff,36.0,0.0,13.0
841ee8bffffffff,4.0,0.0,0.0
841ee8dffffffff,6.0,0.0,2.0
841ee91ffffffff,40.0,0.0,17.0
841ee95ffffffff,1.0,0.0,0.0
841ee97ffffffff,25.0,0.0,4.0
841ee99ffffffff,1.0,0.0,0.0
841eea9ffffffff,1.0,0.0,0.0
841eeb1ffffffff,3.0,0.0,0.0
841eeb7ffffffff,57.0,0.0,2.0
841eeb9ffffffff,2.0,0.0,0.0
841eebbffffffff,2.0,0.0,0.0
841eed1ffffffff,10.0,0.0,0.0
841eed5ffffffff,4.0,0.0,0.0
841eed9ffffffff,3.0,0.0,0.0
841eee1ffffffff,1.0,0.0,0.0
841eee3ffffffff,2.0,0.0,0.0
841eee7ffffffff,3.0,0.0,0.0
841eeebffffffff,3.0,0.0,0.0
841ef01ffffffff,11.0,0.0,0.0
841ef13ffffffff,2.0,0.0,0.0
841ef19ffffffff,2.0,0.0,0.0
841ef1bffffffff,4.0,0.0,0.0
841ef21ffffffff,2.0,0.0,0.0
