cell_id,Carpodacus sibiricus,Carpodacus sibiricus [sibiricus Group],Carpodacus sibiricus lepidus/henrici
820a37fffffffff,2.0,0.0,0.0
820a97fffffffff,2.0,0.0,0.0
820bb7fffffffff,18.0,0.0,0.0
8210c7fffffffff,107.0,0.0,0.0
8210dffffffffff,15.0,0.0,0.0
82148ffffffffff,22.0,0.0,0.0
82149ffffffffff,20.0,0.0,0.0
8214affffffffff,239.0,0.0,0.0
8214d7fffffffff,4.0,0.0,0.0
82158ffffffffff,2.0,0.0,0.0
821597fffffffff,2.0,0.0,0.0
82159ffffffffff,54.0,1.0,0.0
8215b7fffffffff,3.0,0.0,0.0
82201ffffffffff,2.0,0.0,0.0
82204ffffffffff,9.0,0.0,0.0
82206ffffffffff,4.0,0.0,0.0
8220e7fffffffff,1.0,0.0,0.0
82212ffffffffff,2.0,0.0,0.0
822427fffffffff,8.0,0.0,0.0
822467fffffffff,21.0,0.0,0.0
822477fffffffff,7.0,0.0,0.0
822507fffffffff,2.0,0.0,0.0
822517fffffffff,66.0,0.0,0.0
82251ffffffffff,1.0,0.0,0.0
822547fffffffff,76.0,0.0,0.0
822557fffffffff,2.0,0.0,0.0
82255ffffffffff,258.0,0.0,0.0
822577fffffffff,2.0,0.0,0.0
8225b7fffffffff,14.0,0.0,0.0
822c4ffffffffff,5.0,0.0,0.0
822e0ffffffffff,28.0,0.0,0.0
822e17fffffffff,32.0,0.0,0.0
822e1ffffffffff,38.0,0.0,0.0
822e2ffffffffff,12.0,0.0,0.0
822e67fffffffff,20.0,0.0,0.0
822e6ffffffffff,27.0,0.0,0.0
822e77fffffffff,100.0,0.0,0.0
822e8ffffffffff,48.0,0.0,0.0
822e9ffffffffff,8.0,0.0,0.0
822ea7fffffffff,3.0,0.0,0.0
822eaffffffffff,65.0,0.0,0.0
822ec7fffffffff,4.0,0.0,0.0
822ecffffffffff,26.0,0.0,0.0
822ed7fffffffff,4.0,0.0,0.0
822ef7fffffffff,17.0,0.0,0.0
822f5ffffffffff,72.0,0.0,0.0
823007fffffffff,4.0,0.0,0.0
82301ffffffffff,2.0,0.0,0.0
823027fffffffff,1.0,0.0,0.0
82302ffffffffff,2.0,0.0,0.0
823037fffffffff,2.0,0.0,0.0
8230c7fffffffff,6.0,0.0,0.0
8230e7fffffffff,86.0,0.0,0.0
8230effffffffff,4.0,0.0,0.0
823117fffffffff,2.0,0.0,0.0
823127fffffffff,13.0,0.0,0.0
823157fffffffff,2.0,0.0,0.0
82315ffffffffff,4.0,0.0,0.0
82316ffffffffff,87.0,0.0,0.0
823187fffffffff,94.0,1.0,6.0
823197fffffffff,24.0,0.0,0.0
8231a7fffffffff,1.0,0.0,1.0
82405ffffffffff,8.0,0.0,0.0
8240c7fffffffff,15.0,0.0,1.0
8240d7fffffffff,7.0,0.0,0.0
8240effffffffff,13.0,0.0,1.0
824b67fffffffff,1.0,0.0,0.0
