cell_id,Vanellus indicus,Vanellus indicus [indicus Group],Vanellus indicus atronuchalis
84209a5ffffffff,532.0,0.0,0.0
84209b7ffffffff,40.0,0.0,0.0
842c10dffffffff,2.0,0.0,0.0
842c129ffffffff,11.0,0.0,0.0
842c12bffffffff,3.0,0.0,0.0
842c12dffffffff,1.0,0.0,0.0
842c13dffffffff,3.0,0.0,0.0
842c145ffffffff,3.0,0.0,0.0
842c149ffffffff,1.0,0.0,0.0
842c163ffffffff,6.0,0.0,0.0
842c32dffffffff,3.0,0.0,0.0
842c365ffffffff,1.0,0.0,0.0
842c823ffffffff,6.0,0.0,0.0
842c831ffffffff,3.0,0.0,0.0
842c833ffffffff,62.0,0.0,0.0
842c835ffffffff,8.0,0.0,0.0
842c837ffffffff,4.0,0.0,0.0
842c85bffffffff,6.0,0.0,0.0
842c8a5ffffffff,7.0,0.0,0.0
842c8e5ffffffff,5.0,0.0,0.0
842c8edffffffff,26.0,0.0,0.0
842c911ffffffff,2.0,0.0,0.0
842c915ffffffff,5.0,0.0,0.0
842c917ffffffff,6.0,0.0,0.0
842c91bffffffff,1.0,0.0,0.0
842c93bffffffff,120.0,0.0,0.0
842c981ffffffff,2.0,0.0,0.0
842c987ffffffff,6.0,0.0,0.0
842c98dffffffff,1.0,0.0,0.0
842c995ffffffff,2.0,0.0,0.0
842c9b9ffffffff,4.0,0.0,0.0
842c9c1ffffffff,2.0,0.0,0.0
842c9c5ffffffff,4.0,0.0,0.0
842c9c7ffffffff,4.0,0.0,0.0
842c9c9ffffffff,26.0,0.0,0.0
842c9cbffffffff,9.0,0.0,0.0
842c9d7ffffffff,1.0,0.0,0.0
842c9d9ffffffff,15.0,0.0,0.0
842c9ddffffffff,7.0,0.0,0.0
842c9e1ffffffff,2.0,0.0,0.0
842ca13ffffffff,1.0,0.0,0.0
842ca4dffffffff,5.0,0.0,0.0
842caa9ffffffff,2.0,0.0,0.0
842cac1ffffffff,19.0,0.0,0.0
842cac9ffffffff,10.0,0.0,0.0
842cacbffffffff,2.0,0.0,0.0
842da83ffffffff,1.0,0.0,0.0
842da95ffffffff,2.0,0.0,0.0
842dab1ffffffff,2.0,0.0,0.0
842dab3ffffffff,6.0,0.0,0.0
842dab9ffffffff,14.0,0.0,0.0
843c021ffffffff,8.0,0.0,0.0
843c023ffffffff,2.0,0.0,0.0
843c025ffffffff,3.0,0.0,0.0
843c029ffffffff,362.0,0.0,0.0
843c02dffffffff,61.0,0.0,0.0
843c065ffffffff,5.0,0.0,0.0
843c06dffffffff,1.0,0.0,0.0
843c0a3ffffffff,13.0,0.0,0.0
843c0a5ffffffff,5.0,0.0,0.0
843c0b5ffffffff,91.0,0.0,0.0
843c0bdffffffff,3.0,0.0,0.0
843c117ffffffff,39.0,0.0,0.0
843c121ffffffff,1.0,0.0,0.0
843c123ffffffff,2.0,0.0,0.0
843c133ffffffff,1.0,0.0,0.0
843c135ffffffff,20.0,0.0,0.0
843c137ffffffff,6.0,0.0,0.0
843c139ffffffff,6.0,0.0,0.0
843c13bffffffff,2.0,0.0,0.0
843c141ffffffff,7.0,0.0,0.0
843c149ffffffff,1.0,0.0,0.0
843c151ffffffff,2.0,0.0,0.0
843c153ffffffff,1.0,0.0,0.0
843c159ffffffff,357.0,0.0,0.0
843c15bffffffff,3.0,0.0,0.0
843c165ffffffff,34.0,0.0,0.0
843c183ffffffff,1.0,0.0,0.0
843c189ffffffff,28.0,0.0,0.0
843c18bffffffff,2.0,0.0,0.0
843c191ffffffff,69.0,0.0,0.0
843c193ffffffff,6.0,0.0,0.0
843c197ffffffff,1.0,0.0,0.0
843c199ffffffff,435.0,0.0,0.0
843c19bffffffff,43.0,0.0,0.0
843c19dffffffff,5.0,0.0,0.0
843c1a3ffffffff,2.0,0.0,0.0
843c1a9ffffffff,27.0,0.0,0.0
843c1abffffffff,4.0,0.0,0.0
843c1b1ffffffff,2.0,0.0,0.0
843c1b5ffffffff,184.0,0.0,0.0
843c1b9ffffffff,5.0,0.0,0.0
843c1bdffffffff,6.0,0.0,0.0
843c1c3ffffffff,322.0,0.0,0.0
843c1c5ffffffff,1.0,0.0,0.0
843c1c7ffffffff,16.0,0.0,0.0
843c1c9ffffffff,17.0,0.0,0.0
843c1d1ffffffff,1.0,0.0,0.0
843c1d3ffffffff,2.0,0.0,0.0
843c1d5ffffffff,5.0,0.0,0.0
843c1d7ffffffff,16.0,0.0,0.0
843c1e5ffffffff,2.0,0.0,0.0
843c1e9ffffffff,35.0,0.0,0.0
843c329ffffffff,7.0,0.0,0.0
843c331ffffffff,1.0,0.0,0.0
843c333ffffffff,28.0,0.0,0.0
843c335ffffffff,52.0,0.0,0.0
843c337ffffffff,10.0,0.0,0.0
843c33bffffffff,52.0,0.0,0.0
843c33dffffffff,27.0,0.0,0.0
843c361ffffffff,5.0,0.0,0.0
843c363ffffffff,14.0,0.0,0.0
843c365ffffffff,6.0,0.0,0.0
843c367ffffffff,8.0,0.0,0.0
843c369ffffffff,47.0,0.0,0.0
843c36bffffffff,21.0,0.0,0.0
843c521ffffffff,103.0,0.0,0.0
843c527ffffffff,12.0,0.0,0.0
843c537ffffffff,1.0,0.0,0.0
843c581ffffffff,14.0,0.0,0.0
843c585ffffffff,36.0,0.0,0.0
843c587ffffffff,9.0,0.0,0.0
843c58dffffffff,5.0,0.0,0.0
843c5a1ffffffff,166.0,0.0,0.0
843c5a9ffffffff,559.0,0.0,0.0
843c5abffffffff,12.0,0.0,0.0
843c5adffffffff,46.0,0.0,0.0
843c5b3ffffffff,2.0,0.0,0.0
843c5b7ffffffff,6.0,0.0,0.0
843c5b9ffffffff,9.0,0.0,0.0
843c5bdffffffff,28.0,0.0,0.0
