cell_id,Dicaeum trigonostigma,Dicaeum trigonostigma [trigonostigma Group],Dicaeum trigonostigma xanthopygium/dorsale,Dicaeum trigonostigma [sibuyanicum Group],Dicaeum trigonostigma [cinereigulare Group],Dicaeum trigonostigma sibutuense/assimile
833cc2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833cf3fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836500fffffffff,47.0,0.0,0.0,0.0,0.0,0.0
836502fffffffff,46.0,0.0,0.0,0.0,0.0,0.0
836503fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
836505fffffffff,58.0,0.0,0.0,0.0,0.0,0.0
836506fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836518fffffffff,83.0,0.0,0.0,0.0,0.0,0.0
836519fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83651cfffffffff,25.0,0.0,0.0,0.0,0.0,0.0
83651dfffffffff,104.0,0.0,0.0,0.0,0.0,0.0
836520fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
836523fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
836526fffffffff,31.0,0.0,0.0,0.0,0.0,0.0
83681cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836858fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83685cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836865fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
